Gene = HP1BP3
index = 662
Annotated 5SS: [   40  6344  6877 10092 13238 15759 19105 21312 29523 36966 39145 41146]
Annotated 3SS: [ 6147  6776  9937 13077 15614 19023 21156 29431 36805 39032 41031 41596]
SMsplice 5SS: [  503  6877 13238 15759 19105 21312 29523 39145 41146]
SMsplice 3SS: [ 6776 13077 15614 19023 21156 29431 39032 41031 43513]
top_k =  500
Partition function (log Z): 3.9772131331592155

Sorted 5' Splice Sites (High to Low Probability):
Position 39145: 0.9960725376289171
Position 6877: 0.9948000521012551
Position 41146: 0.9928518688697944
Position 29523: 0.9694659050797423
Position 19105: 0.9623872440199154
Position 15759: 0.9338549759388257
Position 21312: 0.8593263258858607
Position 503: 0.5637918400187298
Position 39798: 0.49839071554584385
Position 41945: 0.39280314622918044
Position 14732: 0.3754343799288361
Position 10092: 0.34310431343100767
Position 6339: 0.31420107054644064
Position 41489: 0.23013545256301793
Position 8096: 0.17192409447726695
Position 10965: 0.15966324900544204
Position 6344: 0.15335360480882282
Position 24460: 0.1496149408368738
Position 770: 0.13319924962880905
Position 436: 0.12594760312213465
Position 37835: 0.11779782522534041
Position 11104: 0.1163540486576697
Position 41888: 0.10959167145470874
Position 7302: 0.09498354195210694
Position 4593: 0.08897194572449814
Position 31888: 0.08802398729306575
Position 31795: 0.0876282931238375
Position 498: 0.08590421366510657
Position 40: 0.0845514907077655
Position 6270: 0.08230280101873383
Position 31051: 0.07613937890257871
Position 20523: 0.06388536551396293
Position 120: 0.06191876151954089
Position 688: 0.05659678971600391
Position 27548: 0.05113256048462762
Position 11581: 0.047557222389977116
Position 40955: 0.03988458165468649
Position 4578: 0.03569562201539217
Position 42270: 0.032228259864925855
Position 29503: 0.030409311933017703
Position 39358: 0.027684415863787067
Position 11577: 0.026599215624647336
Position 5800: 0.02482476608974326
Position 39434: 0.023654005410405254
Position 370: 0.02255615154568275
Position 24417: 0.019597324091501122
Position 41832: 0.018551832608704223
Position 24623: 0.018208639313961446
Position 36922: 0.017062835150862217
Position 11089: 0.016881900099477674
Position 43287: 0.016684671921904707
Position 5318: 0.016054629908383525
Position 2568: 0.011111588744259432
Position 1286: 0.010484030227699809
Position 10013: 0.00844950610438209
Position 14634: 0.008369290128534643
Position 39334: 0.008352693899885558
Position 20978: 0.007629517303247404
Position 39528: 0.007569536118387935
Position 41910: 0.0075395806687968215
Position 24307: 0.007495963317390257
Position 19632: 0.006373549223916924
Position 40635: 0.0060933603337381915
Position 25997: 0.004990935028416079
Position 39345: 0.004100243276872398
Position 40376: 0.003962074369379764
Position 42283: 0.0033821048065349195
Position 41156: 0.003268459171701311
Position 4622: 0.003188017800128614
Position 5495: 0.0031682398868758356
Position 9851: 0.0030323394589538504
Position 476: 0.00264048428733383
Position 1034: 0.002058265620745417
Position 41337: 0.0017810132592233534
Position 20659: 0.0017607821049518213
Position 41657: 0.001547889487353438
Position 42643: 0.0015221199008993427
Position 24022: 0.0013616430266366487
Position 43579: 0.0012986142644235562
Position 20481: 0.0009064312680142243
Position 524: 0.00087750684850583
Position 11097: 0.0008264420389849439
Position 40658: 0.0006784235661053317
Position 42292: 0.0006600306122885933
Position 793: 0.0006328789253766897
Position 408: 0.0006270563868159426
Position 8998: 0.0006111217863189602
Position 11093: 0.0005860596616472259
Position 4365: 0.0005770139774473958
Position 42745: 0.0005648938637312765
Position 175: 0.00038211213106326727
Position 7280: 0.0003290448006801272
Position 7668: 0.0002547362226321147
Position 528: 0.0002459829038568228
Position 7700: 0.0002388267258696118
Position 6882: 0.0002305659958478514
Position 162: 0.00019739712229960383
Position 39617: 0.00019314072649856038
Position 356: 9.481559189152412e-05
Position 221: 7.448889817881509e-05
Position 244: 7.354545880431232e-05
Position 592: 6.94394219940852e-05
Position 379: 6.799415139759223e-05
Position 610: 6.659784589390466e-05
Position 413: 4.500720459872947e-05
Position 41169: 4.449078165316639e-05
