Gene = FRRS1
index = 566
Annotated 5SS: [  497 16897 17221 18500 23615 25001 27708 36144 37301 46260 48384 50208
 53376 53689 54960 56596]
Annotated 3SS: [16791 17024 18362 23519 24852 27524 36044 37152 46145 48267 50120 53277
 53629 54843 56533 56672]
SMsplice 5SS: [  497 16897 17221 18500 23615 36144 37301 40577 46260 48384 50208 52411
 53376 53689 53852 54988 56596]
SMsplice 3SS: [16791 17024 18362 23519 36044 37152 40494 46145 48267 50120 52305 53277
 53570 53772 54843 56533 56672]
top_k =  500
Partition function (log Z): 3.5444152605368515

Sorted 5' Splice Sites (High to Low Probability):
Position 46260: 0.9999999999999987
Position 36144: 0.9999999999999984
Position 16897: 0.9999999999999968
Position 50208: 0.9880236136950116
Position 497: 0.9810826652220895
Position 23615: 0.9730191128863851
Position 53689: 0.9624651408967538
Position 37301: 0.9238435731304352
Position 18500: 0.9041758487718967
Position 17221: 0.8068437634396092
Position 56596: 0.7500045896667561
Position 53376: 0.7434906595765555
Position 48384: 0.669482037620648
Position 52411: 0.6429926360269803
Position 54988: 0.633301076466987
Position 53852: 0.5672194777018776
Position 55350: 0.4540750929082994
Position 40577: 0.44060779110576875
Position 13422: 0.4204793130676917
Position 40588: 0.41713394144649846
Position 48623: 0.4135329813727433
Position 30431: 0.4040785734351368
Position 54960: 0.28789053376610896
Position 24389: 0.2563370785104216
Position 17181: 0.17323985374001308
Position 52082: 0.14972723663635013
Position 27639: 0.14790306668211867
Position 54439: 0.14082122850378934
Position 50521: 0.12992794603681262
Position 48388: 0.11974612088570116
Position 54022: 0.08793120545146418
Position 18875: 0.08203447647756196
Position 56086: 0.07714855265084603
Position 26969: 0.06564407651884202
Position 17662: 0.05253089110115644
Position 21648: 0.04836542616380794
Position 20584: 0.04503177411272709
Position 4373: 0.03743295320308654
Position 2240: 0.033359823732175546
Position 25123: 0.03182445729947653
Position 5423: 0.027426030287700395
Position 22657: 0.024716231842639477
Position 18543: 0.023130812401186272
Position 18711: 0.02287634833934759
Position 54996: 0.02040075797746589
Position 54641: 0.018432165533824298
Position 23045: 0.016756715057818672
Position 40811: 0.015090870741757197
Position 54948: 0.014856336641530701
Position 49294: 0.014702579300918369
Position 27664: 0.01465584179323981
Position 21653: 0.012643215123234451
Position 25001: 0.011882927205868862
Position 21267: 0.011002549670299242
Position 21632: 0.01068421256117559
Position 51789: 0.008818956897099694
Position 908: 0.00790925938598511
Position 49925: 0.00726735664189709
Position 27411: 0.006572689179902747
Position 17573: 0.00572803160015711
