Gene = OMA1
index = 984
Annotated 5SS: [   98  8006 10288 12643 12848 16200 19540 40741]
Annotated 3SS: [ 7489 10058 12468 12739 16070 19464 40590 65625]
SMsplice 5SS: [  246 10288 12643 12848 15982 16200 19540 34124 34593 40741]
SMsplice 3SS: [10058 12468 12739 15883 16110 19464 34005 34507 40590 65625]
top_k =  500
Partition function (log Z): -22.392721336396566

Sorted 5' Splice Sites (High to Low Probability):
Position 10288: 0.9889093278100113
Position 19540: 0.9802689755108458
Position 12643: 0.9647463019565344
Position 12848: 0.9627396350535762
Position 16200: 0.8594558139995108
Position 246: 0.6894894298740986
Position 15982: 0.5454736023212501
Position 16671: 0.28094848314130094
Position 25849: 0.1650579796232138
Position 8006: 0.16028087526219806
Position 1128: 0.12829067769871957
Position 20: 0.12314993016808749
Position 9504: 0.1192539222094671
Position 1098: 0.10569134415384154
Position 13397: 0.10355023695918987
Position 1636: 0.09365995826923264
Position 15977: 0.07587246829678955
Position 16311: 0.07089703969294774
Position 23577: 0.06524579538136935
Position 16407: 0.061867254241659085
Position 16615: 0.0551473550103562
Position 42: 0.05369656073839161
Position 264: 0.045816822499591896
Position 27296: 0.041430397998036606
Position 111: 0.041181660234445534
Position 25835: 0.04105356743639236
Position 12873: 0.02420441973484634
Position 18877: 0.019634854742137456
Position 26167: 0.01935876826423797
Position 16583: 0.01483016956477293
Position 1088: 0.009533055698379948
Position 816: 0.008349821457617446
Position 16012: 0.007358545438045861
Position 19207: 0.006038107266269795
Position 137: 0.006003025001344606
Position 4318: 0.005728164528232867
Position 17380: 0.005615379984764226
Position 12647: 0.005334116108403397
Position 6193: 0.005301978624355597
Position 1155: 0.004755802731199521
Position 2965: 0.004126374705212666
Position 20983: 0.003860265872834318
Position 260: 0.003704993252830073
Position 98: 0.003242410406622838
Position 7765: 0.0029522161754814698
Position 24989: 0.0022807954194299274
Position 8249: 0.0018676802283251956
Position 13751: 0.0016700859194794845
Position 7644: 0.0015012696535577612
Position 60: 0.001387157791886978
Position 65: 0.0013828788944461024
Position 166: 0.001206779594933661
Position 24348: 0.0011484759105252875
Position 952: 0.0011343675945553499
Position 4481: 0.001065485872263286
Position 2587: 0.0009241399328681638
Position 16240: 0.0007537350638285136
Position 6672: 0.0005750163864234661
Position 376: 0.0005026218302152297
Position 384: 0.0002730693931622353
Position 36: 0.00026010227938531513
Position 871: 0.0002383963611935152
Position 983: 0.00022465848531026873
Position 16416: 0.0001050488537998087
Position 23700: 9.532058169763742e-05
Position 16262: 6.945324578504772e-05
Position 715: 5.2104379968794135e-05
Position 224: 4.999160485054335e-05
Position 845: 1.833228628194185e-05
Position 642: 1.8328664202047862e-05
Position 693: 1.831169672885756e-05
Position 20886: 1.7151546232894635e-05
Position 403: 1.4975834349273573e-05
Position 956: 1.382259309537886e-05
Position 19812: 1.1681154085738745e-05
Position 345: 1.1003457386964052e-05
Position 550: 1.0928427197386899e-05
Position 19796: 1.0460630568500525e-05
Position 174: 1.0456764911733779e-05
Position 72: 1.0327378108896531e-05
Position 471: 1.0160729711210267e-05
Position 16549: 9.487303139286985e-06
Position 16887: 9.280617496386693e-06
Position 912: 8.524230112943428e-06
Position 281: 8.027025459319323e-06
Position 539: 7.794249950259909e-06
Position 19596: 1.7313909799228275e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 10058: 0.9841896225854259
Position 12468: 0.9701123231753597
Position 19464: 0.9658846100706006
Position 12739: 0.9635477786163255
Position 16110: 0.5887023771186276
Position 15883: 0.39601743909885123
Position 16070: 0.3349387276987913
Position 25974: 0.2630305845899008
Position 16514: 0.2225814544447453
Position 25682: 0.18266698344101323
Position 15699: 0.16947754847771124
Position 7489: 0.16473436109123693
Position 28620: 0.13852703144665987
Position 25761: 0.12226862252743173
Position 1078: 0.12058083750058136
Position 9172: 0.11925392220946693
Position 13249: 0.08998757286492963
Position 27094: 0.08775660264531554
Position 16348: 0.08626487050844088
Position 28016: 0.07244224061565821
Position 1509: 0.06662505510457999
Position 15746: 0.06271604568436923
Position 27723: 0.05890951819399839
Position 16556: 0.05680516901237624
Position 26944: 0.05153127846051549
Position 1024: 0.048849071527839676
Position 1012: 0.039487531881207495
Position 16479: 0.0366930560092517
Position 23448: 0.0358733991191554
Position 26558: 0.0296055394731042
Position 30520: 0.02485887462191261
Position 23497: 0.023402873995662838
Position 12777: 0.02337230555508238
Position 30967: 0.02170339580998584
Position 1372: 0.02131193917737286
Position 18726: 0.020508375172015945
Position 29856: 0.017484344232102225
Position 24932: 0.016978266832386388
Position 28641: 0.01610608713765631
Position 20952: 0.015093108747049758
Position 16538: 0.014733196552783094
Position 19478: 0.013328713114407788
Position 25271: 0.013204469816603915
Position 25871: 0.012343963513807545
Position 26127: 0.011060354441164693
Position 940: 0.010981065502159035
Position 23911: 0.010233532100859904
Position 19679: 0.009589590063231021
Position 24861: 0.00824597014945295
Position 24485: 0.007633367894458797
Position 23530: 0.00715258978250105
Position 983: 0.007136646144442384
Position 22904: 0.0067591661505603425
Position 19107: 0.0061634048735268
Position 23799: 0.006069910178030083
Position 4206: 0.005728164528232878
Position 25096: 0.0054469617139750485
Position 6117: 0.005301978624355587
Position 17074: 0.004728444588402569
Position 9902: 0.004719705224587389
Position 16074: 0.004420063694248439
Position 22112: 0.0043993089600999225
Position 19367: 0.004383547330754592
Position 13282: 0.004280573452754998
Position 24305: 0.004011970159774541
Position 1534: 0.0037669290807120456
Position 13339: 0.0036663261899961054
Position 20914: 0.0035008744651451127
Position 2733: 0.003116346232080792
Position 21841: 0.0030474422232942325
Position 24028: 0.003023877070848551
Position 20810: 0.0027746757095315332
Position 24249: 0.002547843464405306
Position 25560: 0.0025252528832632663
Position 17307: 0.002483915086405813
Position 22720: 0.002339076460073742
Position 865: 0.0020600238009185878
Position 1572: 0.0019476298387060419
Position 20070: 0.0019373153523913552
Position 24817: 0.0018838240063412648
Position 8156: 0.0018676802283251939
Position 25475: 0.0017937007985270193
Position 16175: 0.0017670602420893208
Position 13310: 0.0016969687129296017
Position 21980: 0.0016609987661748602
Position 13214: 0.0015835742710522407
Position 13251: 0.0014768444342140694
Position 20268: 0.0014657764833116533
Position 22299: 0.0014443820318141476
Position 26387: 0.001390057655870146
Position 13541: 0.0013448880402526467
Position 24557: 0.0012856564433485237
Position 20496: 0.0012689420270624303
Position 20203: 0.0011010251771808263
Position 4393: 0.0010654858722632845
Position 2871: 0.0010100284731318755
Position 16156: 0.0009864261911231283
Position 2466: 0.0009241399328681622
Position 19981: 0.0008979373744070454
Position 13192: 0.0008554451902273904
Position 20885: 0.000835944694008509
Position 21433: 0.0007430706666368418
Position 19748: 0.0007115242972002118
Position 127: 0.00069188417329025
Position 17464: 0.0006868501484151204
Position 20427: 0.0005886850876586537
Position 6582: 0.000575016386423467
Position 21699: 0.000536315451981294
Position 21722: 0.0004969656615598785
Position 15495: 0.0004935827951548877
Position 18222: 0.0004704145054780606
Position 16270: 0.0004655296031815936
Position 21274: 0.0004454312893159845
Position 21811: 0.00042265311926443616
Position 20983: 0.0003883015775751166
Position 20695: 0.00036546344666107315
Position 13573: 0.0003369349950579554
Position 21398: 0.00031984692425845074
Position 21016: 0.00031184390790513976
Position 16381: 0.000291620305894689
Position 19864: 0.00026623778392349844
Position 22163: 0.00021254805489255677
Position 20018: 0.00018954521257616457
Position 21295: 0.00015512435262448376
Position 16267: 0.00014020308597805338
Position 18549: 9.345024939710583e-05
Position 17953: 9.187599459767784e-05
Position 20176: 8.573354405353608e-05
Position 17790: 7.62321924666285e-05
Position 17696: 6.155249195370304e-05
Position 23604: 5.4980313324792387e-05
Position 18580: 4.167870870760148e-05
Position 13174: 2.931843085980927e-06
