Gene = SIMC1
index = 1258
Annotated 5SS: [  271 56896 57954 75479 84059 86391 98510 98780]
Annotated 3SS: [ 56662  57883  75323  83905  86261  98352  98694 106815]
SMsplice 5SS: [  271 19597 25136 32154 57954 70320 75479 84059 86391 98510 98780]
SMsplice 3SS: [ 19517  25049  32023  57883  70227  75323  83905  86261  98352  98694
 106815]
top_k =  500
Partition function (log Z): -52.80506828399518

Sorted 5' Splice Sites (High to Low Probability):
Position 271: 0.7010224140115551
Position 7387: 0.36752078782286823
Position 689: 0.2963750511490767
Position 4235: 0.17528886077076636
Position 2765: 0.16715672450340008
Position 3536: 0.13716344730327448
Position 1037: 0.13025512970349243
Position 5043: 0.12081975817861976
Position 3380: 0.0876874839439823
Position 3995: 0.0663661664469589
Position 1313: 0.06527702651593753
Position 1052: 0.04409944693618825
Position 5039: 0.0307888214882162
Position 1078: 0.01448005635661341
Position 275: 0.013187431554638964
Position 3850: 0.011570886701947237
Position 3870: 0.011202231066740594
Position 9334: 0.0056084672527108494
Position 7352: 0.005135544688223425
Position 126: 0.004660380801420294
Position 1085: 0.004378127075324377
Position 3353: 0.004335068746724248
Position 3991: 0.002166768438791852
Position 2369: 0.0016999186261301095
Position 1448: 0.001497217433170958
Position 1859: 0.0009029548433805156
Position 918: 0.0006995600341150923
Position 915: 0.0005531588101908494
Position 2959: 0.00042187724748543235
Position 985: 0.0003689989909832824
Position 677: 0.00031573908970713446
Position 647: 0.0002110860381772668
Position 1527: 0.00016869349434104038
Position 2269: 0.00016777988553892497
Position 1177: 0.0001668037262417419
Position 3178: 0.00011320078398979916
Position 157: 0.00011001426789773394
Position 210: 8.611332962493329e-05
Position 1024: 7.191376348161644e-05
Position 119: 4.414790132047229e-05
Position 554: 3.300779790393607e-05
Position 1170: 2.9177856844760663e-05
Position 982: 2.461654088215929e-05
Position 598: 1.5858632818813057e-05
Position 612: 1.3623792702660254e-05
Position 1055: 9.81258771957889e-06
Position 679: 9.399818567587376e-06
Position 665: 7.089989900879172e-06
Position 92: 6.820869855059708e-06
Position 1366: 4.330408919202689e-06
Position 1191: 4.27823250478574e-06
Position 740: 3.4754144667219765e-06
