Gene = CACYBP
index = 273
Annotated 5SS: [ 463 5101 7109 7465 8974]
Annotated 3SS: [ 4880  7011  7364  8875 10189]
SMsplice 5SS: [ 463  867 4800 7109 7465 8974]
SMsplice 3SS: [  765  4585  7011  7364  8875 10189]
top_k =  500
Partition function (log Z): -3.119289936873303

Sorted 5' Splice Sites (High to Low Probability):
Position 7109: 0.8797628568638742
Position 8974: 0.8785876040912424
Position 463: 0.7790216780348164
Position 4800: 0.7615371542425666
Position 7465: 0.6947460257748326
Position 867: 0.589465594441025
Position 5101: 0.3703777874658151
Position 4206: 0.20122157571611723
Position 4266: 0.19658263468534537
Position 7240: 0.1233196944263973
Position 10402: 0.1210903073099434
Position 352: 0.09510529933406738
Position 10416: 0.09284479747920435
Position 9406: 0.08982315759904427
Position 7310: 0.07992514420555555
Position 5082: 0.07350498253770467
Position 7316: 0.051557394202054435
Position 718: 0.04853752871065903
Position 5805: 0.03261960204159326
Position 8929: 0.024327352976806056
Position 4363: 0.02282878837195644
Position 9501: 0.021850808357664734
Position 5765: 0.02120157997891236
Position 1442: 0.020395940487743767
Position 4938: 0.018586828158613303
Position 91: 0.01852972815279
Position 4026: 0.017636904405407557
Position 1225: 0.01650045105075193
Position 7092: 0.015660595230596323
Position 312: 0.012497455575799567
Position 5736: 0.010258809844109939
Position 4014: 0.009905737350935443
Position 5092: 0.008925729738895183
Position 7770: 0.008318579077837347
Position 9387: 0.0072251836953231025
Position 2490: 0.0071299413456253485
Position 4427: 0.006545870536666029
Position 7381: 0.006268233415154598
Position 9120: 0.005988063150261559
Position 265: 0.00556264152975563
Position 7365: 0.004935503209154755
Position 692: 0.004048454193651867
Position 7815: 0.003520909464752398
Position 8676: 0.003421917189780816
Position 196: 0.0029218427856221056
Position 166: 0.0028351859331190435
Position 1845: 0.002585779086142642
Position 10784: 0.002185655576742676
Position 8948: 0.002155716284387198
Position 316: 0.002003242942645736
Position 369: 0.0015405277518055602
Position 4372: 0.0011295855567719938
Position 9637: 0.0010525117347351665
Position 580: 0.000879847922006015
Position 727: 0.0007425502116058907
Position 2436: 0.0007109541546313869
Position 584: 0.0005869999507242978
Position 2359: 0.0005546074738705483
Position 694: 0.0004938384768429914
Position 849: 0.00044602851728419476
Position 4222: 0.0004326775535638283
Position 4715: 0.00042135463752314504
Position 4636: 0.0003971904894800291
Position 1236: 0.0003968724573024285
Position 1392: 0.00038873754130278
Position 281: 0.0003571306191562974
Position 9242: 0.0003318248091322919
Position 222: 0.00028355476472819173
Position 4358: 0.0001956589708407809
Position 2291: 0.0001228686277758042
Position 569: 0.00011455446618609095
Position 346: 0.00011327892511616681
Position 470: 7.107599107121684e-05
Position 235: 6.933749646899332e-05
Position 541: 2.2357909131534133e-05
Position 47: 1.9974032609406998e-05
Position 389: 1.0330359285108132e-05
Position 9250: 9.539041453792098e-06
Position 318: 9.257239428493314e-06
Position 467: 9.116032253333881e-06
Position 906: 6.575718931786811e-06
Position 709: 5.135767909524679e-06
Position 1272: 1.5721749266137453e-06
Position 731: 1.3806670519104852e-06
Position 859: 1.2837602922062018e-06
Position 200: 4.2229305289702474e-07
Position 50: 3.8926429815689587e-07
Position 26: 1.9003434494802262e-07
Position 358: 1.5219409575390307e-07
Position 535: 1.147357337614162e-07
Position 242: 5.5594072191181846e-08
Position 276: 5.594970950472995e-09
Position 13: 1.9476002468516698e-09
Position 396: 1.0958845946376516e-10
Position 226: 2.4536176248688665e-11
Position 112: 1.778514185477866e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 8875: 0.9648943189095183
Position 7011: 0.8235347711602791
Position 10189: 0.6009801671776517
Position 4585: 0.5843732589794136
Position 7364: 0.5745131771721858
Position 765: 0.4607125802507828
Position 4114: 0.424516604639903
Position 7207: 0.27179658241578675
Position 4880: 0.25218744773390533
Position 11095: 0.2295188129310293
Position 4956: 0.1654616614685923
Position 4665: 0.1039494381325577
Position 7185: 0.08810330621033303
Position 9269: 0.08582901773823623
Position 9386: 0.07818974437556989
Position 6963: 0.07461942983652917
Position 4695: 0.07362246304411435
Position 10663: 0.06812100798383393
Position 789: 0.05079274802594489
Position 10215: 0.04793536027796924
Position 5649: 0.04723927620214205
Position 642: 0.038069136931567826
Position 4886: 0.03709895549845885
Position 10698: 0.0247422124477461
Position 10783: 0.020029264321122765
Position 10247: 0.017971380338128857
Position 5630: 0.015587930648866077
Position 3935: 0.015148851794533433
Position 10037: 0.01475059123657954
Position 7386: 0.012983854645074046
Position 10879: 0.012303809774152253
Position 3908: 0.009862471596569177
Position 9208: 0.009426764132903533
Position 8846: 0.00906076966911165
Position 7567: 0.007393681389905839
Position 4922: 0.0072865692738233925
Position 4854: 0.007253494119982095
Position 10577: 0.007181640340005345
Position 1011: 0.00701974852757939
Position 580: 0.006852828410823445
Position 2391: 0.006831639773070919
Position 10193: 0.006762393326760727
Position 1286: 0.006542782102221275
Position 419: 0.006410358418642599
Position 9309: 0.005885197190091951
Position 10865: 0.005400216364803561
Position 6967: 0.005367838566589281
Position 7661: 0.005215362805546944
Position 1379: 0.005111510840769227
Position 10116: 0.004969182634415233
Position 11822: 0.004514321269985451
Position 8469: 0.004513822763335761
Position 1406: 0.004337186545538708
Position 793: 0.004262843214648344
Position 11150: 0.004199506413180638
Position 4346: 0.004123065458559249
Position 1124: 0.0040804346294979615
Position 9166: 0.003048606261573159
Position 10958: 0.002921046171225231
Position 9537: 0.002567945330262635
Position 7300: 0.002547642994277762
Position 7237: 0.0023350838787993934
Position 9664: 0.002247965336466457
Position 3811: 0.0022166296449560004
Position 9038: 0.0021782523496984645
Position 8907: 0.001924125807836862
Position 1306: 0.0017534725875408494
Position 7328: 0.0016320990006560643
Position 10441: 0.0015937074745676853
Position 5586: 0.0012527850136074188
Position 1666: 0.0012480563191095506
Position 4970: 0.0011719491011629207
Position 714: 0.0011296159831681073
Position 10266: 0.0011238035520780931
Position 2412: 0.000982580770674487
Position 457: 0.0009494077999237565
Position 1097: 0.0009481281211075702
Position 584: 0.0009246404044105259
Position 4496: 0.0008744618495246208
Position 9225: 0.0007727534577938581
Position 9286: 0.0007245687165554749
Position 264: 0.000673587838081452
Position 11069: 0.0006338536302810568
Position 9628: 0.0006288931234852494
Position 1769: 0.0006167185690093085
Position 10260: 0.0004865914559729774
Position 11931: 0.00044106353278092826
Position 852: 0.0004359298463251577
Position 511: 0.00042573945520061495
Position 969: 0.0003807822080946441
Position 505: 0.0003555901768753382
Position 8656: 0.00035324997394291685
Position 1699: 0.00033877056135327925
Position 3894: 0.00031468872028439103
Position 4192: 0.00029443773180715176
Position 327: 0.00027710389094166875
Position 972: 0.0002714703857295609
Position 4525: 0.0002691282974398582
Position 2029: 0.00023306663714973868
Position 310: 0.00023114449792620832
Position 4788: 0.00019723301563591826
Position 2190: 0.0001898336611075536
Position 986: 0.00017530744470677952
Position 800: 0.00016775578423283973
Position 442: 0.00016618088855081966
Position 1229: 0.0001409518530645776
Position 1718: 0.00013334086881337123
Position 1693: 0.00013118271647453831
Position 2290: 0.00012656339657064977
Position 1084: 0.0001235847197814717
Position 1818: 0.00011771005138259455
