Gene = PHPT1
index = 1023
Annotated 5SS: [ 497 1044]
Annotated 3SS: [ 918 1660]
SMsplice 5SS: [497]
SMsplice 3SS: [1660]
top_k =  500
Partition function (log Z): -8.90820198097623

Sorted 5' Splice Sites (High to Low Probability):
Position 497: 0.5395044355507407
Position 399: 0.34455166065729526
Position 970: 0.2730329639377725
Position 1467: 0.26908083707342795
Position 1044: 0.26287804603526727
Position 1423: 0.050388634603022966
Position 1526: 0.03478905174086465
Position 480: 0.03069646741814226
Position 307: 0.014926915503978708
Position 203: 0.014572145558207376
Position 1028: 0.013055694131315647
Position 302: 0.013002360283228154
Position 1630: 0.010985342187579126
Position 196: 0.00707808864801598
Position 180: 0.003873324629217254
Position 466: 0.0027972391469163254
Position 1485: 0.0024054982983619175
Position 1166: 0.002342484311124191
Position 1609: 0.0022848887800990935
Position 1727: 0.0015343247341825803
Position 1711: 0.0008358331617678046
Position 1517: 0.00041660620927173685
Position 1530: 0.00037339153511910765
Position 662: 0.0002779477673145272
Position 679: 0.00026068347567409457
Position 1242: 0.00019312774479632175
Position 822: 0.00014097869638580944
Position 751: 0.00011359714739416384
Position 254: 0.00010341550521090151
Position 801: 0.00010339817315001343
Position 50: 8.608721944417299e-05
Position 489: 7.833684943449665e-05
Position 285: 5.567394178810515e-05
Position 403: 4.159670452519239e-05
Position 415: 2.8995071813313464e-05
Position 122: 7.286276753361999e-06
Position 343: 1.0948468624507651e-06
Position 188: 1.0849456742374658e-06
Position 646: 6.105086967862032e-07
Position 84: 7.684834303481529e-08
Position 370: 6.15206122289599e-08
Position 257: 3.955023029442534e-08
Position 41: 9.874649584955239e-11
Position 7: 5.081061735206104e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1346: 0.4310736411614687
Position 1660: 0.3745819789992287
Position 918: 0.2925260641946586
Position 1828: 0.23054224186673522
Position 878: 0.2107084557866999
Position 1544: 0.09252124611360883
Position 1411: 0.046158985511330256
Position 661: 0.044153842805316305
Position 1445: 0.02726891333245604
Position 722: 0.014571135567293047
Position 399: 0.014476576501026827
Position 1190: 0.013070656943178069
Position 1164: 0.011778115559822416
Position 1408: 0.0096447110850134
Position 725: 0.009490807350553037
Position 1312: 0.008300081482282342
Position 786: 0.007939919575054301
Position 1004: 0.005087116545961575
Position 1678: 0.004393416764149573
Position 841: 0.004192295458175061
Position 1855: 0.003973924811560147
Position 269: 0.003734607205031949
Position 1323: 0.0034757631020440136
Position 887: 0.003336334005802183
Position 1075: 0.0030083093969204533
Position 1132: 0.002687220041213681
Position 672: 0.0022035132944653595
Position 1784: 0.0019142610431816965
Position 1260: 0.0018513188506045174
Position 858: 0.0016918895781656653
Position 1629: 0.0016805801303330873
Position 1880: 0.0014346293083171144
Position 451: 0.001333780713808697
Position 1602: 0.0011763353383817685
Position 285: 0.0011514374497885026
Position 1787: 0.0011002038023897331
Position 1054: 0.0009451029579063305
Position 936: 0.0007657884534861101
Position 900: 0.0007617660371075731
Position 1893: 0.0007563570613742283
Position 953: 0.000748868812386101
Position 1348: 0.0006570488165921713
Position 1499: 0.0006444383814451467
Position 625: 0.000543554152175913
Position 816: 0.00040210739963934816
Position 646: 0.00038899821946323257
Position 1222: 0.0003832421718275147
Position 1352: 0.0003566965122586798
Position 1295: 0.00034929183198451286
Position 956: 0.00032733635644283175
Position 1374: 0.00011740797484119568
Position 1006: 0.00010811322171103813
Position 733: 0.0001051259675659559
Position 827: 7.422360683848114e-05
Position 693: 6.665754409920045e-05
Position 332: 4.357864824716164e-05
Position 793: 2.6102742451552778e-05
Position 291: 2.2780301866324996e-05
Position 415: 1.750989179908703e-05
Position 133: 1.3241974721168224e-05
Position 1082: 9.283969341495268e-06
Position 678: 6.419837220576384e-06
Position 1010: 5.461409195676252e-06
Position 480: 3.6187986182320386e-06
Position 313: 3.4776927697155613e-06
Position 271: 3.439545685813593e-06
Position 1176: 3.1221314606338038e-06
Position 1048: 2.232900193546399e-06
Position 316: 1.1543299796232919e-06
Position 329: 7.164253575049052e-07
Position 453: 6.728997453242447e-07
Position 524: 4.593998968677735e-07
Position 584: 3.4736462918665575e-07
Position 566: 1.5243689954151415e-07
Position 455: 7.854195546155652e-08
Position 184: 2.962339775689442e-08
Position 459: 4.737546709757103e-09
Position 462: 2.7243075946472863e-09
Position 489: 7.356110593734037e-10
Position 235: 5.424149291250796e-10
Position 580: 5.202305996587707e-10
Position 154: 4.876196265037802e-10
Position 147: 1.9171202713705911e-10
Position 217: 6.152479774508892e-11
Position 162: 5.70125642991394e-11
