Gene = STYXL1
index = 1352
Annotated 5SS: [  342 17583 19362 26153 34262 42745 44246 47114]
Annotated 3SS: [17478 19299 26010 34115 42598 44147 47000 51403]
SMsplice 5SS: [  342 14196 14368 17583 19362 26153 34262 42745 44246 47114]
SMsplice 3SS: [14059 14296 17478 19299 26010 34115 42598 44147 47000 51403]
top_k =  500
Partition function (log Z): -6.978615420813458

Sorted 5' Splice Sites (High to Low Probability):
Position 19362: 0.9999999817519712
Position 34262: 0.9999974384709402
Position 42745: 0.9903507093934063
Position 17583: 0.9649385960892038
Position 342: 0.9561900676898382
Position 26153: 0.829562747965882
Position 44246: 0.7654055183506452
Position 14196: 0.6853859225011975
Position 14368: 0.5864437687113042
Position 47114: 0.5413676916447269
Position 47161: 0.3660703895568668
Position 42945: 0.3340192364429926
Position 13400: 0.15830773003387444
Position 7293: 0.08914384735491221
Position 12656: 0.058412699416242504
Position 12192: 0.05543180598524256
Position 13431: 0.05084122484408804
Position 192: 0.042124818634630794
Position 14269: 0.042104187124981325
Position 49056: 0.039131466578218504
Position 18563: 0.03449116240317266
Position 12667: 0.033991562929388056
Position 50333: 0.031223939402193392
Position 18090: 0.027730386935193564
Position 13259: 0.021247414182598522
Position 12975: 0.020292148395733355
Position 47166: 0.016341502586390406
Position 18986: 0.015281996141951387
Position 42877: 0.012843141595429155
Position 50975: 0.012514821963127858
Position 10674: 0.011491243813545167
Position 18626: 0.008412497449485613
Position 45624: 0.007257561454120876
Position 44268: 0.006462140053994137
Position 18829: 0.006076914408802577
Position 47049: 0.004256974613701332
Position 19139: 0.0042242881431418565
Position 18608: 0.004024461094713639
Position 44925: 0.003536678691567536
Position 48707: 0.003250266387256275
Position 18079: 0.002400558013626185
Position 12102: 0.002366269260095468
Position 10693: 0.002204048018169407
Position 18365: 0.0021467545389686044
Position 45984: 0.0019295814783595925
Position 12196: 0.001768778697820479
Position 10877: 0.0013000246069484213
Position 10748: 0.0012795614205437544
Position 91: 0.0010949595841401123
Position 12883: 0.0010842366144519198
Position 45788: 0.0010313902832325597
Position 19230: 0.0010129715943864622
Position 42749: 0.000784785920973405
Position 347: 0.000590154091387729
Position 36707: 0.0001243388824654059
Position 27304: 8.402973999285009e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 34115: 0.9999974384709402
Position 42598: 0.9911354953143797
Position 19299: 0.920048004073209
Position 47000: 0.8016452667828465
Position 14059: 0.7574699224484504
Position 44147: 0.7054916719545317
Position 26010: 0.7028796708522767
Position 17478: 0.6466698188307122
Position 14296: 0.43540837181966774
Position 51403: 0.4134014905708358
Position 42854: 0.35594289992547823
Position 17475: 0.3182687772584922
Position 13206: 0.20737815040416768
Position 50292: 0.15797998895045998
Position 47048: 0.14812090379404394
Position 26037: 0.10641233837830474
Position 48868: 0.09835694982916346
Position 12546: 0.09497076515464058
Position 14259: 0.08963654568625952
Position 7181: 0.0868531550207607
Position 19275: 0.07995199364937548
Position 50920: 0.06478081952813258
Position 12061: 0.059423770796572746
Position 44155: 0.0579678907011912
Position 50361: 0.0549001473324788
Position 50074: 0.05062557350937124
Position 18462: 0.05037897450621036
Position 51120: 0.03693574987511172
Position 14099: 0.03141903838310548
Position 48057: 0.02761340396785371
Position 51283: 0.026238659828679775
Position 50576: 0.0237522366928094
Position 18035: 0.023016924487544957
Position 13285: 0.020573408019787687
Position 50871: 0.020537887280630135
Position 25976: 0.02027073873530056
Position 18911: 0.019798030648431355
Position 12781: 0.018809882201175295
Position 49205: 0.017037057853907425
Position 10548: 0.013063483210575167
Position 50953: 0.009292367015357189
Position 44004: 0.008914801376652265
Position 48892: 0.007826048816573948
Position 45552: 0.007521673993758927
Position 47485: 0.006917841920042192
Position 48550: 0.005875082732289247
Position 49956: 0.00443328664139789
Position 47787: 0.003825690676110634
Position 51188: 0.003725553953863773
Position 44760: 0.0036016560275915596
Position 17957: 0.0035694490235557833
Position 45818: 0.00312418737802788
Position 51333: 0.003038687375881604
Position 18725: 0.002626063063504142
Position 13155: 0.002444810636605672
Position 18306: 0.002146754538968602
Position 47407: 0.0020205292846714154
Position 17738: 0.001930982606968264
Position 10525: 0.0019113700416831568
Position 50402: 0.0018672289310379222
Position 44355: 0.0016496077931655556
Position 50190: 0.0016155987911261466
Position 18056: 0.0016135888307507466
Position 51015: 0.001381173141997175
Position 47811: 0.0013786384990918021
Position 49209: 0.0012738195594973276
Position 7244: 0.0012306079990856307
Position 47373: 0.0011866712903095267
Position 49084: 0.001178238528225801
Position 45698: 0.0011267317281111122
Position 10748: 0.0009195625582634938
Position 18891: 0.0007212252653748073
Position 7057: 0.0007166913404528192
Position 48626: 0.0006897146963665707
Position 48735: 0.0006029457365593034
Position 46097: 0.000562751792060436
Position 10794: 0.0003804620486849275
Position 7194: 0.0003433930018712117
Position 49183: 0.00033633636474314396
Position 48810: 0.0002840393203177308
Position 12034: 0.00014308314658567826
Position 43005: 5.753926193326923e-05
Position 36581: 5.43566832229795e-05
Position 36633: 2.4785831380214378e-05
Position 36440: 2.3821858605012095e-05
Position 36406: 2.2913793089777075e-05
Position 27467: 2.3690417833250757e-06
Position 36129: 1.1592656437809727e-06
Position 27121: 4.933903925092464e-07
Position 27149: 3.2693528219349925e-07
Position 23393: 6.270729989552268e-08
Position 23061: 4.0791896679172384e-08
Position 27086: 1.997172522575392e-08
Position 22776: 1.928519330560328e-08
Position 22222: 1.8769983765774105e-08
Position 20391: 1.8094176752988755e-08
Position 20947: 8.325778522018994e-09
Position 20788: 3.491730719565861e-09
Position 21818: 2.7731896671977424e-09
Position 5018: 1.2961082980129903e-11
Position 520: 4.014929754008704e-12
Position 4418: 1.7965298715231482e-12
Position 593: 1.5739059017499405e-12
Position 423: 6.266765899049478e-13
Position 445: 5.651715234557683e-13
Position 749: 4.545637885526636e-13
Position 429: 2.9813470040185695e-13
