Gene = CGGBP1
index = 364
Annotated 5SS: [ 234 1030]
Annotated 3SS: [ 824 3048]
SMsplice 5SS: [ 676 1030]
SMsplice 3SS: [ 824 4173]
top_k =  500
Partition function (log Z): -9.702154491663661

Sorted 5' Splice Sites (High to Low Probability):
Position 1030: 0.7475446210696074
Position 2900: 0.5265050259007679
Position 3166: 0.475849981889801
Position 676: 0.31692084255456665
Position 276: 0.17486880568775798
Position 260: 0.13215374618791534
Position 2417: 0.0904379151749772
Position 1858: 0.08961899304847507
Position 2028: 0.08645444341321697
Position 234: 0.08209992609746608
Position 626: 0.05759467721618962
Position 693: 0.05062574533169143
Position 2857: 0.023583869303175218
Position 6468: 0.02226010705195963
Position 6524: 0.01456588638480663
Position 1602: 0.011987522307705585
Position 2317: 0.009316995880693353
Position 1181: 0.007659247977216748
Position 1384: 0.004810135983308453
Position 3583: 0.0020410321660495104
Position 670: 0.00190723227307906
Position 2719: 0.001685077227197118
Position 6414: 0.0013208456455879986
Position 3128: 0.0012053037087510023
Position 2377: 0.001134640196610251
Position 3372: 0.001119569509536897
Position 272: 0.0009069795715657888
Position 3306: 0.0007510527853854061
Position 498: 0.0007288667099455981
Position 2014: 0.0005891205631894994
Position 997: 0.0005332252093269895
Position 712: 0.000444858850016807
Position 1270: 0.00039796591700067295
Position 968: 0.00036883785586570237
Position 2096: 0.0003104419693994032
Position 1518: 0.00025158229541908625
Position 2685: 0.00022659016125490877
Position 434: 0.00020282263979837153
Position 303: 0.0001374301605949937
Position 50: 0.00012110584143739247
Position 1541: 0.00011545395360361143
Position 1436: 9.446136977554786e-05
Position 2261: 8.74101444009874e-05
Position 2124: 7.834309038568667e-05
Position 824: 3.714278612642487e-05
Position 697: 2.4187852715771793e-05
Position 668: 2.2447849654328618e-05
Position 1459: 1.5318709872746944e-05
Position 14: 1.3056190247101457e-05
Position 340: 1.1783217428205064e-05
Position 343: 9.490558393540571e-06
Position 862: 8.027361028605045e-06
Position 564: 7.793698517128374e-06
Position 682: 6.677397226139274e-06
Position 1499: 4.013405763400804e-06
Position 446: 2.8751800681269776e-06
Position 732: 2.5792669259672534e-06
Position 741: 1.580840528701748e-06
Position 700: 1.4979920157523887e-06
Position 756: 1.2662641608768066e-06
Position 735: 1.1345793249217411e-06
Position 520: 5.255006081145564e-07
Position 961: 1.632287031318801e-07
