Gene = HDHD3
index = 642
Annotated 5SS: [723]
Annotated 3SS: [1645]
SMsplice 5SS: [723]
SMsplice 3SS: [1645]
top_k =  500
Partition function (log Z): -10.87992609073083

Sorted 5' Splice Sites (High to Low Probability):
Position 723: 0.9037914649884087
Position 201: 0.19157923233491916
Position 1721: 0.026009728356917013
Position 131: 0.016451697659193583
Position 377: 0.013909982273023406
Position 135: 0.013174944986680998
Position 43: 0.005193094105643881
Position 643: 0.004386586779469341
Position 1382: 0.003658671835560745
Position 478: 0.0034712463291534865
Position 339: 0.0031751635308548006
Position 1515: 0.002722374138713754
Position 1743: 0.0020325139689311477
Position 2582: 0.001187694091277689
Position 608: 0.0008695680889698362
Position 526: 0.0008695525544092818
Position 1732: 0.0007638222449976059
Position 322: 0.0006788039086277461
Position 1727: 0.0005715185734050867
Position 1437: 0.00046042700012667896
Position 540: 0.00021546936406260215
Position 223: 0.00018301691868059623
Position 2157: 0.00017749232729624478
Position 2481: 0.00017663804617193665
Position 1938: 0.00014847168294319617
Position 266: 0.0001437285142311478
Position 1094: 8.895513524411471e-05
Position 37: 8.478545277958319e-05
Position 178: 8.230725494671902e-05
Position 1026: 7.410841308566709e-05
Position 190: 6.778480786709776e-05
Position 1860: 6.52346984002094e-05
Position 1017: 6.215279322170689e-05
Position 546: 5.574448231709848e-05
Position 2373: 3.946860398681592e-05
Position 482: 1.6093254085210628e-05
Position 188: 1.48411632132645e-05
Position 469: 9.924276383597388e-06
Position 455: 6.51416627687644e-06
Position 396: 6.475142574992172e-06
Position 412: 3.78880776442064e-06
Position 462: 3.608355762079009e-06
Position 513: 3.1557440138390908e-06
Position 1001: 2.5537837519705838e-06
Position 353: 2.5115124421881396e-06
Position 727: 2.3236907732718033e-06
Position 676: 2.282403678617816e-06
Position 713: 2.1897359134708823e-06
Position 682: 1.5582007992951272e-06
Position 1459: 1.4056055360833558e-06
Position 602: 1.2965362312458183e-06
Position 578: 9.450776922544223e-07
Position 688: 9.343383371787231e-07
Position 170: 9.209359101277891e-07
Position 1543: 6.338373472244927e-07
Position 1069: 6.140354359631316e-07
Position 1557: 4.751671725905174e-07
Position 847: 4.718723061657186e-07
Position 161: 4.560536991647557e-07
Position 777: 4.344957702460163e-09
Position 229: 6.62989633034644e-11
Position 511: 6.42613894771273e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1645: 0.3900744809458356
Position 2663: 0.16000972838246005
Position 607: 0.15108918154184955
Position 895: 0.12029295465156643
Position 2342: 0.0877548499999667
Position 1453: 0.045108842442490506
Position 2465: 0.040515171424827905
Position 2156: 0.03989043841415283
Position 862: 0.03469207129179175
Position 376: 0.016025703798583018
Position 2039: 0.014972240035037613
Position 1838: 0.012833289123789102
Position 992: 0.010859041411299798
Position 1896: 0.006664915132082308
Position 506: 0.004893174171865474
Position 2553: 0.004661632607975214
Position 1372: 0.00452990919123298
Position 2120: 0.0035783030676131864
Position 648: 0.0034264155301895896
Position 1498: 0.0027910888253740076
Position 2063: 0.0027871551010825797
Position 1555: 0.0027259888999415067
Position 1606: 0.0026735900055884325
Position 1501: 0.00217436361036074
Position 2417: 0.0021687712891947405
Position 866: 0.0021411465801634607
Position 1472: 0.002121043864697523
Position 1541: 0.0020792677125583406
Position 1348: 0.0019369831238809153
Position 2087: 0.0019043284398492619
Position 2244: 0.0017272023037431922
Position 1795: 0.0016929591948576896
Position 749: 0.0014727705501717695
Position 1408: 0.001413787090434871
Position 1756: 0.0013135556078428764
Position 2345: 0.0013039609896279703
Position 1708: 0.000696239873082942
Position 1026: 0.0006362423083162387
Position 2303: 0.0004944823741377124
Position 2485: 0.00046479134294775905
Position 2641: 0.00045808177465775336
Position 1136: 0.0004456767508869306
Position 526: 0.0004406028737884032
Position 303: 0.00042342705937623514
Position 407: 0.00037473601110782644
Position 832: 0.00036518000807980006
Position 1419: 0.000329665503982049
Position 1761: 0.0003260141698147245
Position 2443: 0.0003198008289911745
Position 794: 0.0003178256950022455
Position 313: 0.0002842382370406109
Position 1879: 0.0002774231230684614
Position 1174: 0.0002773958355797833
Position 1578: 0.0002714108843232313
Position 2217: 0.0002225739176319418
Position 1674: 0.00022022682975679297
Position 482: 0.00021542759613994567
Position 478: 0.00019549842397877413
Position 766: 0.00014657879339159273
Position 1731: 0.00014054767498198134
Position 1791: 0.00013689706315494644
Position 2605: 0.000130397745570837
Position 1043: 0.0001270378526124708
Position 1687: 0.00012690392682779248
Position 1937: 0.0001082976267577447
Position 494: 9.991262722666866e-05
Position 2568: 8.658144549357022e-05
Position 1080: 7.350839871194547e-05
Position 426: 7.280210290471628e-05
Position 339: 7.034857868135525e-05
Position 531: 6.991439875182131e-05
Position 2246: 6.918266016163187e-05
Position 2718: 6.805377680934354e-05
Position 1865: 6.395702884577926e-05
Position 1180: 6.232724460468612e-05
Position 2373: 6.1585181582882e-05
Position 2502: 5.9901586579116864e-05
Position 511: 5.9085132330814086e-05
Position 1662: 5.7439959464468016e-05
Position 1572: 5.50446951782163e-05
Position 2637: 5.4087628507114665e-05
Position 423: 4.997232506892371e-05
Position 449: 4.3457099684767006e-05
Position 1691: 4.2954613968025884e-05
Position 1740: 4.27368884622264e-05
Position 1353: 3.471883313017683e-05
Position 763: 3.448074581119705e-05
Position 350: 2.9921431825934874e-05
Position 551: 2.7054668956218692e-05
Position 1066: 2.4272845254455445e-05
Position 1253: 6.562704934243551e-06
Position 446: 4.171167412301066e-06
Position 1265: 3.3039622576230235e-06
Position 384: 3.24735495591889e-06
Position 322: 2.5374064906676497e-06
Position 252: 5.703691114037022e-07
Position 664: 5.637792816156871e-07
Position 1148: 2.0664517978601478e-07
Position 540: 1.8541332922098022e-07
Position 1187: 1.7691591916446277e-07
Position 668: 1.6138987716930918e-07
Position 567: 1.3175656735548848e-07
Position 654: 1.1470240033178394e-07
Position 555: 8.566109676985453e-08
Position 266: 5.035319613606828e-08
Position 250: 4.7365089364938963e-08
Position 561: 3.8048180786724084e-08
Position 161: 2.147346601193013e-08
Position 167: 1.7537547962326e-08
Position 435: 5.2962171086929273e-11
Position 146: 4.148037762443711e-13
Position 142: 3.691949886407425e-13
Position 128: 1.280874531718672e-13
Position 139: 1.2960926253761826e-15
Position 148: 1.0287528380871577e-15
