Gene = IFI6
index = 676
Annotated 5SS: [  56 2958 3721 3953]
Annotated 3SS: [2831 3642 3802 5702]
SMsplice 5SS: [  56 2946 3721 3953]
SMsplice 3SS: [2831 3642 3802 5702]
top_k =  500
Partition function (log Z): 8.54742903522916

Sorted 5' Splice Sites (High to Low Probability):
Position 3953: 0.9958962246342231
Position 3721: 0.9937457919913615
Position 56: 0.8500866039549724
Position 2223: 0.36615518653757334
Position 1073: 0.3199008928239483
Position 2946: 0.24604080250519383
Position 2934: 0.19354911409764805
Position 2958: 0.17065326831226635
Position 2970: 0.07895481348377052
Position 430: 0.057792895494392336
Position 4370: 0.04747541403385692
Position 3090: 0.04399332541146761
Position 2640: 0.0400987458204923
Position 2982: 0.039661029779145755
Position 3078: 0.03410909575787524
Position 3066: 0.023092190157195235
Position 284: 0.022432830770340546
Position 3114: 0.021174859960664687
Position 3054: 0.02102538157488585
Position 5483: 0.0208607799023198
Position 3006: 0.020559260829021386
Position 560: 0.017528619589259335
Position 3102: 0.016708457271230274
Position 3138: 0.01669576508506945
Position 4546: 0.013373132921768125
Position 3018: 0.012586020223764566
Position 2218: 0.011854692378629033
Position 3126: 0.01079692929033694
Position 122: 0.010588657752695211
Position 3150: 0.010567393338418888
Position 3042: 0.009354154933252045
Position 3186: 0.009312529298527883
Position 2438: 0.007333429227027452
Position 3174: 0.006946770157328935
Position 3210: 0.006824501163019198
Position 3222: 0.005327791452660259
Position 1925: 0.005060734527454626
Position 3030: 0.004697212494102136
Position 3162: 0.004615624559838591
Position 959: 0.00407082868177738
Position 3725: 0.0036569009225616796
Position 2879: 0.0027237841494350845
Position 2607: 0.0026803965669525854
Position 2029: 0.0025284134315074138
Position 2517: 0.002422806751764929
Position 3246: 0.0023547426428395003
Position 2531: 0.002213652510389311
Position 5778: 0.001976327594714722
Position 2994: 0.0018644428983085786
Position 3198: 0.0017853241818981016
Position 5767: 0.0014566133918714507
Position 5730: 0.0014522154705252227
Position 358: 0.001440532504025823
Position 3888: 0.0013472789842426942
Position 3515: 0.0012176041105581433
Position 2540: 0.0011757104023559543
Position 3977: 0.0007599643099097212
Position 1356: 0.0006604844810738303
Position 810: 0.000650216623999148
Position 78: 0.0005570368715090317
Position 1598: 0.0005006031449878798
Position 2334: 0.00041722589194151106
Position 5794: 0.00040136432360954316
Position 1656: 0.00037956834469028667
Position 991: 0.0003733912788150449
Position 5434: 0.0003723970145566811
Position 722: 0.0003648057050603561
Position 4217: 0.0003355120897164562
Position 2509: 0.000332995112536048
Position 1479: 0.00032499720206542976
Position 643: 0.00031544743149144674
Position 3957: 0.0003139973438283227
Position 4399: 0.0003011787227689878
Position 1109: 0.00027013913575648025
Position 76: 0.0002571138247374986
Position 2177: 0.00023718693199259
Position 3683: 0.00023061457267474917
Position 800: 0.0002119236256592007
Position 3391: 0.00019261989092894235
Position 710: 0.0001771815763912988
Position 1472: 0.00012419833900388156
Position 823: 0.00011707844640149282
Position 3643: 0.00011360799541819642
Position 3258: 0.00010445135853719308
Position 2294: 7.743317425207755e-05
Position 347: 7.332114532861936e-05
Position 4453: 7.077257414279803e-05
Position 933: 7.034257319902397e-05
Position 5845: 6.558198398552661e-05
Position 1272: 6.297421316180048e-05
Position 4382: 6.215759802511561e-05
Position 4054: 4.598488184208831e-05
Position 3865: 3.98878415776416e-05
Position 133: 2.8032142638657225e-05
Position 3711: 2.1615714516969133e-05
Position 180: 2.0350140351799522e-05
Position 223: 1.9104032380502907e-05
Position 482: 1.2912394716392129e-05
Position 592: 1.0785611228948185e-05
Position 114: 3.637972093828332e-06
Position 4041: 3.051688886795623e-06
Position 640: 2.557553789747742e-06
Position 3653: 6.601261756517218e-07
Position 1129: 3.7169240281715364e-07
Position 4412: 1.7790696522672127e-07
Position 4840: 1.707555162757079e-07
Position 4791: 1.6424497784503124e-07
Position 4149: 1.2991945092384073e-07
Position 302: 1.0623395871206812e-07
Position 190: 7.345581744021786e-08
Position 984: 6.56030803398416e-08
Position 3931: 6.51846466834886e-08
Position 1157: 5.8477168811951055e-08
Position 4271: 4.6476634503240395e-08
Position 261: 3.357073009253802e-08
Position 316: 2.1406611466929016e-08
Position 3913: 8.843201284401362e-09
Position 434: 2.1175768909249075e-09
Position 424: 1.7709284609071836e-09
Position 965: 1.2133687379791027e-09
Position 363: 8.844704707390783e-10
Position 209: 1.632955855700422e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3642: 0.9978211045816651
Position 3802: 0.9969277437187766
Position 2831: 0.9917624410577462
Position 5702: 0.8547574620082747
Position 958: 0.26305186599250724
Position 2140: 0.18324954222237802
Position 4110: 0.1307290873876972
Position 2109: 0.12121924781008744
Position 5607: 0.02935603239397927
Position 2058: 0.02843982389112728
Position 5421: 0.02661661016032619
Position 2368: 0.023890170903573014
Position 2042: 0.023294921378943716
Position 2530: 0.019134906943427725
Position 898: 0.012387936304823306
Position 2477: 0.011259930872871011
Position 5891: 0.010250404484830649
Position 3029: 0.009542010667352926
Position 2154: 0.009021646790732132
Position 3053: 0.007793420530779559
Position 415: 0.007048211124704509
Position 190: 0.004786182545482762
Position 1908: 0.003991171855632805
Position 2751: 0.0038601202936536273
Position 5475: 0.0036295250456666152
Position 382: 0.003501223248259198
Position 2208: 0.0030333765891093194
Position 5677: 0.002974064978727747
Position 4106: 0.0023078955350724164
Position 5137: 0.0021617735600951713
Position 4271: 0.0021520259965417034
Position 4130: 0.0021116364358219216
Position 5641: 0.0020635997591132416
Position 3811: 0.0019781537192561905
Position 2118: 0.001940414191666497
Position 5369: 0.001936875095639322
Position 1037: 0.0016564961674496415
Position 4758: 0.001577556905101449
Position 4274: 0.0013806778726534017
Position 2546: 0.0013251793541208328
Position 4941: 0.0013126556718277358
Position 1231: 0.001306851753556111
Position 5657: 0.0012801750369244454
Position 3356: 0.0011426853843245375
Position 4353: 0.001098596470250386
Position 3113: 0.0010505296140696741
Position 6080: 0.0008835417431604882
Position 3077: 0.0008565431667276582
Position 3005: 0.0008242596297651346
Position 4491: 0.0007868877315158263
Position 2156: 0.00077710447029717
Position 859: 0.0006942549100632268
Position 4208: 0.0006880871463703488
Position 353: 0.0006796583943049749
Position 1845: 0.0006670101072610545
Position 5586: 0.0006516598971536439
Position 4424: 0.0006407434842484829
Position 5729: 0.0005897286372465824
Position 5915: 0.0005561201641112312
Position 984: 0.0005387508202936982
Position 2005: 0.0005214422764680449
Position 6012: 0.0004841482133837655
Position 4967: 0.0004349425712761639
Position 398: 0.00042587001193179736
Position 5976: 0.0004194013801848289
Position 3556: 0.0004131525652913352
Position 2211: 0.000357440866250567
Position 3384: 0.00033687602258145174
Position 237: 0.0003358509790133133
Position 1964: 0.0003307038664693117
Position 2837: 0.00031695259915294726
Position 1625: 0.00031542367228017956
Position 2551: 0.0002900260403674542
Position 1430: 0.00028842045063993114
Position 5020: 0.0002854569883217255
Position 5940: 0.00028101089686864895
Position 4863: 0.0002619160614630201
Position 526: 0.00025035036814414233
Position 4790: 0.00023490407258283175
Position 4191: 0.00022069512556449305
Position 892: 0.00021377791280106649
Position 1410: 0.00020771096265054706
Position 4429: 0.00020590995083739777
Position 4134: 0.0001961355217857511
Position 1044: 0.00019097127756872035
Position 2453: 0.00018512844990479396
Position 170: 0.00018186545631949914
Position 446: 0.00017881458083686912
Position 2319: 0.0001749752676752904
Position 4300: 0.00016384538190733966
Position 4600: 0.00016376554834587515
Position 5342: 0.00015015890798609694
Position 5235: 0.00013388105105091938
Position 4325: 0.0001313807388551536
Position 4483: 0.00011580386147413888
Position 1754: 0.00011040456585369667
Position 4839: 0.00010523074749579204
Position 5567: 9.507153652659046e-05
Position 261: 8.868489296237447e-05
Position 6041: 7.96206179068889e-05
Position 1060: 7.931596269774429e-05
Position 6009: 7.8495070235559e-05
Position 4815: 6.992592127528949e-05
Position 4453: 6.83296932843521e-05
Position 2919: 6.782887214213365e-05
Position 430: 6.186350045484846e-05
Position 283: 6.172366815656822e-05
Position 4457: 5.981344210058244e-05
Position 1809: 5.6120537191868596e-05
Position 5482: 4.536168143028366e-05
Position 4112: 4.0136758605726444e-05
Position 4391: 3.953483248273167e-05
Position 816: 3.899802022571537e-05
Position 1912: 3.653918918090911e-05
Position 4943: 3.625318694824503e-05
Position 1887: 3.240714484585722e-05
Position 4764: 3.120254905148936e-05
Position 4412: 2.5786360478323983e-05
Position 863: 1.3218770850431756e-05
Position 451: 1.290209521451316e-05
Position 965: 1.1529443939201817e-05
Position 4276: 1.0621379959007036e-05
Position 295: 1.014946377304371e-05
Position 656: 9.902769312530918e-06
Position 358: 9.424455238767547e-06
Position 329: 7.742839538549575e-06
Position 1857: 5.88518847342042e-06
Position 140: 5.653949582857875e-06
Position 1577: 5.017776736678599e-06
Position 166: 4.555211229716828e-06
Position 3389: 2.951079101795581e-06
Position 146: 2.7696169600872607e-06
Position 215: 2.5100573724439425e-06
Position 5433: 2.458264520738933e-06
Position 276: 2.0409738949111643e-06
Position 2622: 1.770327146255929e-06
Position 217: 1.675575555172702e-06
Position 543: 1.0210459806999795e-06
Position 683: 9.573887796471613e-07
Position 4359: 9.388784744501367e-07
Position 1391: 8.185094313615592e-07
Position 3931: 7.007194229020349e-07
Position 2649: 5.7816874456524e-07
Position 4543: 4.652744219983559e-07
Position 662: 4.1497718503263717e-07
Position 4528: 3.960592917155161e-07
Position 142: 3.862364290201703e-07
Position 751: 2.656624833256698e-07
Position 1453: 2.644012788040078e-07
Position 715: 2.3231454850099032e-07
Position 1435: 2.2867949291109018e-07
Position 434: 2.2358296248420699e-07
Position 1379: 2.205309676435853e-07
Position 270: 2.102670559278743e-07
Position 679: 2.0312810261322712e-07
Position 363: 1.703057724181797e-07
Position 149: 1.4049376039122685e-07
Position 709: 1.215150285036804e-07
Position 457: 1.1271825641560276e-07
Position 229: 1.088019480627177e-07
Position 592: 9.837628695037666e-08
Position 559: 7.671855584627313e-08
Position 3945: 6.99186041540783e-08
Position 4367: 5.37963040190327e-08
Position 4434: 4.346266193274114e-08
Position 4232: 3.0826018647052776e-08
Position 4220: 1.2998737486310503e-08
Position 1070: 1.2025831002513175e-08
Position 1101: 8.014599282125041e-09
Position 4054: 7.976532813927823e-09
Position 4471: 7.063954425236276e-09
Position 763: 5.093342031901257e-09
Position 537: 1.890623399618134e-09
Position 1272: 1.7084457464028944e-09
Position 241: 1.5382591815503183e-09
