Gene = SPINK4
index = 1316
Annotated 5SS: [ 106 4989 6565]
Annotated 3SS: [4947 6451 8261]
SMsplice 5SS: [ 106 6565]
SMsplice 3SS: [6451 8261]
top_k =  500
Partition function (log Z): -7.2519317875797835

Sorted 5' Splice Sites (High to Low Probability):
Position 6565: 0.9081920598888498
Position 106: 0.6071151027621667
Position 2855: 0.25212654912808785
Position 432: 0.233058420499777
Position 4989: 0.19932110364726924
Position 5107: 0.15647827292533997
Position 5116: 0.13834888481177396
Position 800: 0.1270538974480245
Position 146: 0.1142940831273204
Position 150: 0.10342035720158049
Position 7985: 0.022446573401568425
Position 1031: 0.019416605451210833
Position 63: 0.018614301335242573
Position 788: 0.011500771990169873
Position 3187: 0.0112368365611463
Position 6054: 0.011000452340276341
Position 2115: 0.009626605459206496
Position 463: 0.00867460196515648
Position 161: 0.008422649745884313
Position 565: 0.006162142433010139
Position 989: 0.005803143280801411
Position 59: 0.004375260149649935
Position 2090: 0.0039000001570751353
Position 7760: 0.0027467224022895732
Position 1036: 0.0025172840368520937
Position 192: 0.002320765202659682
Position 4083: 0.001969505459068421
Position 2675: 0.0016104175916581635
Position 8138: 0.0014487469965033103
Position 4446: 0.0013847705388339816
Position 6220: 0.0013726239034972335
Position 7789: 0.0012156985292473776
Position 2575: 0.001117630516801775
Position 4588: 0.000895084587190127
Position 3584: 0.0008532443049171325
Position 8231: 0.0006500527930418515
Position 8030: 0.0005991862231393612
Position 1977: 0.0005598085688649319
Position 2232: 0.0004312122028934228
Position 6597: 0.000316601814114622
Position 7996: 0.00029671292900050974
Position 7673: 0.00029088624499377355
Position 2319: 0.00018856206256575079
Position 1614: 0.0001865249912400523
Position 509: 0.00012186631625961846
Position 436: 9.558627941918481e-05
Position 110: 5.9355538380930566e-05
Position 888: 4.046566734018089e-05
Position 214: 2.893847889753126e-05
Position 142: 1.7504789686710456e-05
Position 257: 1.4488573889552575e-05
Position 746: 1.3114337633261168e-05
Position 544: 1.0720789241557295e-05
Position 245: 9.621183729147344e-06
Position 93: 4.0903702073152266e-06
Position 51: 2.396018425071563e-06
Position 285: 8.072661853715728e-07
Position 821: 7.144765706842427e-07
Position 132: 2.609069411961994e-07
Position 472: 1.978862347515904e-07
Position 353: 1.6726322349006734e-08
Position 96: 1.3130899958550443e-08
Position 140: 9.624738760207025e-09
Position 412: 6.413086043351025e-10
Position 317: 1.0080344808339662e-10
Position 341: 2.119374566654474e-11
Position 374: 5.6040509022789055e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 6451: 0.8979573247918119
Position 8261: 0.5204790839250393
Position 4947: 0.4942805650588836
Position 2512: 0.12773471636768263
Position 341: 0.12296563089860521
Position 7984: 0.09845550334449855
Position 2756: 0.08031174418344897
Position 7021: 0.07786075924343994
Position 7906: 0.07261473750680221
Position 6493: 0.05518617588929005
Position 654: 0.04713119199214416
Position 2730: 0.04497524162157236
Position 7549: 0.043986268712638575
Position 306: 0.030311752244334345
Position 882: 0.024513228129792265
Position 7937: 0.02153687597768249
