Gene = NUPR1L
index = 980
Annotated 5SS: [386]
Annotated 3SS: [1502]
SMsplice 5SS: [386]
SMsplice 3SS: [1502]
top_k =  500
Partition function (log Z): -9.463037157699324

Sorted 5' Splice Sites (High to Low Probability):
Position 386: 0.9507271797458406
Position 572: 0.026594447397811576
Position 1116: 0.010869230183232555
Position 698: 0.007864426140539034
Position 55: 0.007747583333814661
Position 299: 0.00429794237647056
Position 390: 0.0023556543672175194
Position 1389: 0.0010893043903899915
Position 730: 0.0007616254457636014
Position 1432: 0.0005900655373012993
Position 576: 0.00043546567801618926
Position 1158: 0.00022383353652438633
Position 1377: 0.00021314443370672588
Position 794: 0.00014456447963099873
Position 1582: 0.00010785810555659243
Position 65: 3.904367167637943e-05
Position 117: 3.58577501178423e-05
Position 1534: 3.3563814692646804e-05
Position 1222: 2.516959639019001e-05
Position 1525: 2.3659037314926256e-05
Position 1546: 1.680971289298319e-05
Position 1467: 1.30671925830068e-05
Position 496: 1.295769540768637e-05
Position 1075: 1.1314252118350328e-05
Position 1035: 8.029573581813858e-06
Position 1577: 7.27077499307069e-06
Position 1189: 7.06682039567737e-06
Position 637: 6.659160155997857e-06
Position 1266: 5.5138896310807375e-06
Position 474: 4.655089026129702e-06
Position 1263: 4.650084012705307e-06
Position 1610: 4.295736382983904e-06
Position 863: 3.545159082220733e-06
Position 26: 1.8504860674570067e-06
Position 415: 7.957094579163598e-09
Position 1176: 5.078836919980641e-10
Position 869: 7.891955285186779e-11
Position 437: 3.2397687033854094e-11
Position 740: 2.9375461898495327e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1502: 0.9287515342776381
Position 664: 0.015057723369404644
Position 1233: 0.010813098986244803
Position 472: 0.0098764847556736
Position 1589: 0.00776644636710431
Position 642: 0.00595904702234343
Position 1109: 0.004343495088885769
Position 1198: 0.0037544154161745576
Position 1147: 0.0035361467219831816
Position 1184: 0.0029677496124984938
Position 1069: 0.0022409766341867482
Position 124: 0.0021771711314469313
Position 571: 0.00158028519525889
Position 1708: 0.0013094842098817414
Position 540: 0.0012309884024456826
Position 1215: 0.001201878630742525
Position 622: 0.0009453336367698543
Position 807: 0.0008984428927170492
Position 1610: 0.0007943749692016255
Position 1525: 0.0007586561982962049
Position 1115: 0.0006692355564182421
Position 502: 0.0006401176697189958
Position 1238: 0.0006111816646753882
Position 1418: 0.0005708228302912403
Position 1561: 0.000495006913780867
Position 519: 0.0004214009115801469
Position 1659: 0.00032619833047938695
Position 153: 0.00026613415927092784
Position 781: 0.0002492755342792898
Position 1656: 0.00023700410977379376
Position 221: 0.00023107574253846652
Position 1081: 0.00021843968571970616
Position 862: 0.00021117192019843743
Position 253: 0.00020237869640855102
Position 1684: 0.00019211644746440224
Position 1701: 0.00018587238855144637
Position 1247: 0.00016370237102912352
Position 1014: 0.0001568312315134253
Position 681: 0.00014619513177648087
Position 1382: 0.0001450083567960747
Position 1327: 0.00013614455531033934
Position 1454: 0.0001306476610564929
Position 474: 0.0001301297660859516
Position 1567: 0.000125323618263546
Position 432: 0.00011977590209783102
Position 489: 0.00010093639776254412
Position 898: 8.090554536207794e-05
Position 1423: 8.068980825638063e-05
Position 1705: 7.971467066442222e-05
Position 1035: 7.405192234980294e-05
Position 1512: 6.928458429680505e-05
Position 831: 6.791566698854255e-05
Position 1373: 6.529654615300919e-05
Position 1219: 6.063825506312686e-05
Position 813: 5.960282476297919e-05
Position 869: 5.700962996434576e-05
Position 1350: 5.457632449170061e-05
Position 1028: 5.18135965586203e-05
Position 415: 5.0949481093645264e-05
Position 546: 4.673134130381911e-05
Position 856: 3.536461656605856e-05
Position 834: 3.253832974902281e-05
Position 1564: 2.7863832177168498e-05
Position 554: 2.75866283585328e-05
Position 1376: 2.1326067911663796e-05
Position 325: 2.0125970957529874e-05
Position 307: 1.944313249545392e-05
Position 1703: 1.8856023694181247e-05
Position 1569: 1.4137390985382891e-05
Position 1022: 1.4088419967820795e-05
Position 292: 1.2564893036351535e-05
Position 228: 1.1593059049214776e-05
Position 675: 1.095231550731715e-05
Position 1301: 1.0893483442644577e-05
Position 697: 9.44310326363941e-06
Position 298: 8.869835516945666e-06
Position 1252: 8.630959590998749e-06
Position 1209: 7.752513833874439e-06
Position 1675: 5.665120062806352e-06
Position 785: 5.037922122607387e-06
Position 250: 4.92843127498535e-06
Position 1686: 4.653833026178885e-06
Position 1154: 3.541467287072688e-06
Position 346: 1.6214052706486942e-06
Position 358: 1.422174046503643e-06
Position 160: 9.687976936816211e-07
Position 310: 7.098774973629603e-07
Position 579: 6.185860158343612e-07
Position 582: 5.474341188076012e-07
Position 166: 4.074673432803135e-07
Position 163: 2.3720092795533903e-08
Position 909: 1.7540453284065144e-08
Position 1087: 1.6449840395782448e-08
Position 340: 1.2550240297275349e-08
Position 824: 1.1477859345134604e-08
Position 331: 1.0732065045586348e-08
Position 232: 1.0440553475966862e-08
Position 598: 6.626316047356404e-09
Position 435: 5.24902019101504e-09
Position 589: 1.5595391201093164e-09
Position 101: 1.5373550027776628e-09
Position 873: 5.651946874761069e-10
Position 380: 4.402598662180297e-10
Position 103: 4.220423498087313e-12
Position 92: 9.399087563810831e-14
