Gene = MPLKIP
index = 858
Annotated 5SS: [431]
Annotated 3SS: [1399]
SMsplice 5SS: [431]
SMsplice 3SS: [2654]
top_k =  500
Partition function (log Z): -11.757152356669316

Sorted 5' Splice Sites (High to Low Probability):
Position 431: 0.7838455358976566
Position 622: 0.3637063577248559
Position 4261: 0.06240659645759388
Position 4142: 0.05525239844738024
Position 223: 0.045555748035060004
Position 3959: 0.03763533527267229
Position 1992: 0.034976591820855885
Position 271: 0.020045814287069964
Position 150: 0.015492761750679122
Position 4164: 0.010479125352042987
Position 135: 0.010009807412854064
Position 481: 0.009982976858861691
Position 70: 0.008488310205032056
Position 322: 0.008366472363376556
Position 2029: 0.008360175765552794
Position 1744: 0.008102750826077127
Position 250: 0.007371140455854277
Position 156: 0.006667555188036917
Position 367: 0.0027446800940112066
Position 529: 0.002478220644670848
Position 49: 0.0024249454997096894
Position 1024: 0.0022951813840426886
Position 3551: 0.001776830124384556
Position 4309: 0.0012167923122163103
Position 1716: 0.001148261908100605
Position 1711: 0.0008816510743167569
Position 1523: 0.0005494579522712813
Position 141: 0.00046512102435523276
Position 2439: 0.00021129497547001024
Position 862: 0.00020522753381159225
Position 34: 9.282602847110307e-05
Position 1660: 3.524990037316087e-05
Position 328: 3.503362005600136e-05
Position 1768: 2.7779373828252505e-05
Position 996: 2.690698916518058e-05
Position 856: 2.5862677885620532e-05
Position 831: 1.2769936034930161e-05
Position 1529: 5.996538797203366e-06
Position 43: 5.29040538202492e-06
Position 262: 3.6897745716742234e-06
Position 231: 2.7524170810602072e-06
Position 379: 2.202191291694032e-06
Position 449: 1.8839779835043085e-06
Position 1317: 1.4274842005628478e-06
Position 884: 4.4790063961465435e-07
Position 282: 4.2977206912818404e-07
Position 500: 5.23821326851254e-08
Position 672: 3.084400914359293e-08
Position 16: 1.6771699041753182e-08
Position 334: 2.9824575065013084e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 554: 0.22084306947277735
Position 4397: 0.20244753598343815
Position 1917: 0.14742885988356738
Position 7252: 0.14676436242228263
Position 2654: 0.13292348948026264
Position 1399: 0.08188129367156702
Position 528: 0.04330504650440999
Position 3881: 0.04291597176440452
Position 4203: 0.04013327120852643
Position 5746: 0.038399281817140925
Position 2828: 0.03589023118849724
Position 3836: 0.033062691931282924
Position 3978: 0.03240125870123153
Position 3958: 0.028314000468352824
Position 4756: 0.021729650268220286
Position 2265: 0.018055626884078704
Position 366: 0.017994953988687556
Position 4018: 0.017454354222900058
Position 4244: 0.016247435506106418
Position 6221: 0.015096555172746592
Position 7113: 0.01461793419731944
Position 3339: 0.013573317857265458
Position 1574: 0.012361019478692564
Position 541: 0.011597782900682923
Position 4938: 0.01025258076122295
Position 1743: 0.009186336274675477
Position 218: 0.008009119618372817
Position 7966: 0.007112663266092733
Position 1239: 0.00703328801400985
Position 7248: 0.006283275169727761
Position 6306: 0.006111489271638364
Position 786: 0.005480031127351626
Position 716: 0.004883546446046199
Position 6623: 0.004696431105567422
Position 8527: 0.004592659799857569
Position 407: 0.004244667025183474
Position 1288: 0.003561564161760424
Position 3705: 0.0032509853972228883
Position 267: 0.002868266207650525
Position 1337: 0.0027912822616345916
Position 1433: 0.0027197014493957356
Position 388: 0.0024399220098558494
Position 475: 0.0023772792414765726
Position 3846: 0.0023473996757455485
Position 2028: 0.0022122520938963716
Position 6468: 0.002078016642922591
Position 7136: 0.001944360674229285
Position 1686: 0.0018740491729402496
Position 3394: 0.001775878695968329
Position 4440: 0.001729752628870392
Position 3409: 0.0015924851644556375
Position 856: 0.0015112087463981377
Position 2898: 0.0014643069153979222
Position 6257: 0.0011412325748275495
Position 6372: 0.0011369527726283449
Position 1410: 0.0009389567133141746
Position 5153: 0.0007439107794069454
Position 574: 0.0007293775346058403
Position 430: 0.0007052711925947492
Position 4487: 0.000639513314410982
Position 385: 0.000549565890618884
Position 306: 0.0005469896385894645
Position 737: 0.0005387194003021122
Position 1790: 0.00043603864516580525
Position 597: 0.00033817257140883174
Position 2391: 0.00033803583768743194
Position 2487: 0.00030543693352902174
Position 1944: 0.0002946274515617809
Position 559: 0.00024753527513535564
Position 1517: 0.00023795121194388933
Position 1499: 0.00023148546826922843
Position 2631: 0.00022173832448808264
Position 2550: 0.00020324319844835164
Position 1759: 0.00016980199203974256
Position 1816: 0.0001646434515422783
Position 1370: 0.00015456804182253814
Position 1069: 0.00015152627650599245
Position 1623: 0.00015128983139419352
Position 679: 0.00014612817363656133
Position 412: 2.5735707149455153e-05
Position 1636: 1.3915139881252277e-05
Position 3420: 1.1066030219564749e-05
Position 568: 9.359305809531576e-06
Position 282: 9.314210011098261e-06
Position 415: 5.616482372370355e-06
Position 743: 5.080804825239692e-06
Position 579: 3.135548101486071e-06
Position 418: 2.733078154411138e-06
Position 609: 2.5633605439822194e-06
Position 820: 2.1645085474277923e-06
Position 893: 1.4745017939444261e-06
Position 146: 1.3616239116416855e-06
Position 860: 1.3034263763578069e-06
Position 149: 8.653738320158984e-07
Position 97: 4.2824036136900865e-07
Position 168: 3.6491303965234286e-07
Position 231: 2.986373380083666e-07
Position 443: 2.7090701923216053e-07
Position 159: 8.463692762003381e-08
Position 617: 6.229174247001356e-08
Position 165: 1.8263701711513874e-08
Position 279: 1.790630286565265e-08
Position 576: 1.2946554772561617e-08
Position 103: 1.0260808677817178e-08
Position 447: 6.021787979343585e-09
