Gene = CDCA8
index = 338
Annotated 5SS: [  367   616  3533  6560  8104  9401 10930 13150 14647]
Annotated 3SS: [  486  3491  6486  8017  9335 10833 13022 14559 15903]
SMsplice 5SS: [  161   367   616  6560  8104  9401 10930 14647]
SMsplice 3SS: [  257   486  6486  8017  9335 10833 14559 15903]
top_k =  500
Partition function (log Z): 9.95372488642018

Sorted 5' Splice Sites (High to Low Probability):
Position 616: 0.9995551173627356
Position 367: 0.9988064534339591
Position 161: 0.9863113280384278
Position 14647: 0.8759251612843577
Position 8104: 0.8423654841233408
Position 6560: 0.8104848645716856
Position 10930: 0.7193476116547483
Position 9401: 0.7166302822240161
Position 5712: 0.40991466358596274
Position 13150: 0.1878795236924778
Position 4454: 0.17716408592732202
Position 6330: 0.14137805384261778
Position 3533: 0.13822148320971225
Position 4448: 0.13036863803396936
Position 8081: 0.11696336786684994
Position 12814: 0.11488928847297661
Position 10090: 0.10267081598672716
Position 13309: 0.08620061787655028
Position 15413: 0.056760572306804896
Position 14920: 0.05664316944650669
Position 12508: 0.04170872410426384
Position 8120: 0.025729732631963875
Position 12807: 0.022153323572315278
Position 16111: 0.022100917036259236
Position 5936: 0.01934254260189042
Position 4507: 0.01702432609513919
Position 7038: 0.014935809952320772
Position 9468: 0.013363703303839647
Position 6609: 0.012879336087897876
Position 8330: 0.010883709285258728
Position 6315: 0.0106674924585572
Position 7851: 0.010587052105151611
Position 3966: 0.00994336923484752
Position 4794: 0.009698168661788324
Position 2350: 0.008315845716826444
Position 15787: 0.008229175018355003
Position 8026: 0.0076711896579997356
Position 3857: 0.006653690282057281
Position 5921: 0.006598965274597982
Position 2599: 0.004987841563438614
Position 10918: 0.004604927427841574
Position 6644: 0.0035195414128189606
Position 5360: 0.003503262112197616
Position 6931: 0.003127493810969899
Position 8581: 0.002896106835962146
Position 7774: 0.0028330690285815175
Position 9418: 0.0027381666225449377
Position 16427: 0.0026336538597211525
Position 6296: 0.002545329576718253
Position 5993: 0.0024319993043239417
Position 130: 0.001916194031620163
Position 2160: 0.001725695006819917
Position 8035: 0.0015261317661273103
Position 15306: 0.0014090819518846383
Position 14907: 0.0011646845695213388
Position 2706: 0.0009685097021688838
Position 1664: 0.000966876993259963
Position 9857: 0.000733959038216025
Position 8576: 0.0006436291665308183
Position 5795: 0.0006272420791968359
Position 8594: 0.0005305033313918169
Position 419: 0.0004688932421621685
Position 2164: 0.0004592764897940614
Position 3390: 0.000429845040197868
Position 6806: 0.00036552543490834703
Position 940: 0.0003596686702445902
Position 9535: 0.0002973745262531132
Position 4679: 0.00020881574146863
Position 8511: 0.00016504200550215167
Position 8757: 0.0001475564533574358
Position 8422: 0.000116613478221992
Position 98: 0.00010403327505845763
Position 185: 8.478870208211067e-05
Position 2130: 6.320567524257269e-05
Position 1348: 5.5004775569711064e-05
Position 3079: 5.3862375993469934e-05
