Gene = CORT
index = 398
Annotated 5SS: [604]
Annotated 3SS: [1657]
SMsplice 5SS: [604]
SMsplice 3SS: [1537]
top_k =  500
Partition function (log Z): -9.602839204806937

Sorted 5' Splice Sites (High to Low Probability):
Position 604: 0.9825148942298187
Position 1253: 0.03597942502930313
Position 758: 0.03175453778719106
Position 1438: 0.025204402913631664
Position 1380: 0.006384773461089051
Position 357: 0.005984574479361488
Position 1021: 0.005799934544481392
Position 1363: 0.00422183908443971
Position 674: 0.002040583327892349
Position 971: 0.0017221440785671167
Position 858: 0.001639524706880393
Position 1067: 0.0015573576369367857
Position 1568: 0.0012009573888898028
Position 348: 0.0007429625923037303
Position 1265: 0.0007029571643366666
Position 475: 0.0006458505459303348
Position 882: 0.00046151496862263235
Position 608: 0.00031006552635911444
Position 1076: 0.00029314047340020424
Position 690: 0.0002356251165292278
Position 1539: 0.00021483624727770508
Position 1016: 0.00014928029884981272
Position 998: 0.00014064867233503373
Position 1905: 4.4908185234054276e-05
Position 678: 4.3054916663122854e-05
Position 830: 4.273454770447749e-05
Position 680: 4.041974910554151e-05
Position 860: 3.948555245927601e-05
Position 1192: 3.646031850513782e-05
Position 853: 3.117748938054033e-05
Position 3: 2.6413718746611835e-05
Position 259: 2.303002688280513e-05
Position 285: 1.9337620698524216e-05
Position 34: 6.60008445680305e-06
Position 312: 2.389846545891809e-06
Position 1008: 2.296430312120227e-06
Position 13: 1.1825225905300445e-06
Position 676: 8.873069470853442e-07
Position 424: 6.604562583168996e-07
Position 578: 6.270164904231904e-07
Position 613: 5.574287921249789e-07
Position 40: 5.317626547355525e-07
Position 938: 4.5669765583580047e-07
Position 105: 3.460790549538652e-07
Position 492: 2.653824727529742e-07
Position 682: 4.568736626423261e-08
Position 793: 3.278587300678637e-08
Position 621: 2.4734738860139007e-08
Position 735: 6.989695674087258e-09
Position 513: 4.9496366510525464e-09
Position 800: 4.790772373679918e-09
Position 123: 3.834140868440038e-09
Position 117: 2.194192076328666e-09
Position 653: 4.418548249187489e-10
Position 646: 4.391964554764652e-10
Position 197: 2.0400447922285466e-10
Position 684: 3.638733041853808e-11
Position 692: 1.42488453460696e-15
Position 740: 9.213400598491627e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 1537: 0.5700475659724787
Position 707: 0.189443319607184
Position 1202: 0.0600991491300294
Position 1657: 0.05924910765921596
Position 1424: 0.046380202441774494
Position 1114: 0.029447733121027567
Position 898: 0.023719541782822186
Position 1757: 0.02303227118206718
Position 1967: 0.013377838295601827
Position 1350: 0.013305905280728447
Position 738: 0.010554032043338773
Position 1437: 0.007736512164324149
Position 1613: 0.006827437928268662
Position 445: 0.0061664127375171815
Position 1298: 0.005310774110737412
Position 1183: 0.005160354859310822
Position 815: 0.004286876479814587
Position 1144: 0.0035515441631140017
Position 1238: 0.003372374622312335
Position 1568: 0.0032578240416590415
Position 1054: 0.003052456003261201
Position 1216: 0.00228800772897585
Position 1666: 0.0021283391320604987
Position 835: 0.0017623484718189489
Position 778: 0.0015903776977163981
Position 1827: 0.001198925839739708
Position 903: 0.0011389036927558585
Position 2062: 0.0010520661167908924
Position 2168: 0.0008945760240125483
Position 757: 0.0008566777914256822
Position 793: 0.0007528535596830442
Position 1807: 0.0007218796574313272
Position 2044: 0.0006799771751579634
Position 1542: 0.0006552539354333128
Position 1158: 0.0005763939523136266
Position 1735: 0.0005290202224521243
Position 1572: 0.0005159078234750572
Position 1839: 0.0004902951982537603
Position 870: 0.00042656297345912897
Position 1050: 0.0004029490145826833
Position 1141: 0.0003087847276543924
Position 716: 0.00030673532855733367
Position 2049: 0.0002657275054580659
Position 1125: 0.00022905261714175235
Position 1167: 0.00022090465784133597
Position 1760: 0.0002075444894706645
Position 1979: 0.00020740556648156966
Position 1252: 0.00020043947711965337
Position 1938: 0.00019230397358551874
Position 1220: 0.0001875036370743205
Position 1129: 0.0001800189981670539
Position 2027: 0.0001793818213543189
Position 1326: 0.00016184960130566744
Position 1155: 0.00015841079752659738
Position 1740: 0.00012632065573934224
Position 929: 0.00011119811473937321
Position 1782: 0.00010738818827221036
Position 969: 9.907260475561034e-05
Position 1723: 9.57639814551447e-05
Position 1002: 7.767306139739937e-05
Position 1550: 6.320060468984044e-05
Position 454: 5.6859940582972354e-05
Position 948: 5.586142124067958e-05
Position 1358: 4.678964614713904e-05
Position 1119: 4.548129657726391e-05
Position 1609: 4.220204425560878e-05
Position 1361: 4.0952115794356996e-05
Position 1935: 2.9943634099850015e-05
Position 876: 2.7069522182920278e-05
Position 1065: 2.701739142912416e-05
Position 1914: 2.629041400132883e-05
Position 1482: 2.6158257414241628e-05
Position 1941: 2.3741965641559263e-05
Position 1020: 2.1426855362605575e-05
Position 576: 1.895775004435724e-05
Position 841: 1.5320773286631464e-05
Position 2174: 1.184063746748844e-05
Position 1305: 1.174188438404025e-05
Position 486: 3.840535893954563e-06
Position 599: 3.5621030265777636e-06
Position 149: 4.639664017042714e-07
Position 458: 4.376160738877371e-07
Position 1076: 4.288620855643199e-07
Position 920: 3.526741827577673e-07
Position 938: 3.10716225085772e-07
Position 467: 2.3003286475833707e-07
Position 504: 2.0438144794812783e-07
Position 492: 2.0352912942280599e-07
Position 953: 1.7712833843274797e-07
Position 473: 1.714086430508133e-07
Position 275: 9.712376287996044e-08
Position 470: 8.365743972220177e-08
Position 304: 7.684679012832951e-08
Position 595: 6.78359180336228e-08
Position 462: 4.3920822315000075e-08
Position 424: 3.707365876590859e-08
Position 231: 2.3627488069134042e-08
Position 496: 1.617206236043026e-08
Position 464: 1.3730633393408694e-08
Position 404: 1.3517717005310493e-08
Position 415: 9.647592141916149e-09
Position 183: 4.6003706130301036e-09
Position 256: 4.1903491856084e-09
Position 412: 3.5473841872173455e-09
Position 635: 2.656809877687781e-09
Position 374: 2.4763905557440263e-09
Position 417: 2.259593852518553e-09
Position 362: 2.120439890705783e-09
Position 169: 1.010048235671899e-09
Position 88: 1.0054741261419405e-09
Position 209: 8.196209283224144e-10
Position 324: 8.035113271668812e-10
Position 166: 4.632738385643585e-10
Position 481: 4.462779901676945e-10
Position 331: 4.180271519312017e-10
Position 329: 3.769871951157506e-10
Position 380: 3.595892960289674e-10
Position 345: 3.266216749313285e-10
Position 483: 2.1194278310655053e-10
Position 613: 1.4512839705995161e-10
Position 277: 1.2083462127353874e-10
Position 237: 1.20791825869903e-10
Position 180: 1.184825574251912e-10
Position 352: 6.636721475039311e-11
Position 338: 4.420031545897689e-11
Position 245: 3.065223796607132e-11
Position 336: 2.2153821161036205e-11
Position 187: 1.7863935726974402e-11
Position 75: 1.0038267378061115e-11
Position 211: 7.9015318434168e-12
Position 603: 2.7434306008242117e-12
