Gene = FTSJ2
index = 568
Annotated 5SS: [  37 2781]
Annotated 3SS: [2490 6633]
SMsplice 5SS: [471]
SMsplice 3SS: [2490]
top_k =  500
Partition function (log Z): -11.096093770955763

Sorted 5' Splice Sites (High to Low Probability):
Position 2669: 0.4772543647520998
Position 471: 0.28637993954884566
Position 283: 0.1535628318598747
Position 554: 0.14344152572090227
Position 3865: 0.13542304615339137
Position 2781: 0.1309346705392168
Position 224: 0.11683435563862019
Position 37: 0.10708086225744119
Position 4184: 0.0792414695908851
Position 2627: 0.06286823339883124
Position 903: 0.05506825637579176
Position 359: 0.04002501064018151
Position 1511: 0.019076243479387852
Position 3018: 0.018163195365289583
Position 2274: 0.017573933246562548
Position 86: 0.01749784330956636
Position 1543: 0.014030777518570124
Position 1355: 0.013532727601986243
Position 2747: 0.009271182935468511
Position 478: 0.008295765876240611
Position 721: 0.006701573341134752
Position 2491: 0.005220002375946805
Position 4843: 0.005119104827599555
Position 948: 0.005102658557811217
Position 2762: 0.003760238315878876
Position 695: 0.0028625344910150796
Position 1272: 0.0028106010261743975
Position 1083: 0.002458419494900172
Position 1881: 0.002422540177840061
Position 1156: 0.0021151353154829932
Position 698: 0.002010536826571275
Position 1684: 0.0018740087081122053
Position 108: 0.0018537623270967784
Position 192: 0.001848110359115661
Position 2504: 0.0017966309693268723
Position 3747: 0.0016964905263699992
Position 4890: 0.0013376471839827602
Position 1851: 0.0012050148738281963
Position 2246: 0.0011729478444167224
Position 5483: 0.0010803754950599901
Position 127: 0.0010353387146257653
Position 5805: 0.0009368051135622178
Position 1516: 0.0009006452075926328
Position 5539: 0.0008833884611518751
Position 4011: 0.0008648781940416613
Position 393: 0.0008561144771205532
Position 4758: 0.0008083589412376714
Position 496: 0.0006936672466293115
Position 998: 0.0006224846736427308
Position 1463: 0.0005966711300471327
Position 804: 0.00043644844611890086
Position 79: 0.00041144646344057936
Position 966: 0.0004102889332563005
Position 908: 0.00032581766199225724
Position 1348: 0.00029280527476677117
Position 1680: 0.00028034362860731145
Position 551: 0.0002586158954240789
Position 3526: 0.0002053528937681425
Position 830: 0.000178637517760839
Position 95: 0.00012033832144429258
Position 673: 0.00011911545088769398
Position 2283: 0.00011335286167084472
Position 1428: 0.00010980684630649552
Position 1090: 4.36750987161125e-05
Position 1654: 4.012711970308337e-05
Position 510: 3.0747729711226084e-05
Position 1823: 2.9164410338788854e-05
Position 61: 2.769828799194571e-05
Position 1162: 2.6060757884295487e-05
Position 1528: 2.5250190516966725e-05
Position 1804: 2.3381948760544607e-05
Position 277: 6.508685810313437e-07
Position 76: 4.905315397871231e-07
Position 198: 4.32463679130635e-07
Position 2718: 2.756742054856636e-07
Position 2708: 2.536995870176702e-07
Position 2903: 2.1289582974996537e-07
Position 2641: 1.852500903679554e-07
Position 2921: 1.4221423199600883e-07
Position 251: 1.394674757370569e-07
Position 2753: 1.197539513158229e-07
Position 482: 1.0091036683581824e-07
Position 2710: 8.81155233916814e-08
Position 2967: 8.730412656426178e-08
Position 420: 3.641234623359504e-08
Position 1547: 1.2416144124955963e-08
Position 146: 4.328465375587981e-09
Position 388: 1.9208564789432238e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2490: 0.5566747873217093
Position 6633: 0.48107481166874916
Position 2521: 0.3266150081907142
Position 3738: 0.13700851812013834
Position 3260: 0.07226514957367938
Position 4689: 0.042353352632364366
Position 4098: 0.03249588372844347
Position 5518: 0.02922928924229974
Position 3580: 0.02299128779921228
Position 4059: 0.017308863711361137
Position 4566: 0.014821141343374642
Position 6772: 0.014529209343619063
Position 1653: 0.013543771647906626
Position 4009: 0.010905907864524701
Position 5971: 0.010197695391493795
Position 6696: 0.008861576965112363
Position 581: 0.00880244894885144
Position 4187: 0.008234151556553179
Position 5855: 0.008159703244651983
