Gene = UBE2H
index = 1519
Annotated 5SS: [   447  72055  73382  94048  95439 113743]
Annotated 3SS: [ 71977  73306  94007  95385 113613 117887]
SMsplice 5SS: [   447  31819  55849  73382  94048  95439 103976 113743]
SMsplice 3SS: [ 31709  55698  73306  94007  95385 103871 113613 114364]
top_k =  500
Partition function (log Z): -60.968302084803604

Sorted 5' Splice Sites (High to Low Probability):
Position 447: 0.706804278351944
Position 68: 0.2767570306547263
Position 3991: 0.08886332252614297
Position 2896: 0.07992277568409102
Position 7593: 0.04611055239972395
Position 678: 0.017037357504131333
Position 1154: 0.015187469928476999
Position 489: 0.013900795828045513
Position 4901: 0.007496560804042865
Position 4027: 0.0070748358794724625
Position 60: 0.006257342242769693
Position 7359: 0.005982590593639129
Position 475: 0.005360272514850755
Position 3011: 0.003148501595925947
Position 1238: 0.0029933950840948876
Position 3: 0.0028441517061665914
Position 1232: 0.002309004967074517
Position 1243: 0.0019782069079754463
Position 1672: 0.0019493303936493284
Position 3594: 0.0017466988658478909
Position 1479: 0.0014728145967947493
Position 4396: 0.0009666441562719416
Position 2891: 0.0009282171171495977
Position 4006: 0.0006051760098126444
Position 436: 0.000604439400675912
Position 1467: 0.0004954891333071297
Position 789: 0.00015690970710073666
Position 479: 0.00011035216632008066
Position 238: 7.934194506744192e-05
Position 2730: 5.871108570718904e-05
Position 477: 2.3407277416506736e-05
Position 196: 2.0496143811239957e-05
Position 228: 1.7325316591843234e-05
Position 439: 1.639510925813359e-05
Position 1016: 1.0149986866277427e-05
Position 286: 3.942795179985371e-06
Position 491: 3.48915992976055e-06
Position 407: 3.2538363330048358e-06
Position 1005: 3.1391609072907865e-06
Position 1102: 1.2208142164276592e-06
Position 72: 1.1750256497980767e-06
Position 1150: 1.1472831354302963e-06
Position 1429: 1.1437880871095697e-06
Position 221: 9.294588785164635e-07
Position 230: 2.6411855982298253e-07
Position 552: 2.0056395832517584e-07
Position 40: 1.9246074804948036e-07
Position 29: 1.817318663179211e-07
Position 693: 1.4916992235032506e-07
Position 26: 1.4779074990976756e-07
Position 288: 1.3607501962590215e-07
Position 456: 5.360214298359145e-08
Position 113: 2.246131622056188e-08
Position 396: 1.677603719062753e-08
Position 351: 1.0618433658229924e-08
Position 576: 9.61021800543556e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5561: 0.1142189410812738
Position 12403: 0.11275874758853031
Position 7442: 0.10349790381271401
Position 12339: 0.07973964044162198
