Gene = LCE1D
index = 766
Annotated 5SS: [21]
Annotated 3SS: [1021]
SMsplice 5SS: [21]
SMsplice 3SS: [1021]
top_k =  500
Partition function (log Z): -8.670562882435407

Sorted 5' Splice Sites (High to Low Probability):
Position 21: 0.7991920012249016
Position 512: 0.33628830590944053
Position 248: 0.13325341796108256
Position 607: 0.014585602102206456
Position 952: 0.012610930270347941
Position 509: 0.0057566973587665085
Position 516: 0.002620129040700404
Position 551: 0.0025542748367971164
Position 104: 0.0019263996535734862
Position 889: 0.001468266742080721
Position 399: 0.0014167161782135814
Position 662: 0.0010430696849697317
Position 424: 0.0008966957071724501
Position 563: 0.0007919889965122698
Position 557: 0.0005079761279570057
Position 1088: 0.0003003447303048111
Position 147: 0.0002681376342118968
Position 456: 0.00015618184658161148
Position 1100: 0.00014804254104054717
Position 111: 2.9248328759141403e-05
Position 1112: 2.6330663426312564e-05
Position 206: 2.5557580691927773e-05
Position 97: 1.2003952652227076e-05
Position 12: 4.467307175003276e-06
Position 262: 3.5991586737221876e-06
Position 252: 1.90766910923924e-06
Position 199: 1.2028847415027452e-06
Position 3: 8.816567112899239e-07
Position 94: 3.8479903780892256e-07
Position 341: 1.3588540446626986e-07
Position 371: 6.176739868454592e-08
Position 254: 1.1053663400302986e-08
Position 524: 5.088970482326629e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1021: 0.6239918084867356
Position 302: 0.23044054753438512
Position 309: 0.1181968867055162
Position 222: 0.0864763486138727
Position 1165: 0.05117333963082514
Position 607: 0.03819102155351925
Position 451: 0.02647627504004648
Position 355: 0.026293610033241835
Position 839: 0.02287979721977373
Position 1237: 0.011708620639034786
Position 808: 0.010773097644333082
Position 1282: 0.007817990543718938
Position 1321: 0.00720894797872928
Position 1297: 0.006501908462456271
Position 869: 0.005978846020599123
Position 1139: 0.004833764128908218
Position 1273: 0.003858293894136746
Position 224: 0.0034081915530215865
Position 168: 0.002794500898061367
Position 852: 0.0023458549446652827
Position 260: 0.0023273112152552723
Position 499: 0.00219235205234074
Position 1195: 0.0019194109238722134
Position 460: 0.0018203002808163539
Position 627: 0.0016753765186127995
Position 1342: 0.0014658088535597564
Position 1058: 0.001357392646695253
Position 1055: 0.0012606671212966809
Position 749: 0.0010558721042568543
Position 1149: 0.0009006848023312008
Position 816: 0.0007927502728319366
Position 624: 0.0007233871001180758
Position 611: 0.0006951102180732189
Position 1304: 0.0006673473959244314
Position 883: 0.0006184868360261832
Position 281: 0.0005478599521004881
Position 330: 0.0005292907258031051
Position 1171: 0.0005118057326385459
Position 360: 0.0004780615801799678
Position 845: 0.00038462502976990647
Position 662: 0.0003442584224706385
Position 1363: 0.00027510933490456404
Position 1360: 0.0002502206000243279
Position 101: 0.00023430128631445513
Position 1043: 0.00022924953840724506
Position 276: 0.0001664184737861638
Position 1325: 0.00016110890698784066
Position 1088: 0.0001430666330580716
Position 312: 0.0001276881798581516
Position 951: 0.00012333684196310575
Position 949: 0.00010445978419629003
Position 689: 7.894793541006412e-05
Position 471: 7.047978518195095e-05
Position 388: 5.54658855136035e-05
Position 508: 4.725856862347487e-05
Position 430: 4.490662587007975e-05
Position 144: 3.789001907525811e-05
Position 247: 3.0347505925944526e-05
Position 165: 2.466609288811122e-05
Position 87: 1.8542938354514055e-05
Position 109: 1.532949602925676e-05
Position 172: 1.1981693015028995e-05
Position 317: 7.790616118431059e-06
Position 262: 6.183046105702695e-06
Position 103: 6.050680375493275e-06
Position 116: 3.9718279650468874e-07
Position 178: 3.7920801051024635e-07
Position 128: 3.758124622841866e-07
Position 186: 3.3502911001796737e-07
Position 111: 2.7926202398288936e-07
Position 477: 2.110315967824321e-07
Position 283: 1.9188095080279017e-07
Position 180: 8.163282409146001e-08
Position 368: 4.363060610912514e-08
Position 121: 3.634434185976557e-08
Position 505: 2.5845084414404726e-08
Position 188: 7.61379573802921e-09
Position 576: 9.098168592212779e-11
Position 72: 1.4877678173162716e-13
Position 66: 1.5280324866352618e-15
