Gene = SPRTN
index = 1325
Annotated 5SS: [  557  1821  9878 13524]
Annotated 3SS: [ 1720  9748 13255 14561]
SMsplice 5SS: [  557  1821  9878 10112 10758]
SMsplice 3SS: [ 1720  9748  9993 10605 13255]
top_k =  500
Partition function (log Z): -6.919970160184592

Sorted 5' Splice Sites (High to Low Probability):
Position 9878: 0.9358480651368378
Position 10112: 0.8484714482346015
Position 1821: 0.8377235078971847
Position 557: 0.7208739933593592
Position 10758: 0.6282661697262496
Position 6667: 0.4649239589512236
Position 13524: 0.46369705960875307
Position 1430: 0.2812528273764292
Position 9297: 0.2299794799294633
Position 157: 0.19892820093981847
Position 8879: 0.11828443164310917
Position 13720: 0.07498818411710155
Position 9663: 0.06165054808252258
Position 10128: 0.05846914371855848
Position 73: 0.04528541947727131
Position 83: 0.03801093309610521
Position 3059: 0.034902962042259435
Position 12756: 0.0318307827391426
Position 531: 0.030529654801662694
Position 14723: 0.029889261500451837
Position 778: 0.028932430133880555
Position 14292: 0.02893119390275158
Position 1488: 0.0157563375014207
Position 6267: 0.015642525726178174
Position 2931: 0.015335310113698876
Position 10293: 0.014699495690229237
Position 13396: 0.013836895757744523
Position 1454: 0.012409599573933009
Position 3087: 0.009511957832945997
Position 947: 0.00945600940826705
Position 5848: 0.009174565141198278
Position 102: 0.008815854366161365
Position 4526: 0.007067138487952962
Position 1127: 0.006639133332564247
Position 5756: 0.006567869510161444
Position 11739: 0.006423847776223464
Position 4657: 0.006107933628397465
Position 13987: 0.004543092571761154
Position 14440: 0.004508499614724186
Position 14577: 0.004503136472924081
Position 4: 0.0044980432605122075
Position 10795: 0.003341760415893854
Position 14747: 0.0021278210600753768
Position 793: 0.002064637557820554
Position 12324: 0.0019694225095570183
Position 1575: 0.0019489419156348863
Position 13690: 0.001822876435937922
Position 10422: 0.0017351067111917565
Position 14210: 0.0017279451063177014
Position 8682: 0.0011844921601391815
Position 1901: 0.0011585194358625897
Position 931: 0.001108731387720556
Position 25: 0.0010768409996426902
Position 10199: 0.0009883194189449533
Position 1586: 0.0007717327311287542
Position 543: 0.000760849141944552
Position 57: 0.0007538280617385722
Position 1559: 0.0007468771384062313
Position 282: 0.0007305716279097496
Position 446: 0.0006308789185078067
Position 10762: 0.0006193269516915313
Position 6932: 0.0005830109998431184
Position 10271: 0.0005682083579131147
Position 970: 0.0005517463671737691
Position 12644: 0.0005481689008910743
Position 252: 0.0005260353462089183
Position 1606: 0.0005183123111426022
Position 649: 0.0003247822393249143
Position 6801: 0.0003123439665869599
Position 5098: 0.00029325726472308883
Position 6275: 0.00028540763064170113
Position 1294: 0.00023680524359642757
Position 996: 0.00016830007013013038
Position 274: 0.00015802132928272684
Position 479: 0.0001550114512580779
Position 1412: 0.00014615670249407765
Position 1107: 0.00011930038444714858
Position 871: 9.152603103740322e-05
Position 1638: 9.011748869602899e-05
Position 760: 8.024084910470344e-05
Position 1435: 7.432687678191745e-05
Position 915: 3.4781268594539017e-05
Position 1832: 3.0422770458282806e-05
Position 353: 2.7888063773599433e-05
Position 450: 2.4926184483894454e-05
Position 1853: 1.2563491683348e-05
Position 246: 1.0005790002268721e-05
Position 216: 5.432226633765451e-06
Position 416: 4.488666021553071e-06
Position 321: 3.936252409061848e-06
Position 2100: 2.5714873035861863e-06
Position 440: 1.6917307128670956e-06
Position 536: 1.07135993654346e-06
Position 429: 1.0032349908956218e-06
Position 561: 9.493805567202068e-07
Position 104: 6.249523136251508e-07
Position 377: 5.543865398140998e-07
Position 422: 4.788610004453118e-07
Position 184: 4.2631660320795975e-07
Position 483: 3.010027492561456e-07
