Gene = TSGA13
index = 1497
Annotated 5SS: [  602   987  2243  3837  6485  8276 14695 15768]
Annotated 3SS: [  886  2069  3757  6412  8062 14551 15639 18244]
SMsplice 5SS: [  987  1169  2243  3377  3837 15768]
SMsplice 3SS: [ 1056  2069  3183  3757 15639 18244]
top_k =  500
Partition function (log Z): -3.617683677275642

Sorted 5' Splice Sites (High to Low Probability):
Position 2243: 0.9546521029542441
Position 987: 0.9118349516098768
Position 15768: 0.8929299846794312
Position 3377: 0.8778755286552986
Position 3837: 0.8673632631325794
Position 1169: 0.8244288438622047
Position 8276: 0.6543045207313466
Position 14695: 0.3589804381196755
Position 602: 0.26362220035655404
Position 307: 0.18106483567548123
Position 670: 0.13726013912129556
Position 3850: 0.1220560963292578
Position 10152: 0.07285717184420755
Position 664: 0.06067874584211482
Position 6346: 0.059757663211097475
Position 14180: 0.05770054374465434
Position 2547: 0.05603843837771809
Position 2757: 0.054734408623378375
Position 6341: 0.051377486013824664
Position 4814: 0.046858864646109055
Position 4818: 0.04648758149116705
Position 355: 0.03285087345375783
Position 4079: 0.02853878951042817
Position 6307: 0.01847022346358904
Position 8850: 0.01770798154580921
Position 13911: 0.015561724898145536
Position 5907: 0.014580172575896845
Position 323: 0.012467720730560442
Position 693: 0.012425836302765015
Position 685: 0.012309195613890721
Position 520: 0.010655664574300387
Position 162: 0.009124582514701999
Position 1001: 0.008671220937175124
Position 6201: 0.007822191848945486
Position 2519: 0.007315277461188783
Position 16297: 0.006336956486941277
Position 3393: 0.006100088719048351
Position 2178: 0.005720475748758828
Position 701: 0.005018913198780209
Position 703: 0.004684084678784695
Position 699: 0.004599247691621472
Position 972: 0.004372075891199689
Position 697: 0.004332361425394187
Position 705: 0.004193520948363921
Position 709: 0.004109409466203003
Position 707: 0.003990652834260867
Position 715: 0.0039004836352430536
Position 713: 0.00383930944169948
Position 711: 0.0037806641554275194
Position 1559: 0.0037735541948954016
Position 3535: 0.0036593360293222287
Position 695: 0.0036006446488143903
Position 3278: 0.0034956516029238183
Position 717: 0.0034411305771475747
Position 1353: 0.0033683903546815846
Position 1491: 0.00299585615189652
Position 1180: 0.0028216229246409387
Position 3122: 0.0026171075822212213
Position 178: 0.002599945484151204
Position 1267: 0.0025564648712753913
Position 6596: 0.002355092014158444
Position 6485: 0.0023324822992777964
Position 3248: 0.002242455262530713
Position 719: 0.0022070674098599277
Position 1758: 0.0016731951773315977
Position 171: 0.0016357892156058482
Position 721: 0.0014358668881311874
Position 630: 0.0014161191060385447
Position 2195: 0.0013661850645105677
Position 723: 0.0011625542953775572
Position 229: 0.001134321564182271
Position 3273: 0.001058380513744347
Position 727: 0.0009650331133334708
Position 725: 0.000948614054333187
Position 114: 0.0008021957187956321
Position 729: 0.0007965061960011828
Position 232: 0.000761799889665463
Position 3805: 0.0007371323301515445
Position 530: 0.0007365015796863032
Position 731: 0.0006818506530997232
Position 992: 0.0006215603408721359
Position 400: 0.000612436177699192
Position 3410: 0.0006096271426742248
Position 472: 0.0005839259272186914
Position 3846: 0.0005390585761956895
Position 4859: 0.000430544322625753
Position 267: 0.0004011588352235881
Position 1789: 0.00036493209672621124
Position 280: 0.000332676362877428
Position 2903: 0.0003130451903084852
Position 1224: 0.00025043908202491115
Position 5911: 0.00023209538010021718
Position 3415: 0.0001765670273652885
Position 3381: 0.00012730563536329613
Position 365: 0.00011160466339530996
Position 311: 0.00010639451420225334
Position 1024: 0.0001003684962365672
Position 3397: 9.270852903432283e-05
Position 1967: 7.807296053959088e-05
Position 4397: 7.549362711415716e-05
Position 518: 6.885710790537652e-05
Position 977: 6.770045262438221e-05
Position 3270: 5.627216787499191e-05
Position 5152: 4.933878340580996e-05
Position 4146: 4.878903974869008e-05
Position 735: 4.497132866868082e-05
Position 413: 4.0912769135224264e-05
Position 1915: 3.3527268639427814e-05
Position 4939: 2.2946353776581255e-05
Position 646: 2.0813303789901426e-05
Position 4809: 1.991092874588172e-05
Position 478: 1.507932720938923e-05
Position 797: 1.4716037502190616e-05
Position 512: 8.832170425443063e-06
Position 2570: 7.555114357221525e-06
Position 818: 2.985461592348395e-06
Position 1035: 2.206357495513332e-06
Position 491: 1.1327660947892015e-08
Position 42: 3.2078940145473006e-09
Position 416: 2.4657354077401238e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3757: 0.9834186632440125
Position 2069: 0.9296011253586972
Position 1056: 0.689106479828136
Position 3183: 0.6692618129749721
Position 15639: 0.646928566113561
Position 886: 0.5300035430443321
Position 8062: 0.4790722589599464
Position 14551: 0.41270971887079405
Position 18244: 0.33545962057391826
Position 15607: 0.26826827256794933
Position 3305: 0.22216703610886998
