Gene = TRBV30
index = 1481
Annotated 5SS: [155]
Annotated 3SS: [521]
SMsplice 5SS: [423]
SMsplice 3SS: [521]
top_k =  500
Partition function (log Z): -10.922339329635989

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.7014891091101435
Position 155: 0.3145527600276238
Position 237: 0.008848378158923904
Position 233: 0.008014810859216388
Position 70: 0.002325995240057024
Position 342: 0.0022865353352818224
Position 159: 0.0018470940618933519
Position 351: 0.0014697304189098064
Position 634: 0.0014563936488836218
Position 213: 0.00048739056993591485
Position 252: 0.0003722449541485226
Position 355: 0.00019805193133774952
Position 266: 6.238003961512895e-05
Position 224: 3.6684158095268535e-05
Position 707: 2.8841047860374708e-05
Position 459: 2.304528346762478e-05
Position 684: 2.253438622411238e-05
Position 429: 2.044004937147643e-05
Position 74: 1.72770612476285e-05
Position 495: 1.2581386788288454e-05
Position 563: 8.200031408343504e-06
Position 431: 5.635029771468115e-06
Position 524: 3.6950780365546985e-06
Position 572: 3.6573893136530548e-06
Position 318: 3.510230373119532e-06
Position 485: 2.386565662779096e-06
Position 602: 5.301058801873366e-07
Position 595: 3.440176344471484e-07
Position 398: 2.435365059846119e-10
Position 346: 1.3304667037254161e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 521: 0.955765787291293
Position 276: 0.02376556207120446
Position 370: 0.016517882070542906
Position 318: 0.013253290016820024
Position 339: 0.01022128461326759
Position 398: 0.005695014630626711
Position 528: 0.002796273930514541
Position 694: 0.002792919531965877
Position 422: 0.0025390688001476164
Position 222: 0.0019954008998543456
Position 336: 0.001451689063158441
Position 568: 0.0009702476731209488
Position 715: 0.0009145606243644586
Position 342: 0.0006924005897826693
Position 252: 0.0006716012290083205
Position 554: 0.0005147871060535679
Position 290: 0.00045739183359820975
Position 643: 0.0004262471722033539
Position 748: 0.0003806425985698503
Position 595: 0.0002985760802766867
Position 469: 0.00024753899672128987
Position 535: 0.00017998877094527467
Position 739: 0.00014441315976620594
Position 732: 0.00012934190488562855
Position 725: 0.00012745127088650238
Position 296: 0.00010672076039902019
Position 224: 0.00010328323778180798
Position 579: 9.934077777329082e-05
Position 699: 9.17146096638922e-05
Position 810: 8.030286439544837e-05
Position 780: 4.538659982997349e-05
Position 650: 4.291645092252942e-05
Position 178: 2.8873639747827582e-05
Position 664: 1.8285261511032757e-05
Position 440: 9.653944028002434e-06
Position 769: 7.495318151458834e-06
Position 759: 5.650090642606721e-06
Position 766: 5.445499420786799e-06
Position 474: 2.7853086483224263e-06
Position 654: 1.4256945818237987e-06
Position 706: 9.633112380909856e-07
Position 478: 6.264870983553973e-07
Position 230: 4.644447934662019e-09
Position 442: 4.085282560502893e-12
