Gene = PHAX
index = 1021
Annotated 5SS: [  791  3916  8217 17066]
Annotated 3SS: [ 3301  8095 16981 24306]
SMsplice 5SS: [  165   791  3916  8217 17066]
SMsplice 3SS: [  675  3822  8095 16981 24306]
top_k =  500
Partition function (log Z): 0.028574518061649012

Sorted 5' Splice Sites (High to Low Probability):
Position 17066: 0.996719928622423
Position 8217: 0.9960586427500898
Position 791: 0.9558214561025873
Position 3916: 0.9514301735617609
Position 3402: 0.5092980202361788
Position 165: 0.38590845274959595
Position 47: 0.34784751634545985
Position 6708: 0.23069492723459273
Position 16823: 0.19949095457090535
Position 430: 0.1910906880945235
Position 266: 0.16383159415872686
Position 2218: 0.16082745593322778
Position 4140: 0.15576701689495456
Position 9388: 0.07884126414691923
Position 9599: 0.07305505828459978
Position 287: 0.0673268673701932
Position 16883: 0.06417960254420654
Position 15032: 0.06276932057138737
Position 6742: 0.05328829844719409
Position 3609: 0.050006912520461445
Position 19699: 0.04621716227843359
Position 13773: 0.045446061606274096
Position 6051: 0.045233547945149236
Position 19970: 0.03991841105903804
Position 181: 0.03594722910975753
Position 3390: 0.0348501313126522
Position 15638: 0.03235633763419282
Position 10057: 0.03234266502108305
Position 10045: 0.03009183655735354
Position 19780: 0.023235013864787095
Position 808: 0.021181903161798996
Position 10581: 0.014455904754841204
Position 6194: 0.011406967309828216
Position 14124: 0.010966219720750365
Position 22501: 0.00985919444928561
Position 9783: 0.008456685927310088
Position 12013: 0.008157823922912468
Position 19250: 0.00759166528648308
Position 4277: 0.006262769450603087
Position 22631: 0.0059915319777326045
Position 18937: 0.005302169437826688
Position 12029: 0.005257400457375362
Position 6868: 0.0045735470963999695
Position 2522: 0.004469650004661971
Position 13635: 0.003971074802305582
Position 5708: 0.003657334788763598
Position 497: 0.003210031407660965
Position 2023: 0.003117680070692922
Position 3159: 0.0028350838590560368
Position 2554: 0.0024246294395948785
Position 12292: 0.002399359959165658
Position 20061: 0.0021337701647236368
Position 865: 0.0020495763750491463
Position 9819: 0.0017881113757803107
Position 28: 0.0017867679994160932
Position 543: 0.0015077884558227688
Position 2679: 0.0014501121522992246
Position 1677: 0.0013493777689474002
Position 362: 0.001046257223758337
Position 512: 0.0008508772361940609
Position 20943: 0.0007474381848894578
Position 3248: 0.0006745851043254126
Position 3411: 0.0006538373244317535
Position 3365: 0.0006312160925403044
Position 707: 0.0006074838727505007
Position 1187: 0.000547734397193405
Position 191: 0.0004808225097348728
Position 5037: 0.00035911604829139045
Position 871: 0.0002830307015519909
Position 8611: 0.00019542601726412715
Position 298: 0.00018243961353381396
Position 5835: 0.00018098962403795843
Position 2108: 0.00016109115932978922
Position 10: 0.00015803614941850075
Position 812: 0.0001389769510127803
Position 924: 0.00013858486712083832
Position 259: 0.0001316593283718699
