Gene = G0S2
index = 571
Annotated 5SS: [130]
Annotated 3SS: [232]
SMsplice 5SS: [130 342]
SMsplice 3SS: [232 425]
top_k =  500
Partition function (log Z): -2.50345287315029

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.992705669353107
Position 342: 0.5852414933531342
Position 334: 0.017428202955475616
Position 53: 0.005061845103899982
Position 170: 0.0016148145245268191
Position 57: 0.0003728206565131139
Position 532: 0.00019991019673185807
Position 133: 0.00012475695019286895
Position 379: 0.00010974571962385396
Position 346: 3.174092445170833e-05
Position 400: 2.2034517199606662e-05
Position 582: 1.8655405827719608e-05
Position 376: 1.4305195302340428e-05
Position 274: 9.626344057911858e-06
Position 402: 4.42133718043016e-06
Position 428: 2.326361509352506e-06
Position 358: 1.4978470556770216e-06
Position 598: 9.230268894836855e-07
Position 614: 7.171741400396759e-07
Position 794: 1.3751088339853993e-07
Position 782: 1.3613746758756404e-07
Position 5: 1.3386142345342696e-07
Position 119: 1.0476687149176288e-07
Position 180: 5.099800349177063e-09
Position 233: 3.745702144515896e-09
Position 177: 1.7966728863612425e-10
Position 197: 2.4231516558964306e-11
Position 189: 3.4868134940469867e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 232: 0.9992417066660251
Position 425: 0.41097125831942294
Position 441: 0.07834852112193827
Position 564: 0.02416984486200776
Position 731: 0.017994334348677584
Position 444: 0.016989120417153586
Position 750: 0.011231807943461439
Position 465: 0.00935168207691427
Position 576: 0.007870139605058895
Position 407: 0.005883395325972714
Position 877: 0.005868919663028374
Position 483: 0.005370347991343507
Position 810: 0.002587101516805095
Position 695: 0.0013062501277169077
Position 668: 0.0012288908372055218
Position 495: 0.0009123819649217872
Position 448: 0.0005493713964042296
Position 767: 0.0005438348422519695
Position 779: 0.0004621972307911
Position 733: 0.0003693694404994439
Position 206: 0.0002279496553357101
Position 492: 0.00022659803609403697
Position 507: 0.00020556357754634915
Position 782: 0.0001371062472488703
Position 477: 0.00012023513275580181
Position 671: 0.00011347205477563024
Position 688: 0.00010412002420839492
Position 499: 8.985910443152947e-05
Position 514: 8.639597262132684e-05
Position 510: 3.914515628900679e-05
Position 593: 3.851095237477477e-05
Position 257: 3.7137537593994915e-05
Position 794: 3.305509171872358e-05
Position 252: 3.061831815287103e-05
Position 300: 2.920218556682786e-05
Position 250: 2.853848991261271e-05
Position 690: 2.713254421538936e-05
Position 396: 1.5270440627315773e-05
Position 627: 1.4025618733983926e-05
Position 617: 1.3656903830095752e-05
Position 356: 1.2931460930375531e-05
Position 608: 1.1305592119659049e-05
Position 651: 1.0498501296748329e-05
Position 279: 9.452002245453227e-06
Position 459: 8.938078101504942e-06
Position 881: 8.390742111380912e-06
Position 885: 8.107149270769462e-06
Position 303: 7.192320943595211e-06
Position 259: 5.105350083234278e-06
Position 519: 4.3437432592621575e-06
Position 525: 3.9672740064487175e-06
Position 614: 1.6557936445883304e-06
Position 698: 1.0013504385764875e-06
Position 522: 9.751952251408948e-07
Position 637: 8.735636192685092e-07
Position 647: 7.124701287119801e-07
Position 318: 5.363271486128103e-07
Position 315: 4.7025393291434267e-07
Position 621: 4.4340506582606916e-07
Position 598: 3.6881227125362354e-07
Position 653: 3.6301754493800303e-07
Position 588: 2.0391291410193746e-07
Position 282: 6.80802628021075e-08
Position 160: 1.3915506332011713e-08
Position 324: 1.2480502230776521e-08
Position 165: 1.1948545508287292e-08
Position 264: 7.734202547628155e-09
Position 129: 3.919780197506578e-09
Position 339: 2.8387983571005337e-09
Position 330: 2.1588191875412678e-09
Position 149: 7.515190805946496e-11
Position 186: 4.5964283778299647e-11
Position 133: 1.175218580273041e-11
Position 94: 5.645210449360433e-12
