Gene = OCLN
index = 982
Annotated 5SS: [  368 12003 17528 21818 42548 52828 55810 59294]
Annotated 3SS: [11884 16848 21655 42401 52611 55637 59251 61277]
SMsplice 5SS: [  609 12003 21818 42548 52828 55810]
SMsplice 3SS: [11884 21655 42401 52611 55637 61277]
top_k =  500
Partition function (log Z): -22.503107105696014

Sorted 5' Splice Sites (High to Low Probability):
Position 12003: 0.9997519112782571
Position 21818: 0.99300193361832
Position 2724: 0.5478796117106983
Position 609: 0.49536352556364494
Position 3079: 0.3906477691422338
Position 3440: 0.33591556486014174
Position 549: 0.21667310574676263
Position 14986: 0.19341962141307603
Position 14071: 0.17866694930032587
Position 419: 0.11327603520686036
Position 368: 0.10267984111945061
Position 2749: 0.0708378948730649
Position 536: 0.06575211600298148
Position 2437: 0.0655008174914885
Position 3124: 0.06526613934332517
Position 20388: 0.06430574202785173
Position 3031: 0.04922472841932689
Position 225: 0.047700906156174575
Position 7061: 0.04518749174931768
Position 2450: 0.03547600372650856
Position 12256: 0.008990109774529945
Position 12246: 0.008107181795450969
Position 1268: 0.005571089434135802
Position 1408: 0.004229003863376328
Position 2676: 0.003983175308278872
Position 6665: 0.003214877666427019
Position 2174: 0.003211822153639987
Position 2560: 0.0031606262590583925
Position 331: 0.0025432006373752093
Position 524: 0.001820560485252716
Position 2362: 0.0015049263358809218
Position 2938: 0.0012050101999561322
Position 2682: 0.0011437841547719354
Position 3002: 0.000922004041816164
Position 690: 0.0005996365876131438
Position 175: 0.0005301284517476237
Position 15878: 0.00033442670415420557
Position 25: 0.00023747909778327445
Position 68: 0.0002310003408777094
Position 415: 0.00022480735386041706
Position 21999: 0.0002203886893316921
Position 2813: 0.00020104451842517897
Position 21745: 0.00019953293864163896
Position 12007: 0.00019212665563497392
Position 773: 0.00017064969419143127
Position 585: 0.0001639575372330364
Position 1177: 0.00015472691776750836
Position 2961: 9.161852587546881e-05
Position 15079: 7.324271975766951e-05
Position 150: 6.410739337728462e-05
Position 2130: 4.8110710755077255e-05
Position 17528: 2.771548421800863e-05
Position 444: 2.4823067279167e-05
Position 14218: 1.9174753593546414e-05
Position 12900: 9.037304237675683e-06
Position 65: 8.00665360927152e-06
Position 447: 3.3835913650813978e-06
Position 520: 2.589296801452472e-06
Position 233: 2.1114074174807983e-06
Position 177: 1.4104406235633959e-06
Position 276: 1.2220787146345772e-06
Position 1052: 8.019045284335593e-07
Position 218: 7.750372411937713e-07
Position 595: 4.5603993289563815e-07
Position 142: 4.181977736104792e-07
Position 352: 4.1016664963232915e-07
Position 729: 2.0351132328273572e-07
Position 85: 2.0729411455770405e-08
Position 615: 1.6051061805728813e-09
Position 652: 6.934576651234867e-10
Position 627: 5.944907835084174e-10
Position 194: 2.310916504012122e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 11884: 0.9999440379338916
Position 21655: 0.9935464694875543
Position 39870: 0.440459612697253
Position 2986: 0.4249903594376209
Position 2559: 0.3785545705257974
Position 3168: 0.2843045226553081
Position 2585: 0.12306589180632824
Position 14867: 0.12153636293039638
Position 2631: 0.11155699562868299
Position 33660: 0.10962799780254781
Position 13859: 0.10199787847463082
Position 2834: 0.089669331637731
Position 2334: 0.08084935226382896
Position 13991: 0.06925325836825304
Position 14887: 0.06691452087210609
Position 20217: 0.06430574202785173
Position 3336: 0.04027243771645342
Position 27356: 0.03952593457173942
Position 27162: 0.03897003807790738
Position 21905: 0.03413801141749469
Position 26113: 0.030831617500413612
Position 6807: 0.02761066081734669
Position 27446: 0.027375821486251197
Position 31121: 0.027237827818218943
Position 32837: 0.02516004931398383
Position 27694: 0.022007130337723287
