Gene = AUNIP
index = 119
Annotated 5SS: [  133 22000]
Annotated 3SS: [21857 23565]
SMsplice 5SS: [  133 22000]
SMsplice 3SS: [21857 23565]
top_k =  500
Partition function (log Z): -14.262689508293985

Sorted 5' Splice Sites (High to Low Probability):
Position 22000: 0.8234637603482473
Position 133: 0.760911018637096
Position 13895: 0.6255777367131703
Position 170: 0.23735574863115516
Position 9110: 0.004397409122026487
Position 4112: 0.002197925034966988
Position 11219: 0.0010974803042618645
Position 7813: 0.001071866588375352
Position 185: 0.0010677329992811676
Position 2020: 0.0009440373341428641
Position 3623: 0.0009361164020828412
Position 8690: 0.0006941996637168506
Position 4611: 0.0006691175984581946
Position 13907: 0.0006065215902286753
Position 601: 0.0005975426687648979
Position 9048: 0.0004691013562844792
Position 6131: 0.00032169511667723796
Position 9168: 0.00031839960314401317
Position 2380: 8.330434301595887e-05
Position 371: 5.439728854803893e-05
Position 5050: 4.051317130026008e-05
Position 400: 3.955451709001649e-05
Position 908: 3.564549650908968e-05
Position 1145: 3.3442125535275e-05
Position 5669: 2.9666283052387003e-05
Position 5520: 2.4364912302077906e-05
Position 3880: 2.432853779241412e-05
Position 3823: 2.323604935702717e-05
Position 5630: 1.6853820480780145e-05
Position 297: 1.6342616724795046e-05
Position 4212: 1.5146252375557227e-05
Position 2565: 1.4520478119654653e-05
Position 5420: 1.3265030126838811e-05
Position 127: 2.000346070676051e-06
Position 800: 1.1577943318260912e-06
Position 548: 6.433989362050165e-07
Position 394: 2.552186159953654e-09
Position 286: 1.7824952138722535e-09
Position 93: 1.0909751878126974e-09
Position 487: 8.597592510463969e-10
Position 358: 7.419417754969407e-10
Position 40: 3.671967466495e-10
Position 232: 1.2934177433359775e-10
Position 91: 1.0308696133313226e-10
Position 199: 9.870775087114416e-11
Position 158: 6.357238150576345e-11
Position 422: 5.0186330759608213e-11
Position 283: 1.0278892893310881e-14
Position 256: 2.54284322661554e-15
Position 26: 1.268773271292612e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 21857: 0.8653587462296748
Position 13804: 0.6321888719965482
Position 23565: 0.3107936100604962
Position 22477: 0.17586340387351596
Position 22849: 0.16211991346046076
Position 24746: 0.09179173473845535
Position 24380: 0.06879590224953307
Position 12492: 0.025095650509258344
Position 22213: 0.0140991959657864
Position 19063: 0.010246815234543896
Position 5824: 0.00951557325377162
Position 16969: 0.009426120572247435
Position 14101: 0.009282337997343225
Position 8954: 0.008010466263373232
Position 12461: 0.005798860493304877
Position 19348: 0.005439144278604654
Position 15644: 0.005343391792066797
Position 16242: 0.004943790478671264
Position 10931: 0.004645147997931721
Position 19325: 0.004413206848535416
Position 17098: 0.00412334513459965
Position 14452: 0.004120879847191627
Position 8910: 0.003913335501452389
Position 5205: 0.0022524127324194333
Position 3957: 0.001881851120787077
Position 16132: 0.001308037952624965
Position 9205: 0.0012706436809825617
Position 5536: 0.0012276806359158155
