Gene = IRSp53
index = 1223
Annotated 5SS: [  240 15509 22166 22377 22518 22778 22937 23515 23933 24678 24884]
Annotated 3SS: [14823 22089 22292 22455 22579 22870 23247 23709 23997 24731 25422]
SMsplice 5SS: [  240 15509 22166 22377 22518 22778 23515 23933 24678 24884 27440]
SMsplice 3SS: [14823 22089 22292 22455 22579 22870 23709 23997 24731 27366 27505]
top_k =  1000
Partition function (log Z): 31.423539975012723

Sorted 5' Splice Sites (High to Low Probability):
Position 22778: 0.9998964654371933
Position 24678: 0.9978543977738448
Position 24884: 0.9976693669644539
Position 23933: 0.9941293357363103
Position 22166: 0.9794556247073621
Position 22377: 0.9722874634252464
Position 15509: 0.9554073849184196
Position 23515: 0.9329461537732284
Position 22518: 0.913209358624538
Position 240: 0.8896977221622737
Position 27440: 0.850278326855144
Position 22937: 0.5057388758212003
Position 3199: 0.22624985738244793
Position 21905: 0.14923741279703878
Position 3502: 0.1267170059574305
Position 23344: 0.12633654854200982
Position 27176: 0.0934011516432289
Position 3162: 0.07485684105733074
Position 3168: 0.06648746539267039
Position 155: 0.05737188211318012
Position 23051: 0.04675003799103705
Position 2018: 0.03834392398121867
Position 6270: 0.03187348264965836
Position 3156: 0.029084494405169227
Position 15996: 0.017186262526562426
Position 23092: 0.012618770013674322
Position 8381: 0.011778535051995609
Position 5392: 0.011335381720412338
Position 401: 0.008754689720963861
Position 1505: 0.0085743487444863
Position 23007: 0.006664145131583188
Position 1508: 0.004886384393415508
Position 1459: 0.00478986208851399
Position 24178: 0.004693450912247025
Position 1226: 0.004133575531868503
Position 22522: 0.004105924321594414
Position 1901: 0.003481618819030989
Position 23911: 0.0034455166490178087
Position 27254: 0.003360307689966818
Position 69: 0.003039323446930769
Position 22215: 0.0029839269161161643
Position 22210: 0.002941851584318436
Position 17: 0.0028636491246586825
Position 1119: 0.0028461721263346074
Position 23060: 0.0023650911739343684
Position 1772: 0.00208399134579506
Position 16149: 0.002031766892676376
Position 19450: 0.0020007265172400177
Position 26942: 0.0019615534442136663
Position 779: 0.0017732162225792885
Position 790: 0.0017322284399575057
Position 1655: 0.0016194630242190558
Position 24888: 0.001477669204491102
Position 304: 0.0014501794015642463
Position 23271: 0.0014425901741280244
Position 26819: 0.0013696291460796675
Position 293: 0.001353803294729882
Position 1768: 0.0011600937729442805
Position 643: 0.001000750308777195
Position 18291: 0.0009658714196574729
Position 26740: 0.0009077507945684821
Position 22995: 0.0009016401110796275
Position 23320: 0.0008939125985295283
Position 19436: 0.0008863524847270938
Position 26097: 0.0008796437983518577
Position 89: 0.0008227164497195906
Position 25797: 0.0007964205997833544
Position 38: 0.0007077424173336656
Position 74: 0.0007004679916935122
Position 23111: 0.0006856849907728873
Position 979: 0.0006807260652341437
