Gene = Rint1
index = 1427
Annotated 5SS: [ 250 1133 1417 2264]
Annotated 3SS: [ 304 1190 1470 2339]
SMsplice 5SS: [ 250 1133 2264]
SMsplice 3SS: [ 304 1190 2339]
top_k =  1000
Partition function (log Z): -0.6155433500144226

Sorted 5' Splice Sites (High to Low Probability):
Position 1133: 0.9381656992507327
Position 2264: 0.9041302871847477
Position 250: 0.8963828567465402
Position 1417: 0.26090586163801543
Position 485: 0.11123768866280591
Position 52: 0.10645254412218423
Position 1110: 0.05938596068512542
Position 235: 0.026016885534986607
Position 938: 0.022525169216819144
Position 935: 0.019919728997701832
Position 1758: 0.01549543813405482
Position 1334: 0.011359780670488444
Position 644: 0.009724718685500696
Position 208: 0.007864609302910733
Position 368: 0.0074828441936991815
Position 593: 0.007302201023381185
Position 4: 0.006809157437038048
Position 2037: 0.006049207619247783
Position 49: 0.004901695797616898
Position 641: 0.003510941117059119
Position 1365: 0.0018502723692815375
Position 914: 0.0016150163803183158
Position 1719: 0.001401541885984335
Position 1382: 0.0012346967455560002
Position 1316: 0.0009307069066072034
Position 1565: 0.000767340127311742
Position 524: 0.0004220980930630973
Position 847: 0.00041586770473500174
Position 755: 0.0003986327753502494
Position 1695: 0.0002525121291025108
Position 1027: 0.00019070917639013463
Position 2289: 0.00014391080752361113
Position 1567: 0.00011679846231605254
Position 2491: 0.00010699364720066221
Position 17: 0.00010611286739641998
Position 648: 9.630155744530603e-05
Position 1957: 8.02186158547775e-05
Position 1771: 7.811458131902406e-05
Position 1764: 7.51883621884565e-05
Position 1459: 7.366489669762763e-05
Position 969: 6.939155572341257e-05
Position 501: 6.731442878499102e-05
Position 1024: 6.659350295594564e-05
Position 1470: 6.564746793811549e-05
Position 511: 6.187251054018671e-05
Position 1711: 6.107900574075579e-05
Position 1446: 5.104679991063717e-05
Position 916: 4.9062719972689274e-05
Position 2231: 4.720079419236811e-05
Position 1618: 4.477775223672083e-05
Position 958: 4.248756365421705e-05
Position 1788: 4.048810951923128e-05
Position 2268: 3.616110910696569e-05
Position 1073: 3.2559472077116186e-05
Position 808: 2.9375469120260354e-05
Position 1577: 2.3460454955128477e-05
Position 1427: 2.0531233059124747e-05
Position 1850: 2.0093771054500368e-05
Position 2481: 1.774724291715819e-05
Position 2104: 1.7197501184325142e-05
Position 452: 1.4127229991610157e-05
Position 83: 1.3191552229944542e-05
Position 442: 1.2570750683052237e-05
Position 853: 1.214489771056471e-05
Position 240: 9.309124457981671e-06
Position 1217: 8.454949965575937e-06
Position 2162: 8.432402686479713e-06
Position 63: 6.278419079948944e-06
Position 1137: 6.033095973780295e-06
Position 56: 5.30509769988029e-06
Position 662: 3.269771477215822e-06
Position 1232: 2.851313567461024e-06
Position 2411: 2.773245035351039e-06
Position 2148: 2.759689471135657e-06
Position 1212: 2.569520296045261e-06
Position 464: 2.37732823200928e-06
Position 1239: 1.5765486339534558e-06
Position 1345: 1.5456354850574142e-06
Position 145: 1.2474588484653454e-06
Position 135: 9.233629552764486e-07
Position 1145: 3.6970080461247707e-07
Position 1139: 2.8195231256546525e-07
Position 1147: 9.791442947902299e-08
Position 86: 6.596157217091944e-08
Position 1474: 4.277805995336604e-08
Position 329: 2.1992022894780203e-10
Position 1196: 1.2574050518113453e-10
Position 2020: 1.0103102706550689e-10
Position 1609: 9.16474615015358e-11
Position 673: 1.5784837898198792e-11
Position 331: 1.1523022535013412e-11
Position 2239: 2.1625340532578795e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1190: 0.9925907435706024
Position 304: 0.926531030630447
Position 2339: 0.9048825239650657
Position 1470: 0.2512539435577477
Position 989: 0.1672186212376694
Position 118: 0.10464458113113767
Position 2112: 0.01523000748394704
Position 1502: 0.01150087701311569
Position 1990: 0.011259492916816419
Position 2017: 0.008727258902726867
Position 92: 0.008415410201651763
Position 872: 0.007136085030871795
Position 667: 0.00395483176298362
Position 1090: 0.0027129052069736694
Position 1640: 0.002295421578338312
Position 274: 0.002050790777316216
Position 2358: 0.0018302476128095114
Position 1076: 0.0017755416008948626
Position 367: 0.0016620547790433956
Position 557: 0.0012616253813742082
Position 325: 0.0009938047409959907
Position 2169: 0.0009312316736055754
Position 2231: 0.0007329514741284847
Position 529: 0.0006219842285422276
Position 1848: 0.0005889716739366257
Position 361: 0.0004987608959623204
Position 125: 0.0004661922664713926
Position 1565: 0.0004396175547939933
Position 673: 0.0004292495571185074
Position 538: 0.00040241638195534464
Position 1520: 0.0003099879666787353
Position 1008: 0.0002630730929036118
Position 878: 0.00025399805190994896
Position 2036: 0.00023012046063238624
Position 1217: 0.0002149430252589055
Position 741: 0.00018486792520133424
