Gene = Wbp2
index = 1601
Annotated 5SS: [ 167  633  989 1558 2552]
Annotated 3SS: [ 332  749 1143 2450 2615]
SMsplice 5SS: [ 167  633  989 1558 2357 2552]
SMsplice 3SS: [ 332  749 1143 2066 2450 2615]
top_k =  1000
Partition function (log Z): 14.081227397236727

Sorted 5' Splice Sites (High to Low Probability):
Position 2552: 0.9946434801758638
Position 1558: 0.9916541630401993
Position 633: 0.9910629342561404
Position 989: 0.9852080360790164
Position 167: 0.9076062717084232
Position 2357: 0.41648635739983264
Position 2379: 0.18215138561331629
Position 2364: 0.17361118873781944
Position 2113: 0.0799307834999874
Position 1384: 0.048188930478332864
Position 1301: 0.03318058980656556
Position 1964: 0.03219112006654849
Position 2377: 0.029669209488955517
Position 2344: 0.024691422742961378
Position 2314: 0.022634947299947146
Position 407: 0.01668882664663803
Position 1361: 0.01668472024881535
Position 1917: 0.01644865206210664
Position 1340: 0.014592733157852237
Position 2173: 0.01179648468139357
Position 25: 0.009812592153892848
Position 1369: 0.009766436776610841
Position 164: 0.00918215527322227
Position 231: 0.008536486108961672
Position 1780: 0.00721853469307154
Position 1398: 0.005766942343715268
Position 1900: 0.005152387253817259
Position 2395: 0.0027175425146852704
Position 983: 0.0022510617065308438
Position 2176: 0.0019276733842283247
Position 556: 0.0011461484038774608
Position 1208: 0.001144604850433901
Position 49: 0.0010967482547358817
Position 2318: 0.0010256087708517922
Position 1877: 0.0009216450870154811
Position 1898: 0.0009067040232532725
Position 1744: 0.0008233844128616149
Position 637: 0.0007909915041577788
Position 1279: 0.000710487185481476
Position 2068: 0.0006821046941580759
Position 2213: 0.0006581536909726939
Position 685: 0.0006296811751746664
Position 171: 0.0006284134744153599
Position 1823: 0.0005980346108663803
Position 2181: 0.0005504497661000463
Position 975: 0.00043593239863268745
Position 2327: 0.00038814842142917796
Position 374: 0.00035046676744336414
Position 1562: 0.0003269364429211542
Position 183: 0.0003016443269894393
Position 55: 0.0002552457469765252
Position 2571: 0.00024554180747348364
Position 2783: 0.0002453518608698786
Position 2261: 0.0001717405546024301
Position 949: 0.00016536095945558708
Position 1723: 0.00015794928029483322
Position 489: 0.00014637045542960638
Position 2709: 0.00014534930912795345
Position 597: 0.0001437472926664426
Position 592: 0.000133887146921743
Position 2776: 0.00011776005367204242
Position 117: 0.00010278020395203251
Position 2321: 7.594563901832456e-05
Position 1698: 7.261257958698994e-05
Position 2200: 7.223448679716325e-05
Position 222: 7.211994499827786e-05
Position 243: 6.795162859469782e-05
Position 583: 6.096781029715866e-05
Position 2316: 6.032875528618667e-05
Position 644: 5.85594179038308e-05
Position 2561: 5.785497690600862e-05
Position 1312: 5.774016743798131e-05
Position 1213: 5.4562056541896006e-05
Position 456: 4.59565979164069e-05
Position 2754: 4.3841193041361456e-05
