Gene = RhoGAP71E
index = 1423
Annotated 5SS: [ 1137 11758 12012 12436 16421]
Annotated 3SS: [11555 11827 12372 15975 17798]
SMsplice 5SS: [ 1137 11758 12012 12436]
SMsplice 3SS: [11555 11827 12372 19383]
top_k =  1000
Partition function (log Z): 3.5965443463455307

Sorted 5' Splice Sites (High to Low Probability):
Position 11758: 0.9991778544541225
Position 12012: 0.9895773786272719
Position 12436: 0.896651755946144
Position 1137: 0.8879896235733349
Position 417: 0.33155971612851165
Position 13656: 0.28010401781359373
Position 10241: 0.03673107328615169
Position 1884: 0.025615510493705897
Position 435: 0.02483427678172561
Position 6641: 0.022461262488032575
Position 15258: 0.01899719895898779
Position 206: 0.017622892704139605
Position 14355: 0.011820018906416138
Position 826: 0.011535701462956027
Position 3274: 0.010635699714864081
Position 1932: 0.010131786104306541
Position 6975: 0.009424043751913714
Position 4547: 0.00936374777181472
Position 1876: 0.009185807948666969
Position 8536: 0.00912336074979397
Position 60: 0.008560814747924693
Position 1152: 0.007730873328077637
Position 6492: 0.007637696506281344
Position 12078: 0.006003725657939639
Position 19253: 0.005490035288106139
Position 15419: 0.005059857786839766
Position 799: 0.004723236079679646
Position 3561: 0.004238759766213806
Position 18787: 0.003881352066746561
Position 291: 0.0032020810933553194
Position 2211: 0.0030193023524597846
Position 8306: 0.002716111892377891
Position 6329: 0.0023123536930362907
Position 9181: 0.002305885624235813
Position 3461: 0.0021890830590851015
Position 4986: 0.002130455041687778
Position 7745: 0.0021131632657664197
Position 2007: 0.002058301958884134
Position 9130: 0.0018670888569080031
Position 7027: 0.001835137354158589
Position 1540: 0.0017111157756841391
Position 1197: 0.0014593120896618493
Position 16421: 0.0014516095332597686
Position 67: 0.0013671509157057824
Position 6333: 0.0012965609335196977
Position 11936: 0.0012449259689587989
Position 12557: 0.001226631559589928
Position 10159: 0.001178984278545601
Position 10178: 0.0011721034853193538
Position 3694: 0.0011234398483974883
Position 1220: 0.0011230383277656998
Position 3791: 0.0010991855371586749
Position 9217: 0.001050250957004172
Position 910: 0.0010224660578373047
Position 2029: 0.0009906122342276966
Position 6826: 0.0009847239946413034
Position 8331: 0.0009557666407110379
Position 12296: 0.0008998772789401727
Position 7940: 0.0008804183807467653
Position 12699: 0.0008662653553251836
Position 6971: 0.0008600812392840035
Position 2025: 0.0007819707126866016
Position 11767: 0.0007027399986889357
Position 5158: 0.000652736983154272
Position 17628: 0.0006522535204985322
Position 12559: 0.0006277255065275595
Position 3209: 0.0006117011444912986
Position 12451: 0.0005897769833301114
Position 12304: 0.0005794705202199136
Position 3195: 0.0005752701900182121
Position 739: 0.0005372993882685017
Position 421: 0.0005270299006863727
Position 742: 0.0005178869539080862
