Gene = CarT
index = 1054
Annotated 5SS: [ 123  406  800 1207 1854 2315]
Annotated 3SS: [ 180  616  947 1261 1915 2389]
SMsplice 5SS: [ 545  851 1207 1854 2315]
SMsplice 3SS: [ 616  947 1261 1915 2389]
top_k =  1000
Partition function (log Z): 1.5841159115725807

Sorted 5' Splice Sites (High to Low Probability):
Position 2315: 0.9802388313166965
Position 1854: 0.901620363728517
Position 545: 0.7372800197805789
Position 1207: 0.675280848568626
Position 851: 0.6014925873086573
Position 406: 0.39244395928691456
Position 133: 0.21582675204194748
Position 1161: 0.15005143651966565
Position 117: 0.14035460909013645
Position 791: 0.0606263467646686
Position 2686: 0.04701745386496051
Position 123: 0.028442136882081866
Position 1211: 0.027564472281985358
Position 800: 0.016931354838364585
Position 884: 0.013329921194032776
Position 2927: 0.007847712071479553
Position 2960: 0.007375639207919694
Position 2058: 0.004556055215393692
Position 2335: 0.003995178271778337
Position 2524: 0.003967197574338876
Position 1513: 0.003841550171407671
Position 2326: 0.00363700769785282
Position 2077: 0.003605789544761649
Position 760: 0.0034860238050802316
Position 1858: 0.003242464157397147
Position 2669: 0.0031929128456732445
Position 479: 0.0028779912235580565
Position 510: 0.0028283747217218674
Position 501: 0.0027706029447033785
Position 1375: 0.0027371358104275813
Position 2911: 0.00260650451782128
Position 1609: 0.0025297047009956376
Position 842: 0.002470745507372168
Position 2554: 0.0023975354580627133
Position 2332: 0.001891624217856395
Position 465: 0.001697017084066942
Position 290: 0.0015535851974134353
Position 1797: 0.0015183739783150448
Position 2645: 0.0014094286398550742
Position 498: 0.0012914280954150817
Position 857: 0.00115340538374617
Position 781: 0.0011407814252607808
Position 2296: 0.0010725688287137258
Position 742: 0.0010312661688659708
Position 410: 0.0009880163236687099
Position 773: 0.0009046580259310165
Position 1986: 0.0007340121624905039
Position 2592: 0.0006558336372398213
Position 2493: 0.000599086802470032
Position 2065: 0.0005636125450174712
Position 247: 0.00043618259210465916
Position 1273: 0.0003928646401951274
Position 1740: 0.0003365660362501386
Position 2104: 0.0003309030187854471
Position 2463: 0.00027742218970885023
Position 2086: 0.000244954153124036
Position 450: 0.00021428465016280464
Position 2760: 0.00020099322832239512
Position 2319: 0.00018422998734747787
Position 2607: 0.00017153537115215895
Position 1979: 0.00014460138445877897
Position 143: 0.00013302488481412548
Position 726: 0.00010557105215070293
Position 1428: 0.00010318578059058977
Position 1182: 8.871484406915128e-05
Position 776: 8.348196816969815e-05
Position 959: 7.737672106673385e-05
Position 1673: 7.479640932562176e-05
Position 1051: 7.45821048982793e-05
Position 1017: 6.663327568611349e-05
Position 284: 6.615024564419878e-05
Position 2950: 6.290089979994734e-05
Position 2348: 6.199506011590706e-05
Position 1938: 5.973738683739234e-05
Position 1150: 5.349665304149727e-05
Position 32: 4.8884207498740996e-05
Position 1155: 4.7799522110216614e-05
Position 1081: 4.422559300368384e-05
Position 279: 4.310120009765366e-05
Position 1860: 2.2822024019064304e-05
Position 1054: 1.9152108753226526e-05
Position 2282: 1.7246735619398007e-05
Position 486: 1.5389815026433927e-05
Position 2264: 1.4838889160456173e-05
Position 1974: 1.4791241255320725e-05
Position 957: 1.4103587011066104e-05
Position 2921: 8.480735493876931e-06
Position 1077: 8.344736421812365e-06
Position 2548: 7.4255508972609494e-06
Position 1023: 5.9471490026409844e-06
Position 2565: 5.556951795802448e-06
Position 469: 4.622877421042068e-06
Position 3031: 3.6127800729411913e-06
Position 303: 1.7565121139246625e-06
Position 947: 1.674802502866828e-06
Position 2485: 1.3596120776447695e-06
Position 294: 1.3110439665074562e-06
Position 645: 1.2340105076219541e-06
Position 336: 1.225479675465941e-06
Position 428: 1.1418243603858801e-06
Position 14: 8.535417633044516e-07
Position 306: 4.011064477116044e-07
Position 168: 1.0619405099408528e-07
Position 1677: 9.999640933472546e-08
Position 1693: 7.041083012746634e-08
Position 387: 2.897728703789569e-08
Position 1888: 1.5489898282651992e-08
Position 1422: 1.0847389497588902e-08
Position 338: 8.838168455945372e-09
Position 632: 3.878655404830037e-10
Position 659: 7.397830518315901e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2389: 0.9928323693726898
Position 1261: 0.8638056851499578
Position 947: 0.8464894388432769
Position 1915: 0.8427075026139083
Position 616: 0.7852368231197063
Position 180: 0.3758521003567237
Position 478: 0.16420527580929778
Position 3057: 0.03522850920486812
Position 2057: 0.026573322861756274
Position 2760: 0.020733420015105287
Position 639: 0.02048489074049522
Position 2904: 0.014812925362056646
Position 2141: 0.014160513305101145
Position 2243: 0.011983619270469342
Position 2086: 0.011901457034848826
Position 1709: 0.008671171399600419
Position 1900: 0.006819347297000969
Position 3022: 0.004604063650142154
Position 183: 0.004230179088485345
Position 673: 0.0039004896314907495
Position 303: 0.0029015374345998093
Position 1653: 0.002535933044488537
Position 1986: 0.0023103780709832875
Position 3060: 0.0022399593317832837
Position 2831: 0.0022311328942106828
Position 1673: 0.0019469568891606016
Position 900: 0.001731993345708149
Position 957: 0.0013461360032248622
Position 1017: 0.0011162264511255947
Position 854: 0.001046236883313913
Position 160: 0.0009139118958250408
Position 1723: 0.0008784782300440955
Position 375: 0.000524305693068276
Position 2725: 0.0004993249450288206
Position 878: 0.00040437159517509415
Position 968: 0.00030407211119057043
Position 454: 0.00028533091886359115
Position 1105: 0.00025345481433741544
Position 1995: 0.00020570594678513297
Position 484: 0.00018494151824408525
Position 419: 0.00017398730754670497
Position 812: 0.00015503348560606814
Position 2978: 0.000143027509101954
Position 751: 0.00013989079001134477
Position 3080: 0.00013370341732260463
