Gene = Eip78C
index = 1152
Annotated 5SS: [ 1783  4504  4702 37028 37379]
Annotated 3SS: [ 4270  4559 36386 37102 37436]
SMsplice 5SS: [ 1783  4504  4702 37028 37379]
SMsplice 3SS: [ 4270  4559 36386 37102 37436]
top_k =  1000
Partition function (log Z): -29.199982735157086

Sorted 5' Splice Sites (High to Low Probability):
Position 4702: 0.9990710202408215
Position 4504: 0.9979489866922908
Position 1783: 0.45899480798578884
Position 1119: 0.21503589434085757
Position 338: 0.19330467430939163
Position 5003: 0.09582369378855958
Position 198: 0.07433790666935788
Position 22673: 0.04936077430363138
Position 54: 0.04470753543392267
Position 22257: 0.03954111152295995
Position 5444: 0.026154719460087003
Position 4972: 0.021882721709887122
Position 361: 0.01238190638476378
Position 247: 0.00925709216454604
Position 455: 0.008294947358691728
Position 439: 0.007525849184182077
Position 272: 0.004820966794973302
Position 1122: 0.0022896766881010514
Position 870: 0.001993012966520239
Position 4113: 0.00188592979804792
Position 241: 0.0017583190620612248
Position 1510: 0.0017260152088636215
Position 5232: 0.0014166385857895237
Position 969: 0.0013807286368721545
Position 3453: 0.001115687259299903
Position 2326: 0.0009921851710231451
Position 685: 0.0007751032997048606
Position 49: 0.0007649815354422822
Position 295: 0.0006556838482226804
Position 103: 0.0006549954507342721
Position 1692: 0.0004889641752031065
Position 5245: 0.00044460600121914263
Position 1861: 0.00035067378739956495
Position 4965: 0.0003401212089384343
Position 4983: 0.00031007435500365774
Position 4091: 0.0002859145253611407
Position 1300: 0.00024219233665563042
Position 3236: 0.00023887811388022384
Position 1504: 0.00022095979268449555
Position 725: 0.00019460696998534682
Position 5049: 0.00018977273940236176
Position 4183: 0.00018740805372760542
Position 4785: 0.00017642341731326474
Position 2277: 0.00015075407477396272
Position 478: 0.00013982359564563367
Position 4508: 0.00013225548313716898
Position 786: 0.00013074762687663015
Position 4496: 0.0001293935016442958
Position 3836: 0.00011346665470081334
Position 4478: 0.00010297626007036708
Position 1985: 9.882633124831032e-05
Position 1857: 9.509415139401375e-05
Position 2215: 9.275651658125926e-05
Position 4518: 8.790483255312257e-05
Position 569: 8.631902381399145e-05
Position 105: 7.322726849802626e-05
Position 4444: 7.319423266725752e-05
Position 510: 7.230402844335435e-05
Position 537: 7.08953749935897e-05
Position 4706: 6.679129827616111e-05
Position 5043: 6.489854070314311e-05
Position 15234: 6.300736189303983e-05
Position 17195: 5.768183167295001e-05
Position 4526: 5.345480234555304e-05
Position 20: 4.670838744879827e-05
Position 15575: 4.225677504810555e-05
Position 3854: 4.005638472591723e-05
Position 795: 4.0039409857875524e-05
Position 521: 3.8234533659249786e-05
Position 4969: 3.78208401068678e-05
Position 1517: 3.5946902341478776e-05
Position 4895: 3.2854180699321026e-05
Position 1201: 3.0701097500869665e-05
Position 4993: 2.7309190694167043e-05
Position 1734: 2.505845885866905e-05
Position 921: 2.4582332016269495e-05
Position 1764: 2.35691661723687e-05
Position 1854: 2.1186561535233023e-05
Position 931: 2.0528592280886937e-05
Position 4884: 1.578630390198685e-05
Position 11131: 1.4068940026708876e-05
Position 3593: 1.3542923533943351e-05
Position 4480: 8.593323360655286e-06
Position 5111: 6.92301205973501e-06
Position 4512: 4.712501202466189e-06
Position 4412: 4.384672702609232e-06
Position 5057: 4.237119676810799e-06
Position 5114: 3.902029492112878e-06
Position 5249: 3.432604719421682e-06
Position 5021: 3.3574993210913754e-06
Position 1325: 1.8867749110525057e-06
