Gene = Sc2
index = 1471
Annotated 5SS: [ 420  794 1130]
Annotated 3SS: [ 576 1013 1191]
SMsplice 5SS: [ 420  794 1130]
SMsplice 3SS: [ 576 1013 1191]
top_k =  1000
Partition function (log Z): -2.685571182438638

Sorted 5' Splice Sites (High to Low Probability):
Position 1130: 0.9783129835487298
Position 420: 0.8794477321505572
Position 794: 0.4921874641414249
Position 896: 0.07026816143666637
Position 1393: 0.04336460834852565
Position 1404: 0.03748945519454432
Position 813: 0.027098297538449778
Position 827: 0.020206956311396358
Position 930: 0.012784454797527902
Position 324: 0.01181977034927873
Position 97: 0.010877036334098705
Position 1397: 0.010357726043006187
Position 840: 0.00959439614367662
Position 378: 0.006721998411307622
Position 728: 0.006402691162045514
Position 798: 0.005162213531960029
Position 435: 0.004281165180003796
Position 1408: 0.003419209279560054
Position 103: 0.0031285482655804783
Position 343: 0.0027449924416821985
Position 534: 0.0025647966533151123
Position 866: 0.002538154749531957
Position 274: 0.0014996642081778237
Position 372: 0.001249759269934881
Position 424: 0.0012007189061319728
Position 287: 0.0009668991906258322
Position 760: 0.0009344450336240358
Position 908: 0.000884139587055928
Position 918: 0.0006961168227997253
Position 87: 0.0006638964871441801
Position 1430: 0.0005934431263187423
Position 447: 0.0005883535785797194
Position 935: 0.0005845072543936203
Position 718: 0.00043860759015619094
Position 742: 0.0003967463115094689
Position 428: 0.0003305808876521794
Position 879: 0.0002524370360160825
Position 546: 0.00019891671652776037
Position 942: 0.00019778772681087366
Position 608: 0.00019666459974714977
Position 376: 0.00018600572700570612
Position 310: 0.00017651247305577436
Position 851: 0.00017216178703189687
Position 1482: 0.00015130314682004317
Position 767: 0.00014554347254217473
Position 1345: 0.00013849605075803964
Position 834: 0.00011335336643806302
Position 537: 0.00010868889154050456
Position 898: 8.84560914283183e-05
Position 395: 7.793476574796217e-05
Position 1134: 5.886884049440896e-05
Position 615: 3.621615318740138e-05
Position 635: 3.331441014847802e-05
Position 1124: 2.7402300318961122e-05
Position 1080: 2.6485358804080487e-05
Position 599: 2.57985707272994e-05
Position 20: 2.226336979065467e-05
Position 1235: 2.1850433993500923e-05
Position 716: 2.0231191044786012e-05
Position 1227: 1.4203083945999884e-05
Position 1137: 1.418984995786371e-05
Position 194: 1.207817279871167e-05
Position 438: 7.5199869962999e-06
Position 186: 6.073222848444416e-06
Position 458: 4.433267555583433e-06
Position 254: 2.9651208084545813e-06
Position 1472: 2.321269687122996e-06
Position 1095: 1.8142777167057453e-06
Position 1162: 1.4930664591183093e-06
Position 476: 1.2959853791936217e-06
Position 1196: 1.1376687945551105e-06
Position 246: 6.488802922245838e-07
Position 1276: 6.444420979769164e-07
Position 1247: 2.2758022244364305e-07
Position 1388: 1.0106560910761723e-07
Position 1493: 8.848810792289135e-08
Position 1063: 6.45554267326387e-08
Position 1485: 2.4927766779468294e-08
Position 1038: 1.3630956991530727e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1191: 0.9635230644935898
Position 576: 0.6033492369226697
Position 978: 0.49861913995823837
Position 1013: 0.4604432268613496
Position 1521: 0.04177664272968299
Position 1480: 0.02952694220955396
Position 1470: 0.02244294694648481
Position 742: 0.011538885401858363
Position 1396: 0.006275928441611547
Position 1300: 0.005234291872308099
Position 613: 0.0023254405885641456
Position 1493: 0.0021435674385964646
Position 1540: 0.0018752168172457425
Position 1026: 0.0017058839097030872
Position 546: 0.0008449071403831108
Position 1366: 0.00043231819569151486
Position 895: 0.00040392267157156314
Position 1485: 0.00026645422519493134
Position 1537: 0.00025532921902991784
Position 625: 0.00022127736796160425
Position 682: 0.00020693049488580305
Position 1324: 0.00017647939893738538
Position 294: 0.00013337584364686344
Position 420: 0.00011922565014040595
Position 165: 8.889057692700157e-05
Position 186: 5.68482803588319e-05
Position 153: 3.952911653217933e-05
Position 207: 3.733969767259291e-05
Position 1156: 3.411558987999607e-05
Position 431: 3.210752655164038e-05
Position 992: 3.0245957207165493e-05
Position 162: 2.9290343343538014e-05
Position 1222: 2.7546809544131756e-05
Position 901: 2.4079454240675934e-05
Position 1342: 2.1242044188754948e-05
Position 923: 1.9277011528354902e-05
Position 1339: 1.7351993163071024e-05
Position 267: 1.5850626682845725e-05
Position 1351: 1.4968052414645945e-05
Position 215: 4.005285044830429e-06
Position 80: 3.4234765535298694e-06
Position 279: 2.2698651426391965e-06
Position 669: 1.5860517924097115e-06
Position 1345: 1.5712661866051907e-06
Position 388: 1.2181776333941785e-06
Position 447: 1.1142051611003523e-06
Position 1121: 1.064968502833337e-06
Position 306: 8.410512089433257e-07
Position 1080: 8.388144151661084e-07
Position 222: 5.162069991099668e-07
Position 438: 5.120922656912417e-07
Position 75: 1.6046841530663112e-07
Position 324: 1.1664533329239012e-07
Position 435: 4.571876552991143e-08
Position 372: 4.5275973879378604e-08
Position 395: 1.8415665112072772e-08
Position 84: 1.5817975679554752e-08
Position 1088: 1.3937665638325893e-08
Position 96: 1.1172001878109116e-08
Position 102: 5.171645060849026e-10
Position 424: 3.5178556105198044e-10
