Gene = atk
index = 1615
Annotated 5SS: [ 117 5434 7993 8179]
Annotated 3SS: [5240 5492 8054 8233]
SMsplice 5SS: [ 117 5434 7993 8179]
SMsplice 3SS: [5240 5492 8054 8233]
top_k =  1000
Partition function (log Z): -0.5313344938776844

Sorted 5' Splice Sites (High to Low Probability):
Position 8179: 0.9991755999178665
Position 5434: 0.9897478019352528
Position 7993: 0.9609842505079396
Position 117: 0.37899166593682354
Position 6112: 0.3711005069821753
Position 829: 0.3066386621354604
Position 467: 0.1047543032077837
Position 991: 0.0882435840536195
Position 718: 0.06681707890927922
Position 1415: 0.056110616993165975
Position 6067: 0.05062155708626619
Position 9212: 0.03996089832808169
Position 7947: 0.03332005298078964
Position 9034: 0.032881278211292546
Position 7430: 0.023561199701400762
Position 147: 0.02147900828788831
Position 3042: 0.02054427241529527
Position 3046: 0.019450916500106646
Position 5843: 0.018011994766103837
Position 6464: 0.01798192844386372
Position 8368: 0.013942917346802758
Position 6178: 0.013403688820911022
Position 3237: 0.012702668278461044
Position 609: 0.012063316498980839
Position 2781: 0.011026363028312915
Position 38: 0.010671503540198756
Position 15: 0.009134714216617035
Position 8746: 0.008560420327099576
Position 36: 0.007225993252913241
Position 480: 0.007203492563182242
Position 1694: 0.006515991442340159
Position 6381: 0.006225170625256174
Position 4240: 0.006068950326197506
Position 8676: 0.00580904688538054
Position 5069: 0.005716464702907669
Position 3856: 0.005260110289440012
Position 5086: 0.0051619921922411195
Position 606: 0.004976711851590054
Position 4596: 0.00474696365247063
Position 796: 0.004641182338564042
Position 953: 0.004571300155883999
Position 7529: 0.003864465734808808
Position 4021: 0.0038520095558164783
Position 6103: 0.0038482284524685426
Position 542: 0.003704402917588078
Position 1494: 0.003686673415563709
Position 8553: 0.0035257695150295166
Position 770: 0.003323564298667995
Position 5759: 0.0033223137374843886
Position 4945: 0.0029510293518562785
Position 5635: 0.0027242941232475293
Position 7420: 0.002638661349604431
Position 57: 0.002476890802255517
Position 2524: 0.0024494592105816435
Position 395: 0.0022869988970859313
Position 601: 0.0022625214261922434
Position 6373: 0.0021329653405246147
Position 30: 0.0021256140514721135
Position 41: 0.0021063420706548108
Position 8524: 0.0021025085849674992
Position 8372: 0.001965326414019446
Position 3634: 0.0019100242002089546
Position 9421: 0.0016638195350135896
Position 2970: 0.0016567577496491713
Position 657: 0.001470506476136916
Position 209: 0.001440511625859831
Position 5860: 0.0013236251252137451
Position 750: 0.0012241197053638713
Position 9395: 0.0011663528512396734
Position 6199: 0.0011408341034966404
Position 5725: 0.0009310006322821302
Position 9169: 0.0008613304768306509
Position 9362: 0.0006739010666794602
Position 5710: 0.0006389540794403192
Position 841: 0.0006043131336997393
Position 599: 0.0005876813161031368
Position 2955: 0.0005790653235313757
Position 4711: 0.0005588169628144781
Position 5722: 0.0005343392618500151
Position 5969: 0.0005209160778280124
Position 9649: 0.0004968454873676999
Position 9059: 0.0004951042325677192
Position 984: 0.0004852772841949906
Position 5612: 0.00048385854836366203
Position 923: 0.0004298251353233215
Position 1667: 0.00040512388825073963
Position 3050: 0.00039296456811866354
Position 1999: 0.00038587397727091844
Position 6423: 0.0003800601734724985
Position 2992: 0.0003491498794513097
Position 3165: 0.0003408509168466944
Position 8480: 0.0003117905352554095
Position 9886: 0.00030312142614225516
Position 5943: 0.00029518343241663404
Position 9166: 0.00026239800041954814
Position 9471: 0.00023288396512864413
Position 9005: 0.0002297810447053759
Position 6116: 0.0001952673362271891
Position 5575: 0.00017340288814339115
Position 5858: 0.0001698382063158947
Position 645: 0.00016940164264785617
Position 2465: 0.00015731976758870565
Position 8340: 0.00015158227607801195
Position 7911: 0.00012875673592300873
Position 9038: 8.758556000161184e-05
Position 6098: 8.251854174652192e-05
Position 5528: 8.066673572539359e-05
Position 6041: 7.53392676926549e-05
Position 5673: 7.446597703838248e-05
Position 9017: 7.025496165184935e-05
Position 6020: 5.163663443721227e-05
Position 8183: 4.896090228694663e-05
Position 47: 4.782676949666994e-05
Position 10093: 4.615935472048647e-05
Position 161: 4.412126618977712e-05
Position 8172: 4.111226842801794e-05
Position 8255: 3.9683724182451534e-05
Position 9014: 3.543929469292381e-05
Position 9278: 1.923441175321417e-05
Position 156: 1.6016382855060308e-05
Position 1793: 1.4942895921527625e-05
Position 1262: 1.3762312727357581e-05
Position 727: 1.2298733915749201e-05
Position 1511: 8.21393325011465e-06
Position 1138: 7.906506135036645e-06
Position 577: 7.2801163146319455e-06
Position 2105: 6.581078827195712e-06
