Gene = Use1
index = 1587
Annotated 5SS: [430 881]
Annotated 3SS: [ 523 1279]
SMsplice 5SS: [430 881]
SMsplice 3SS: [ 523 1279]
top_k =  1000
Partition function (log Z): -0.34497513794616147

Sorted 5' Splice Sites (High to Low Probability):
Position 881: 0.9685648076586031
Position 430: 0.9341880273306398
Position 456: 0.05634520909617768
Position 1209: 0.019270366698998034
Position 630: 0.007128096817700934
Position 25: 0.004180634416180456
Position 451: 0.0037738951691451044
Position 238: 0.003708827151166061
Position 605: 0.0012696893159653202
Position 739: 0.0010431867247686515
Position 862: 0.0010202058395713228
Position 1280: 0.0009800075174657996
Position 231: 0.0008209140445023188
Position 1224: 0.0004277836866603139
Position 891: 0.0002402347880125942
Position 14: 0.00020268621560023134
Position 1170: 0.00017217618802336607
Position 96: 0.0001366914278876518
Position 1232: 0.00010123472911403895
Position 1177: 9.091111858539797e-05
Position 339: 6.184734435896183e-05
Position 1185: 5.217906478385679e-05
Position 834: 4.433897629549103e-05
Position 304: 2.8030519322353862e-05
Position 1113: 2.552041639702425e-05
Position 904: 2.3947216224378666e-05
Position 170: 2.2058857704253596e-05
Position 1034: 1.851249000585255e-05
Position 885: 1.8225928436488398e-05
Position 1285: 1.8098705914872965e-05
Position 976: 1.717590169425097e-05
Position 1008: 1.347993079962153e-05
Position 45: 1.3378879273521678e-05
Position 229: 1.0920719131085864e-05
Position 1021: 1.0804354557202556e-05
Position 297: 1.0597293485836831e-05
Position 909: 1.0264769024957848e-05
Position 1320: 6.3264501619745e-06
Position 1356: 6.217415052164362e-06
Position 1317: 6.18804190291652e-06
Position 179: 3.7460493514417575e-06
Position 1404: 3.6465944662170776e-06
Position 589: 2.6212133365670243e-06
Position 898: 1.9473327781159407e-06
Position 1143: 1.6276448174007911e-06
Position 489: 1.3107833142974136e-06
Position 749: 1.1508692290646599e-06
Position 843: 9.910471875946744e-07
Position 52: 7.310759368790807e-07
Position 744: 3.0503723637525933e-07
Position 742: 2.010920893052356e-07
Position 1395: 1.735230345008523e-07
Position 572: 1.0597698186484945e-07
Position 1382: 4.1051140784681065e-08
Position 495: 2.921993656811768e-08
Position 63: 2.1450094236785086e-08
Position 545: 1.2952122263788706e-08
Position 55: 8.18844778426063e-09
Position 1256: 4.0415983252645955e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 523: 0.9852737766049052
Position 1279: 0.9508721045873364
Position 1224: 0.019872514857267144
Position 495: 0.01003968377287352
Position 1021: 0.005574950551164927
Position 976: 0.004819604178258395
Position 1066: 0.004627077107784375
Position 693: 0.004395768281614866
Position 1299: 0.0034496181996808133
Position 336: 0.0028381189815633286
Position 699: 0.002748937084945687
Position 294: 0.0016533364103005286
Position 1342: 0.001572895049441311
Position 89: 0.0011576508890494502
Position 1077: 0.0010696407175524595
Position 572: 0.0010551837865877564
Position 787: 0.0006379084673832113
Position 1387: 0.00034757692109036023
Position 317: 0.00031623522619180763
Position 1092: 0.00021829386556338525
Position 654: 0.00020976348826752785
Position 1365: 0.00019171066807966762
Position 1157: 0.00013204333428397058
Position 542: 0.0001160118686240437
Position 648: 0.0001082008245565875
Position 1170: 8.712567742031193e-05
Position 1185: 6.843503819526155e-05
Position 1352: 6.58745431853533e-05
Position 1085: 6.380650068543359e-05
Position 1429: 5.834509297953051e-05
Position 793: 5.0999617544614204e-05
Position 266: 4.156208025984203e-05
Position 1311: 4.1296184644624994e-05
Position 1403: 3.8634513332642334e-05
Position 926: 3.663469213582414e-05
Position 227: 3.119743237475902e-05
Position 149: 2.8992810587672064e-05
Position 1451: 2.2575812931981178e-05
Position 1369: 2.13688357143321e-05
Position 915: 1.4446204491447569e-05
Position 1308: 1.4051490512414001e-05
Position 880: 1.4027930779094251e-05
Position 651: 1.2648054718758738e-05
Position 716: 1.2473884424502082e-05
Position 594: 1.1286802379220009e-05
Position 705: 1.1259552879305096e-05
Position 1314: 9.86242973991431e-06
Position 1426: 8.960953129074432e-06
Position 728: 6.18119023838496e-06
Position 621: 4.804986899435165e-06
Position 142: 4.472184783871164e-06
Position 209: 3.877579939457523e-06
Position 556: 3.041920539152982e-06
Position 1317: 2.4533452101444227e-06
Position 553: 2.0259263070381315e-06
Position 1459: 1.4880269952859138e-06
Position 369: 1.3426604206502925e-06
Position 581: 9.187974865106897e-07
Position 826: 8.948813030551907e-07
Position 550: 7.800055774630191e-07
Position 170: 6.836666476877887e-07
Position 1401: 6.464423176788532e-07
Position 1323: 6.332091395908643e-07
Position 1256: 5.731414203451423e-07
Position 343: 4.1051123354730606e-07
Position 376: 3.6494331441366764e-07
Position 167: 3.3944347880393797e-07
Position 738: 2.8878998820618803e-07
Position 391: 2.3463824161858246e-07
Position 179: 2.1959832367016666e-07
Position 380: 1.9330099309963034e-07
Position 160: 1.8417202093471214e-07
Position 630: 1.4419556528167693e-07
Position 795: 1.3686218602501276e-07
Position 128: 1.0846691457429979e-07
Position 451: 9.40839267569706e-08
Position 257: 8.786244467766584e-08
Position 834: 7.928066661783973e-08
Position 416: 4.389429959790017e-08
Position 1143: 4.010928293103988e-08
Position 1395: 3.5345789913422854e-08
Position 663: 3.406793565397738e-08
Position 203: 3.025057524165019e-08
Position 810: 5.431611874485329e-09
Position 229: 2.7199118657409473e-09
Position 428: 2.493807098139248e-09
Position 801: 1.7962444603620286e-11
Position 438: 5.726527223631008e-12
