Gene = VhaSFD
index = 1595
Annotated 5SS: [ 197  817 2968 3595 3769]
Annotated 3SS: [ 337 2832 3031 3654 3928]
SMsplice 5SS: [ 259  817 2968 3595 3769]
SMsplice 3SS: [ 337 2832 3031 3654 3928]
top_k =  1000
Partition function (log Z): 11.648768140702241

Sorted 5' Splice Sites (High to Low Probability):
Position 2968: 0.9998754086027019
Position 3595: 0.9942034225725345
Position 3769: 0.9151308785952669
Position 817: 0.8794450023976889
Position 259: 0.45212506691543286
Position 197: 0.3539576192539735
Position 2520: 0.25902812460613656
Position 2598: 0.09802758282430356
Position 2692: 0.07371143043366292
Position 3758: 0.06272754875231172
Position 508: 0.030490934733435487
Position 263: 0.023387298058068967
Position 1935: 0.01666506601005093
Position 4008: 0.013297505354061037
Position 1924: 0.01127714720376123
Position 511: 0.007457246043382943
Position 2377: 0.007398448971985604
Position 2487: 0.005470076078003292
Position 274: 0.00541086922074707
Position 3773: 0.005158410744979493
Position 3565: 0.004735721797019317
Position 836: 0.004301611299057801
Position 255: 0.004124895359599903
Position 1379: 0.004067236296566842
Position 1884: 0.003541857885343592
Position 4011: 0.0033246305220364617
Position 4099: 0.0032468367569318517
Position 3158: 0.0030564787892600827
Position 4304: 0.0028321254857756484
Position 3979: 0.0027192827744169958
Position 2364: 0.0023847690646974094
Position 2252: 0.0023470192741441975
Position 2542: 0.0019060163308811308
Position 2605: 0.0018787811779204203
Position 4184: 0.0017210130109785167
Position 249: 0.0015347690186994424
Position 662: 0.0014555310986982869
Position 3719: 0.0013766017169584107
Position 1067: 0.0012614783554738577
Position 2260: 0.001156092766680981
Position 1926: 0.0011434821986227126
Position 4783: 0.001116513382139494
Position 2705: 0.00111266326772024
Position 471: 0.0010234823859191485
Position 4545: 0.0010038597721779745
Position 1044: 0.0009466502372356499
Position 4157: 0.0009398711952251674
Position 3825: 0.0008625056038166548
Position 4530: 0.0008593766822269031
Position 3257: 0.0007603200858519793
Position 564: 0.0007545380038552113
Position 1709: 0.0007446341569109758
Position 267: 0.0006799468797486518
Position 3320: 0.000639433621006668
Position 1536: 0.0006325329982374949
Position 265: 0.0005410651606845643
Position 2685: 0.0004535512864126531
Position 1440: 0.00044798840813976723
Position 2656: 0.0004443506638011853
Position 843: 0.00042399797443763124
Position 3830: 0.0004200185147924863
Position 3599: 0.00040323725257256223
Position 2536: 0.0003999466701201018
Position 257: 0.00033484522827057417
Position 855: 0.0003036599368767749
Position 1897: 0.00029833319493505276
Position 3569: 0.00028853387177513434
Position 2285: 0.0002622184514067426
Position 829: 0.0002026354602226889
Position 4252: 0.0001756924317406854
Position 2514: 0.00017304161436530076
Position 411: 0.00016855058423323666
Position 36: 0.00016854107138306555
Position 3325: 0.0001615801810462256
Position 272: 0.0001579724911105372
