Gene = lt
index = 1760
Annotated 5SS: [  131   313   536   704  1125  2971 14048 14511 14746 15040 15219]
Annotated 3SS: [  186   364   585   770  2642 13978 14108 14558 14799 15091 15277]
SMsplice 5SS: [  536   704  1125  2971 14048 14746 15040 15219]
SMsplice 3SS: [  585   770  2642 13978 14108 14799 15091 15277]
top_k =  1000
Partition function (log Z): -5.098386091624242

Sorted 5' Splice Sites (High to Low Probability):
Position 704: 0.9923097663437286
Position 536: 0.9841032083277118
Position 2971: 0.9607370818683663
Position 1125: 0.7320957207262011
Position 15219: 0.4425577138024931
Position 6319: 0.3506419773593004
Position 6052: 0.3135094691868901
Position 313: 0.17672635978507759
Position 15552: 0.163840356914979
Position 1625: 0.14049417464313435
Position 2493: 0.06854711785572362
Position 1310: 0.06144367437024105
Position 131: 0.05596987346583326
Position 1325: 0.040591188232393695
Position 29: 0.03986103094473703
Position 15054: 0.028358040469823726
Position 1129: 0.02694090087151938
Position 1669: 0.023001117039555218
Position 2473: 0.021047804062066692
Position 3790: 0.011532783509799058
Position 5148: 0.011004757701704804
Position 23: 0.010111849933636065
Position 315: 0.00907057027717298
Position 1163: 0.008888485485893109
Position 952: 0.008529094380849403
Position 2669: 0.006411512857903035
Position 1153: 0.006008841655251104
Position 3774: 0.005960561849369415
Position 2267: 0.005838785593829341
Position 2406: 0.005248271693118955
Position 1949: 0.005067571443536349
Position 1300: 0.00472599129072487
Position 1832: 0.0046825762658020955
Position 959: 0.004265327747671386
Position 700: 0.004048694060638479
Position 6037: 0.0038699420992132643
Position 293: 0.00373335923059176
Position 2567: 0.003588604010613916
Position 126: 0.003259983620080806
Position 301: 0.002923011847795874
Position 708: 0.0027101255185487875
Position 2163: 0.0026776998050375847
Position 1398: 0.0026732810639822804
Position 2246: 0.002552323684382356
Position 505: 0.00239090165741472
Position 1494: 0.0023833636370246963
Position 1636: 0.001990793182909322
Position 353: 0.0016502166296475673
Position 1002: 0.0015342049877026755
Position 1134: 0.001452578813503254
Position 3820: 0.0012609686225503484
Position 1891: 0.0011419385441539794
Position 1037: 0.0009478064944935312
Position 2918: 0.000899211070972176
Position 1574: 0.0007547765647006923
Position 2561: 0.0006938673380107356
Position 3109: 0.0006921496490908974
Position 2261: 0.000538590003061593
Position 3293: 0.0004664107439245041
Position 3749: 0.0003568946208320345
Position 3278: 0.00034732549049353473
Position 339: 0.0003365305735086867
Position 237: 0.00032457860010395596
Position 2540: 0.0003206407205866721
Position 905: 0.00032045834647997115
Position 697: 0.0003164536478801965
Position 1058: 0.00029483512227306485
Position 4982: 0.00026937858779980034
Position 1243: 0.0002544283040004839
Position 1673: 0.00024552601593405955
Position 1359: 0.00020139620183506419
Position 129: 0.00019215037771190682
Position 1283: 0.0001842288417305297
Position 3669: 0.00014425478511844697
Position 2956: 0.00011624546336987717
Position 2161: 0.0001080288929051626
Position 540: 0.00010555371762388908
Position 2915: 9.520295685490872e-05
Position 112: 7.906540803319851e-05
Position 473: 7.194913202177838e-05
Position 58: 6.806544122231624e-05
Position 90: 6.591837065804698e-05
Position 7: 6.516629417929253e-05
Position 488: 5.860224377498571e-05
Position 3049: 4.968367179623045e-05
Position 3054: 4.1137663336787154e-05
Position 3603: 3.182407559745359e-05
Position 3358: 2.9603554624899332e-05
Position 66: 2.8575849162972974e-05
Position 140: 2.506623978928576e-05
Position 1115: 2.3216606050157148e-05
Position 220: 1.4634752709529716e-05
Position 245: 1.0753356847221996e-05
Position 162: 9.260573148232895e-06
Position 586: 8.506861302360635e-06
Position 652: 8.481582142076071e-06
Position 7084: 7.369245903660759e-06
Position 364: 7.1573903684812495e-06
Position 69: 4.028152471461259e-06
Position 395: 3.901614190751021e-06
Position 283: 3.0018517566445653e-06
Position 790: 2.2203301551008515e-06
Position 894: 2.104384904239001e-06
Position 911: 2.0987497556289614e-06
Position 56: 2.095926813923639e-06
Position 1341: 2.0629189803063977e-06
Position 1006: 1.981143043117584e-06
Position 726: 1.563917661983747e-06
Position 176: 1.4651306738449522e-06
Position 399: 1.4466877571088319e-06
Position 655: 1.311823138571713e-06
Position 1193: 1.2930551512989836e-06
Position 467: 1.2302733908695548e-06
Position 6326: 1.1421148268277408e-06
Position 393: 9.743683489337042e-07
Position 851: 7.501929348211796e-07
Position 849: 4.1710411526078757e-07
Position 1052: 2.5853830043825745e-07
Position 1844: 2.2036645812932766e-07
Position 453: 1.6927082872631137e-07
Position 856: 1.4373948390311965e-07
Position 425: 1.4246279723395418e-07
Position 603: 1.1210603677685633e-07
Position 509: 6.121824532087461e-08
Position 832: 5.900896290650551e-08
Position 839: 5.54132395742683e-08
Position 1233: 1.9458935402335784e-08
Position 1227: 1.3067551756192567e-08
Position 824: 1.1490620874183481e-08
Position 1418: 6.484281913270681e-09
Position 1249: 2.4496494937765725e-10
Position 626: 2.3323052346555603e-11
