Gene = schuy
index = 1868
Annotated 5SS: [627]
Annotated 3SS: [689]
SMsplice 5SS: [627]
SMsplice 3SS: [689]
top_k =  1000
Partition function (log Z): -6.303987258350354

Sorted 5' Splice Sites (High to Low Probability):
Position 627: 0.9953641760793991
Position 1215: 0.019405806419703162
Position 1212: 0.005883623475239218
Position 920: 0.002393804278141012
Position 595: 0.0019617653561459104
Position 1728: 0.0018271610716578167
Position 231: 0.0014016751043453295
Position 234: 0.0012174737456010388
Position 740: 0.0010470662662155402
Position 1893: 0.0006198966540050908
Position 131: 0.0006108730614996537
Position 439: 0.0005569856175562141
Position 1602: 0.0005534151302588835
Position 1725: 0.00042089192630450105
Position 1269: 0.00034447598687590186
Position 1092: 0.00032012257906904407
Position 1272: 0.00028991978434637444
Position 690: 0.00023482419571587714
Position 158: 0.00019559795266310562
Position 522: 0.00017369994178248227
Position 1895: 0.00012675291663679378
Position 1112: 0.00010323338209000543
Position 1320: 9.84572216083276e-05
Position 860: 9.142884909421008e-05
Position 1408: 6.811262536636209e-05
Position 1871: 6.508104780217743e-05
Position 926: 6.168347899880787e-05
Position 1188: 5.5884257860132385e-05
Position 1573: 5.282750952360773e-05
Position 1078: 4.823542106707271e-05
Position 277: 4.561302588690634e-05
Position 1138: 4.313951224106175e-05
Position 443: 3.9982523936345614e-05
Position 1564: 3.568524662376574e-05
Position 543: 3.1638260451586626e-05
Position 1390: 2.7452920202403748e-05
Position 953: 2.2135670349301e-05
Position 1401: 1.5930115439128368e-05
Position 1174: 1.4777213246063949e-05
Position 1399: 1.470346359911005e-05
Position 963: 1.406993182902205e-05
Position 1634: 1.3316263622849408e-05
Position 446: 1.322024338678445e-05
Position 1015: 1.0924924172886269e-05
Position 496: 1.0888729640886628e-05
Position 1107: 8.817310972333552e-06
Position 358: 8.812139858602623e-06
Position 1036: 8.373795363933102e-06
Position 1002: 6.640939357944017e-06
Position 1702: 5.941749301971497e-06
Position 520: 5.8636842732491694e-06
Position 144: 5.590591265094532e-06
Position 1096: 5.089234431603485e-06
Position 1371: 4.9591196848724815e-06
Position 1466: 4.260484629807833e-06
Position 715: 4.020194494018809e-06
Position 1783: 3.8863278122311824e-06
Position 1771: 3.528246562949284e-06
Position 19: 2.9842235418926803e-06
Position 1505: 2.6308355183488066e-06
Position 171: 2.38776293597293e-06
Position 1503: 2.105279336205444e-06
Position 401: 1.6962801648832866e-06
Position 287: 1.6721775669632486e-06
Position 1378: 7.082942662201495e-07
Position 698: 6.42014442311007e-07
Position 1030: 6.167469503716144e-07
Position 1227: 6.149687472705299e-07
Position 796: 2.598969893385831e-07
Position 826: 1.889003902659449e-08
Position 1234: 6.5856861001673554e-09
Position 663: 5.314713505028315e-09
Position 1146: 4.891484969435151e-09
Position 1301: 5.546995328541874e-10
Position 1057: 5.508158203084322e-10
Position 1010: 4.775045878583538e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 689: 0.9969140198970536
Position 1268: 0.014830711571235767
Position 1465: 0.011572088484483444
Position 1791: 0.0033723325557139055
Position 734: 0.0018408022239624069
Position 982: 0.0008868011576588186
Position 1964: 0.0008008843903900073
Position 296: 0.0007239208772105878
Position 1030: 0.0006389351426277851
Position 1330: 0.00043105597640053655
Position 811: 0.0003804732231189572
Position 1480: 0.00028923408436853985
Position 566: 0.00026053202810447356
Position 199: 0.0002593270501797654
Position 406: 0.00022012119842739947
Position 186: 0.0002085761577957308
Position 1624: 0.0001804653150805842
Position 484: 0.00017781800294681708
Position 778: 0.00015168268874862797
Position 1660: 0.00014456521033524538
Position 844: 0.0001248997564582036
Position 1483: 0.00011338425514630058
Position 334: 0.00010672583501944421
Position 645: 0.00010655411921673346
Position 1413: 0.00010630601926797233
Position 1027: 9.914594406491091e-05
Position 1151: 9.735184072989476e-05
Position 1333: 8.720919019090478e-05
Position 963: 8.5333889100097e-05
Position 1399: 8.520382896559612e-05
Position 1627: 8.119786363519977e-05
Position 1931: 5.768540651022475e-05
