Gene = Trp1
index = 1568
Annotated 5SS: [1177 2172 2528]
Annotated 3SS: [1355 2225 3018]
SMsplice 5SS: [ 156 1305 2172 2528]
SMsplice 3SS: [ 534 1355 2225 3018]
top_k =  1000
Partition function (log Z): 9.79957889516555

Sorted 5' Splice Sites (High to Low Probability):
Position 2172: 0.987867509559469
Position 1305: 0.9152227306622398
Position 156: 0.9096572044567521
Position 2528: 0.8291641060166157
Position 2913: 0.518670894289285
Position 770: 0.43429993625863533
Position 41: 0.11848829360819278
Position 603: 0.08099211677237599
Position 1566: 0.06910173097454646
Position 1177: 0.0642993658775021
Position 3084: 0.04150475663968724
Position 3098: 0.03133759685926134
Position 446: 0.021418122041975764
Position 616: 0.012456367779778635
Position 689: 0.011533222461205908
Position 1771: 0.00824436145569233
Position 2136: 0.0052686910274646745
Position 3231: 0.0049344769925248775
Position 2621: 0.004781732764220496
Position 206: 0.004527820091720657
Position 2451: 0.003639911231690878
Position 2546: 0.002970651875616838
Position 3583: 0.002782483597167248
Position 1202: 0.0026556454918615665
Position 3089: 0.002579292956614166
Position 929: 0.002195443355576127
Position 45: 0.002131522894043144
Position 2356: 0.002004640262862369
Position 297: 0.0019608655039706
Position 482: 0.0019439635334132749
Position 762: 0.0014977343783179199
Position 3057: 0.001485921917345457
Position 2373: 0.0013975827932156007
Position 3319: 0.0013342249227007229
Position 1232: 0.001296310631663947
Position 3593: 0.001270758649298516
Position 2947: 0.0012633058182176986
Position 716: 0.001230590975300855
Position 202: 0.0009099013570305884
Position 3636: 0.0008973350366785512
Position 3579: 0.0008477474367095443
Position 2052: 0.0007718937218360238
Position 731: 0.0007226241868132304
Position 3397: 0.0005862218026102816
Position 1473: 0.0005650934509098943
Position 2582: 0.0005437292726451159
Position 2874: 0.0005254301605243089
Position 939: 0.00047163634570665725
Position 800: 0.0004639029921607778
Position 240: 0.0004479972965454646
Position 805: 0.00040123559654749484
Position 728: 0.00038319433169810367
Position 2618: 0.00037938620102340094
Position 1299: 0.0003661048327977216
Position 2689: 0.00034802001865601477
Position 3454: 0.0002995009795813515
Position 1272: 0.0002858671798445624
Position 860: 0.0002737778712486233
Position 756: 0.0002552259929229615
Position 774: 0.000236818776360292
Position 394: 0.00023597751238711812
Position 38: 0.00021673152290383892
Position 607: 0.00020000408928898516
Position 1517: 0.00017492667636406778
Position 924: 0.0001545109944257401
Position 943: 0.00014599927409794284
Position 2361: 0.00013503698238772838
Position 1010: 0.00013340209742995025
Position 471: 0.000123384785285019
Position 492: 0.00011709122598176231
Position 1047: 0.00011679144252480406
Position 684: 0.0001021092001410671
Position 278: 0.00010174281198023931
Position 238: 0.0001004507665517815
Position 3267: 8.882830990767366e-05
Position 210: 8.158238523180894e-05
Position 1383: 8.083995431149859e-05
Position 2196: 7.931679352193529e-05
Position 3326: 7.880577560898569e-05
Position 383: 7.723304133260711e-05
Position 3203: 7.368496661897847e-05
Position 2862: 6.7507397644166e-05
Position 937: 6.507950860543303e-05
Position 2798: 6.300364544998342e-05
Position 421: 6.281743862291698e-05
Position 875: 5.96110554050177e-05
Position 2917: 5.150504271031773e-05
Position 47: 5.0513201096622416e-05
Position 26: 4.4857337342345573e-05
Position 160: 4.1404758879418275e-05
Position 2720: 4.0347188934250594e-05
Position 2884: 3.852710770726801e-05
Position 347: 3.830894888515499e-05
Position 3078: 3.2607960300795705e-05
Position 3465: 3.042551390166701e-05
Position 3353: 3.029936343287007e-05
Position 2176: 2.9871940365601877e-05
Position 337: 2.6988985354988345e-05
Position 3510: 2.6249095646426078e-05
Position 2894: 2.4507917908147156e-05
Position 2331: 2.324391975650186e-05
Position 204: 2.1180748266897452e-05
Position 1623: 2.0504017693588753e-05
Position 1437: 1.9387439763767576e-05
Position 722: 1.841233986130139e-05
Position 1421: 1.7555906083887848e-05
Position 719: 1.509051957061227e-05
Position 3272: 1.1115919907025487e-05
Position 1309: 1.1035603044742635e-05
Position 1990: 1.0952841875798174e-05
Position 32: 1.0636038416237623e-05
Position 740: 8.916271279427269e-06
Position 2815: 8.649475428527447e-06
Position 1275: 8.510828626583864e-06
Position 743: 7.687255334956494e-06
Position 3675: 6.64111123671657e-06
Position 746: 6.083555161815024e-06
Position 1250: 5.861564543286487e-06
Position 3613: 5.6811475029677464e-06
Position 2481: 5.470119474365001e-06
Position 218: 3.927112409167204e-06
Position 169: 3.861129058599956e-06
Position 122: 3.428836854947499e-06
Position 372: 3.001265494267837e-06
Position 1655: 2.666452354068174e-06
Position 1574: 2.6653678420739413e-06
Position 3541: 2.2215046575895892e-06
Position 1065: 1.6098545467589764e-06
Position 1080: 1.397797932153125e-06
Position 280: 1.3442250394410791e-06
Position 244: 1.3361583834559777e-06
Position 251: 1.2834875549667505e-06
Position 1992: 1.269800531039178e-06
Position 12: 1.078331921848173e-06
Position 507: 1.0601181736037178e-06
Position 953: 7.124914819346369e-07
Position 388: 6.976745334174192e-07
Position 2239: 6.575772988320489e-07
Position 947: 6.293329408569957e-07
Position 2825: 6.06615872129155e-07
Position 49: 5.696984822233353e-07
Position 2099: 5.611167265290859e-07
Position 142: 5.434180383062863e-07
Position 1584: 5.390824273005916e-07
Position 2455: 5.374513026677483e-07
Position 1878: 5.024123122491386e-07
Position 2841: 4.478973585430294e-07
Position 1099: 4.2090579635657506e-07
Position 2056: 3.0553208246861906e-07
Position 2443: 2.787475683941303e-07
Position 950: 2.664861714823628e-07
Position 551: 2.384336263332382e-07
Position 738: 2.2809897239126372e-07
Position 2078: 1.904114671276297e-07
Position 768: 1.6018430132971057e-07
Position 2751: 1.2214392347321187e-07
Position 2848: 1.110883882465898e-07
Position 2606: 8.069422390621428e-08
Position 611: 2.8862908376443073e-08
Position 103: 1.980763599703507e-09
Position 2200: 1.4022702390910888e-09
Position 1944: 1.054300807961532e-09
Position 3269: 6.845600793262926e-10
Position 2076: 4.1575885994126445e-10
Position 2625: 4.074125202757506e-10
Position 1601: 3.335568563509958e-10
Position 543: 2.2336308262051127e-11
Position 2066: 3.8021961807342205e-14
Position 2064: 3.7826164184430995e-14
Position 1775: 3.34258276170767e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1355: 0.9994686693260744
Position 2225: 0.9890049263506673
Position 3018: 0.9795667172358901
Position 534: 0.8702468495939022
Position 987: 0.4496274511360607
Position 2679: 0.17672340753398894
Position 99: 0.09908975951648472
Position 2787: 0.081822044771665
Position 3165: 0.07352911054814555
Position 2654: 0.06358540200278735
Position 1065: 0.04895625173942761
Position 1622: 0.04513350845189293
