Gene = Su(P)
index = 1530
Annotated 5SS: [ 837 1308]
Annotated 3SS: [ 900 1369]
SMsplice 5SS: [ 837 1308]
SMsplice 3SS: [ 900 1369]
top_k =  1000
Partition function (log Z): -2.4669775217695182

Sorted 5' Splice Sites (High to Low Probability):
Position 837: 0.9767467355202393
Position 1308: 0.9675643228261471
Position 592: 0.2128337120427319
Position 496: 0.05423368730104318
Position 1317: 0.01703710894795081
Position 601: 0.01645196456050425
Position 446: 0.013601915523758888
Position 583: 0.007312455384060255
Position 579: 0.00229024603414349
Position 1147: 0.001975719663133877
Position 403: 0.001275052658242062
Position 640: 0.0012271950722648978
Position 152: 0.0009695464521180098
Position 441: 0.0005703503731219004
Position 856: 0.0005616474757883451
Position 841: 0.00044728542382204605
Position 1138: 0.000432724460747294
Position 55: 0.00039063610827690603
Position 289: 0.0003029444267178434
Position 30: 0.0002636782146955484
Position 1433: 0.00022245331985140185
Position 1021: 0.00021320171993037572
Position 631: 0.00017505345056106645
Position 223: 0.0001621232588517064
Position 457: 0.00015452708861636794
Position 817: 9.551419446651832e-05
Position 124: 8.53491269127882e-05
Position 1269: 6.297626021344837e-05
Position 1084: 6.16522557890166e-05
Position 544: 6.082864966714513e-05
Position 913: 5.94699752663779e-05
Position 535: 5.351625347937476e-05
Position 851: 3.9336570002188405e-05
Position 1061: 3.70391981700069e-05
Position 1133: 3.569927093529102e-05
Position 792: 3.434938562998345e-05
Position 1068: 3.060589447583014e-05
Position 210: 2.5919602867728677e-05
Position 576: 2.5794142826310655e-05
Position 73: 2.4120844149143205e-05
Position 468: 2.3190573378084856e-05
Position 310: 2.314290357277338e-05
Position 1221: 2.2087399884060947e-05
Position 1071: 2.1127925214723516e-05
Position 424: 1.8480196659284254e-05
Position 312: 1.724672530209116e-05
Position 889: 1.6677316900962533e-05
Position 538: 1.5298733649172427e-05
Position 477: 1.5202100547057486e-05
Position 650: 1.2710411958938142e-05
Position 217: 1.2110340262983882e-05
Position 1287: 1.1562615159844268e-05
Position 1000: 1.1374319398391236e-05
Position 1028: 1.1179210593184278e-05
Position 941: 1.012478452900249e-05
Position 61: 9.220629576229018e-06
Position 321: 8.519898863053343e-06
Position 330: 8.49115488586908e-06
Position 553: 8.186651808170974e-06
Position 1238: 7.666737356842623e-06
Position 479: 5.249385948870604e-06
Position 1276: 5.113596681038071e-06
Position 462: 4.761844083401093e-06
Position 16: 4.433700073210243e-06
Position 1003: 4.24004332108736e-06
Position 717: 3.3464012068504975e-06
Position 1267: 3.2155334258073473e-06
Position 1247: 3.1834212099511096e-06
Position 8: 2.2997755672077026e-06
Position 89: 1.9836064368623575e-06
Position 488: 1.6470425769599945e-06
Position 1412: 1.4903394653928156e-06
Position 963: 9.12833876748163e-07
Position 274: 7.795503738216342e-07
Position 168: 6.490364904830571e-07
Position 1370: 5.04440331299682e-07
Position 982: 3.714464515357366e-07
Position 1335: 3.412170537443512e-07
Position 1113: 3.373080986193557e-07
Position 102: 3.2718311545816803e-07
Position 1330: 1.934700865841995e-07
Position 1395: 1.797308557302268e-07
Position 1165: 1.700493101078585e-07
Position 1419: 1.4365027945446234e-07
Position 128: 1.280033377598732e-07
Position 1399: 5.1352678212441495e-08
Position 1377: 1.4128567211650183e-08
Position 84: 2.488645546426545e-09
Position 887: 2.222897868263617e-10
Position 112: 2.0303521435081331e-10
Position 893: 7.130084936211951e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1369: 0.9873127921271765
Position 900: 0.9565078971579911
Position 670: 0.23346585260018582
Position 684: 0.050533607544921526
Position 564: 0.02132173722980307
Position 970: 0.01745243123203107
Position 495: 0.004066258330820592
Position 1216: 0.0014174606391135908
Position 913: 0.0012987794724320936
Position 1094: 0.0012851444430203114
Position 618: 0.0005494350617523697
Position 468: 0.0004154722641435387
Position 887: 0.0003874585022978564
Position 1125: 0.0003483711689087487
Position 615: 0.0002541137116208229
Position 1491: 0.00023267528586312118
Position 100: 0.00020417831662951317
Position 544: 0.00019531169327769482
Position 121: 0.00015609636616598966
Position 921: 0.00013822761988904517
Position 1392: 0.00012937726943653368
Position 690: 0.00011160528038098362
Position 1013: 9.219520160831149e-05
Position 474: 8.762612124483952e-05
Position 1257: 7.200453937087602e-05
Position 1165: 7.167098996440696e-05
Position 717: 6.129558457665403e-05
Position 210: 5.176278459168157e-05
Position 636: 3.955055573359565e-05
Position 989: 3.62970646610768e-05
Position 292: 2.7669906467688897e-05
Position 933: 2.647906936486425e-05
Position 1137: 2.1659068961530382e-05
Position 142: 1.8506982544746748e-05
Position 1188: 1.3552270137702638e-05
Position 762: 1.033238038401671e-05
Position 918: 9.945408647403855e-06
Position 274: 8.207696907939815e-06
Position 1221: 7.293053636820901e-06
Position 591: 5.314185551239744e-06
Position 588: 5.147161303889286e-06
Position 1099: 3.51605582896443e-06
Position 1108: 2.4567995206701994e-06
Position 1048: 2.437283156934116e-06
Position 327: 2.29429714821876e-06
Position 337: 2.0750957384296564e-06
Position 1407: 1.7577012085939785e-06
Position 267: 1.6185062254981476e-06
Position 650: 1.3816150243475585e-06
Position 1021: 1.2824540578114668e-06
Position 759: 1.2104439331119999e-06
Position 1273: 1.2037089791282186e-06
Position 813: 1.183396496167709e-06
Position 220: 1.1797016782625553e-06
Position 435: 9.131177223698022e-07
Position 1302: 8.512577434288002e-07
Position 1186: 4.934759975447522e-07
Position 1456: 3.3219881989006325e-07
Position 355: 3.0340652653031493e-07
Position 363: 2.2440290268164168e-07
Position 1419: 1.967046257265351e-07
Position 242: 1.367729458009508e-07
Position 55: 6.442116611577016e-08
Position 61: 5.4338043506180355e-08
Position 825: 5.2707165804218026e-08
Position 146: 4.62146265092298e-08
Position 1427: 4.4027816299205816e-08
Position 817: 8.675443447188046e-09
Position 403: 5.039656960015904e-09
Position 366: 4.481443317076182e-09
Position 417: 3.698449665598051e-09
