Gene = CAH2
index = 58
Annotated 5SS: [2555 4548 4837]
Annotated 3SS: [4074 4608 4897]
SMsplice 5SS: [  69 4548 4837]
SMsplice 3SS: [4074 4608 4897]
top_k =  1000
Partition function (log Z): 5.967019734403

Sorted 5' Splice Sites (High to Low Probability):
Position 4837: 0.9998408398198556
Position 4548: 0.9992303702088542
Position 69: 0.8638598106408262
Position 1932: 0.07175059319647699
Position 278: 0.07081788678122976
Position 2555: 0.060445893421483106
Position 1580: 0.035359832045953346
Position 4191: 0.027762513344683555
Position 4326: 0.01735414380401517
Position 140: 0.015650996344135214
Position 319: 0.014790365881754123
Position 381: 0.013427544892385518
Position 388: 0.01316255743799079
Position 1671: 0.012579716406249074
Position 2308: 0.011399807378467963
Position 5163: 0.007461784962803823
Position 999: 0.007051252496779649
Position 2321: 0.006367821828534527
Position 2473: 0.005684351167836746
Position 5283: 0.005345480717379286
Position 834: 0.0038047703306275287
Position 872: 0.003800748812774295
Position 4728: 0.003782310588048518
Position 1518: 0.0031198903853323066
Position 809: 0.0019103573450525674
Position 3617: 0.0015058872989464971
Position 3886: 0.001369791507230802
Position 272: 0.0012081572458078646
Position 4324: 0.0010233771141235591
Position 361: 0.0008221179688541481
Position 4716: 0.0006930836984896026
Position 5174: 0.0006572107160702708
Position 1972: 0.0005696282679350661
Position 5398: 0.0005685399886694555
Position 3445: 0.0004947805299346387
Position 343: 0.000489608610859539
Position 3500: 0.0004667166978597366
Position 2489: 0.0004564093825053665
Position 144: 0.00040007460800974535
Position 1380: 0.00039184831451065887
Position 1562: 0.0003480955068421899
Position 1601: 0.00033207706784617005
Position 1239: 0.0003009068669458215
Position 152: 0.00025519005438615647
Position 256: 0.00024164235810182887
Position 425: 0.00018853995418801142
Position 5646: 0.00018306544167265437
Position 39: 0.0001787789536276265
Position 3447: 0.0001612479094277738
Position 1141: 0.0001365157659775043
Position 5139: 0.00013206264805741853
Position 5160: 0.0001275881183987506
Position 4684: 0.00010744473232814853
Position 618: 0.00010408587713008404
Position 5062: 0.0001025376677701312
Position 1226: 7.16881997020279e-05
Position 4984: 6.434597516514085e-05
Position 1814: 4.8925273506165785e-05
Position 942: 4.595992783522352e-05
Position 4609: 3.71487057265506e-05
Position 957: 3.693743636677442e-05
Position 5223: 3.3339752734479735e-05
Position 5313: 3.248949379548002e-05
Position 4739: 2.890143406336441e-05
Position 5116: 2.1560400841034136e-05
Position 506: 2.0002658079428766e-05
Position 5152: 1.8727676056318707e-05
Position 5507: 1.7337465899262956e-05
