Gene = NijA
index = 1318
Annotated 5SS: [ 311 1249 1854]
Annotated 3SS: [1172 1461 2150]
SMsplice 5SS: [ 311 1400 1854]
SMsplice 3SS: [1172 1461 2150]
top_k =  1000
Partition function (log Z): 0.12366194034444192

Sorted 5' Splice Sites (High to Low Probability):
Position 1854: 0.9718710695759979
Position 1400: 0.5978184012634192
Position 311: 0.5841858339888034
Position 1249: 0.32541935652334714
Position 348: 0.1971087876752832
Position 299: 0.0843485184528507
Position 1381: 0.02742821238047156
Position 176: 0.018741587781480558
Position 1002: 0.014784861863218568
Position 1294: 0.005352718049787113
Position 1590: 0.004613014366258914
Position 1253: 0.004423303345875425
Position 1932: 0.004289633309925925
Position 986: 0.004239857060412714
Position 117: 0.004231537813645469
Position 676: 0.0035008950401618946
Position 2033: 0.0033816609652111834
Position 1868: 0.0030135704061312425
Position 2023: 0.002690147219314088
Position 1222: 0.0024153673422026606
Position 2066: 0.002289960485769015
Position 2050: 0.0020964309184266752
Position 1584: 0.0018322637848800026
Position 849: 0.001498719946692321
Position 1398: 0.0014700438425532926
Position 972: 0.0014415853138914948
Position 2342: 0.0013783200286896218
Position 370: 0.0012882843091598963
Position 983: 0.0007406452047052457
Position 911: 0.0006873079666158158
Position 1692: 0.0006509747434724662
Position 2244: 0.000627719578498644
Position 100: 0.000582226962465548
Position 2053: 0.0005321107191472878
Position 1889: 0.0005033564368581949
Position 1404: 0.0004869378452633138
Position 2370: 0.00042583498545964405
Position 1947: 0.00034915583156332295
Position 2351: 0.0003490938247451238
Position 321: 0.0002786953283815175
Position 1074: 0.00027500917839741175
Position 965: 0.00022457407436673316
Position 1540: 0.00016707675563897356
Position 2271: 0.00014622465389760693
Position 876: 0.00012867941246340076
Position 469: 0.00012852103207871033
Position 436: 0.00012640272485689278
Position 228: 0.0001241866514545428
Position 1417: 0.00012064645540143498
Position 2092: 0.0001115377890686538
Position 2313: 0.00010989887484627985
Position 1132: 8.972596596469953e-05
Position 315: 8.768599720103573e-05
Position 1651: 8.694938909392305e-05
Position 560: 7.723021000792964e-05
Position 659: 6.631631150715657e-05
Position 457: 5.9575021314989465e-05
Position 669: 5.722299247954573e-05
Position 237: 5.709809528873128e-05
Position 2277: 5.53568505707393e-05
Position 2268: 5.3551202222306035e-05
Position 1269: 4.456309119240916e-05
Position 417: 4.283077765921747e-05
Position 680: 4.256088618986492e-05
Position 1554: 4.119165934567043e-05
Position 397: 3.8774901528090826e-05
Position 954: 3.3998393607222494e-05
Position 1819: 3.301633728531534e-05
Position 2069: 3.1123533380668436e-05
Position 619: 3.056453431387157e-05
Position 1656: 3.0251782630519184e-05
Position 761: 2.6521699884672944e-05
Position 22: 2.5655149095814803e-05
Position 632: 2.3060698856237396e-05
Position 32: 2.0557330856614234e-05
Position 1671: 1.80584762639695e-05
Position 2298: 1.7096647121016665e-05
Position 1621: 1.6928794503806005e-05
Position 272: 1.6772936083589733e-05
Position 50: 1.5765635187372873e-05
Position 1779: 1.5245411685989598e-05
Position 1420: 1.4709435681334184e-05
Position 1135: 1.1337294982330625e-05
Position 1333: 1.1041271328053686e-05
Position 405: 1.0281343899756967e-05
Position 1339: 9.687591457723403e-06
Position 443: 9.371970283219053e-06
Position 1826: 9.104827867955376e-06
Position 1310: 8.272825828189945e-06
Position 1596: 7.2608685161274725e-06
Position 500: 5.450065464105989e-06
Position 1774: 4.989453198416703e-06
Position 8: 4.843761619130862e-06
Position 689: 4.583780404638974e-06
Position 2186: 3.6363804102477926e-06
Position 963: 3.43960847093809e-06
Position 1201: 3.0961868199446626e-06
Position 1434: 2.895143031860557e-06
Position 1236: 2.844958782427244e-06
Position 532: 2.6564214492415076e-06
Position 2203: 2.233653326922988e-06
Position 5: 2.1863901608113697e-06
Position 1316: 1.5885584310453328e-06
Position 1322: 1.345420845102201e-06
Position 938: 9.850547439606626e-07
Position 1530: 5.804766058278192e-07
Position 467: 5.782579065099811e-07
Position 1081: 2.7366455127589496e-07
Position 1503: 2.4208090118011583e-07
Position 2262: 1.824493761303836e-07
Position 936: 5.201596372704395e-10
Position 1458: 4.538163679482608e-10
Position 2157: 2.755191212104685e-12
Position 2163: 1.8693640337289215e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2150: 0.9961712956084943
Position 1461: 0.9809134041990777
Position 1172: 0.6088806201099222
Position 702: 0.12733277141445823
Position 1063: 0.10389549400808885
Position 947: 0.009313540492189944
Position 745: 0.006908705449243478
Position 443: 0.006454306942032198
Position 771: 0.005848697455847708
Position 1017: 0.004773307920151293
Position 1922: 0.00424890400342057
Position 1509: 0.003797775541223718
Position 546: 0.0031209055698793887
Position 513: 0.0020032990278689776
Position 393: 0.0018900353998870213
Position 1899: 0.0017901416740203609
Position 1298: 0.0017090648489925633
Position 824: 0.0016062941790692992
Position 1068: 0.0014004011117864715
Position 2398: 0.0012147506027329195
Position 1973: 0.001175174456388911
Position 1192: 0.0011281526163875151
Position 2439: 0.0010183578752797978
Position 930: 0.0009121613759000945
Position 576: 0.0008042563893997665
Position 2363: 0.0007946881996368527
Position 1434: 0.0007521977865674521
Position 1706: 0.0007475867395571958
Position 972: 0.0005679340775319817
Position 653: 0.000457536817003163
Position 2083: 0.0004368943819612169
Position 1032: 0.00038118210511262833
Position 983: 0.00035815864292894735
Position 2386: 0.0002662645953471528
Position 2053: 0.00025723366468223763
Position 1132: 0.00024935794047665425
Position 1108: 0.00023495259703125115
Position 1284: 0.00021847925024713995
Position 1608: 0.00021607328097255778
Position 1183: 0.0001919275230104941
Position 781: 0.00017625075485927286
Position 1002: 0.00017492118692959358
Position 632: 0.0001695105281888627
Position 640: 0.00013906718624421562
Position 1712: 0.00013790874282583706
Position 189: 0.00012982508083358033
Position 245: 0.00010624379833353042
Position 1715: 0.00010020998334539345
Position 713: 0.00010010713671741116
Position 1127: 9.62916714162469e-05
Position 1071: 8.68046833966112e-05
Position 1294: 7.51288442680166e-05
Position 1407: 4.693206365585645e-05
Position 1787: 4.441726413782521e-05
Position 1819: 4.398842508204518e-05
Position 1985: 4.224776410916415e-05
Position 1560: 4.1732440525721946e-05
Position 560: 3.7697770712557036e-05
Position 2305: 3.27876569409981e-05
Position 1243: 2.6538089154749988e-05
Position 2186: 2.263731988436544e-05
Position 1840: 2.1655242142570404e-05
Position 2032: 1.9189569713646975e-05
Position 657: 1.324133361605765e-05
Position 237: 1.1508865080059754e-05
Position 1853: 1.0847474089450233e-05
Position 1236: 9.156199464621925e-06
Position 2289: 6.909397806136544e-06
Position 2342: 5.477201305292121e-06
Position 1727: 5.36563585905304e-06
Position 2262: 5.272159610958806e-06
Position 518: 4.1048490379943734e-06
Position 347: 3.714953837832884e-06
Position 837: 3.203576441291513e-06
Position 1413: 3.1986845835706055e-06
Position 2248: 2.7960466098944448e-06
Position 98: 2.527405393313448e-06
Position 149: 2.349328001780568e-06
Position 2370: 2.3011126076489106e-06
Position 715: 2.0471907316254585e-06
Position 2227: 2.0277412266512005e-06
Position 2066: 1.9637065613278466e-06
Position 2039: 1.9353009253525717e-06
Position 281: 1.7583190989254381e-06
Position 2023: 1.5333303781506087e-06
Position 2244: 1.176085010065751e-06
Position 849: 1.1494214450020857e-06
Position 272: 1.0608880514288316e-06
Position 1612: 9.856164291990895e-07
Position 311: 6.528983635678306e-07
Position 662: 6.202298600461224e-07
Position 844: 5.91588113173048e-07
Position 116: 5.385483001404041e-07
Position 2069: 4.5891038500813505e-07
Position 481: 2.891426292678172e-07
Position 1993: 2.093840159510044e-07
Position 1932: 1.175570256345696e-07
Position 2307: 1.1365969361315578e-07
Position 92: 1.1068636154090234e-07
Position 122: 1.0252766490895105e-08
Position 64: 5.699446371167042e-09
Position 321: 5.356865061994802e-10
Position 619: 3.242000771472799e-10
Position 113: 3.086989538875811e-10
Position 247: 1.925336364080728e-10
Position 284: 6.341373831576912e-11
Position 128: 5.545534343548883e-11
Position 138: 2.2890552688737936e-11
Position 315: 5.39343671827584e-12
Position 303: 4.88789529507081e-12
Position 50: 1.1134582513045163e-13
Position 100: 7.934992058863005e-14
Position 130: 3.303028381098489e-14
