Gene = Hsc20
index = 1216
Annotated 5SS: [291 456]
Annotated 3SS: [342 515]
SMsplice 5SS: [456]
SMsplice 3SS: [515]
top_k =  1000
Partition function (log Z): -5.662973454975573

Sorted 5' Splice Sites (High to Low Probability):
Position 456: 0.6575783180134156
Position 291: 0.5687731927675519
Position 460: 0.14305666124380573
Position 449: 0.0984831685301184
Position 602: 0.01845993744675526
Position 17: 0.0035461642369915623
Position 102: 0.002444105896284438
Position 276: 0.0014189789336132744
Position 73: 0.0008263461259497004
Position 38: 0.0006998378444101767
Position 295: 0.0006608921685737857
Position 62: 0.0006544203537467412
Position 700: 0.0005954383877333001
Position 430: 0.00029771021835250363
Position 250: 0.0002005023731350788
Position 78: 0.00018167579164241423
Position 472: 0.00014722998773075162
Position 97: 0.00012392394733644373
Position 465: 0.00011946668330368133
Position 780: 0.00011321565523347321
Position 36: 0.00010926976596911667
Position 129: 7.833111682478737e-05
Position 50: 4.9019414784411075e-05
Position 832: 2.142509371074967e-05
Position 599: 1.7684541069746413e-05
Position 15: 1.6381683424029704e-05
Position 843: 1.3908982990525862e-05
Position 259: 1.3849887809845152e-05
Position 606: 9.879678525341202e-06
Position 333: 7.811346722152539e-06
Position 407: 7.5095779387062725e-06
Position 339: 6.9075290943847234e-06
Position 551: 4.4993973410364504e-06
Position 666: 4.233650770394168e-06
Position 396: 3.7511575123464274e-06
Position 205: 3.1873220933452057e-06
Position 417: 2.9475846414732687e-06
Position 930: 1.4806966037411675e-06
Position 887: 1.3612059532700683e-06
Position 186: 5.513750631660983e-07
Position 951: 4.859182542684232e-07
Position 817: 2.670442163920375e-07
Position 387: 2.3579535336830945e-07
Position 854: 6.072242744381806e-08
Position 161: 1.674074337066581e-08
Position 508: 7.372144533025831e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 515: 0.9745903522948827
Position 342: 0.2943858021559564
Position 362: 0.17359823240842573
Position 664: 0.016460831621020272
Position 333: 0.01556867928711188
Position 595: 0.00815711510905779
Position 161: 0.004993104890845705
Position 800: 0.0021623260539715087
Position 396: 0.0020553244444302455
Position 133: 0.0016796258084913818
Position 393: 0.001509623236264491
Position 423: 0.0009204695319100554
Position 65: 0.0004941188439004875
Position 97: 0.00034513933287703074
Position 835: 0.0002140972299890418
Position 417: 0.000198230630500711
Position 186: 0.00018723842587696471
Position 747: 0.00018128565942819737
Position 666: 0.00016027314405161702
Position 544: 0.0001576797624791136
Position 387: 0.00012524605957927115
Position 141: 0.00011002769606124316
Position 756: 0.00010054319547005352
Position 899: 6.19222850535627e-05
Position 996: 5.151577887950117e-05
Position 624: 4.556132345106117e-05
Position 805: 3.059505588883098e-05
Position 973: 2.804079765486051e-05
Position 449: 2.0535986969407988e-05
Position 879: 2.0205025514339174e-05
Position 108: 1.8859221637955483e-05
Position 168: 1.4309047518849024e-05
Position 484: 1.3183890823737807e-05
Position 567: 1.2187029555755987e-05
Position 823: 8.101444524703728e-06
Position 633: 7.993839806605655e-06
Position 488: 7.974869622353203e-06
Position 861: 7.178266393034356e-06
Position 876: 7.065042045461799e-06
Position 465: 5.371203887394237e-06
Position 650: 5.359324136120169e-06
Position 407: 4.875369659945938e-06
Position 76: 4.830080701535918e-06
Position 866: 4.379060101306242e-06
Position 642: 4.19809976486803e-06
Position 272: 3.8040725894661507e-06
Position 221: 3.1191148690459803e-06
Position 239: 1.6028639290053448e-06
Position 606: 1.578710427167522e-06
Position 887: 1.4913400100714592e-06
Position 551: 9.455964813870537e-07
Position 472: 8.121020659027752e-07
Position 765: 7.839099245623303e-07
Position 687: 6.624704498188181e-07
Position 236: 4.99374750679474e-07
Position 843: 4.519359870083994e-07
Position 732: 3.1712026884780093e-07
Position 699: 3.141933362095903e-07
Position 404: 1.3464323785254479e-07
Position 285: 4.17150128872145e-08
Position 78: 3.940463451866392e-08
Position 456: 2.0459609511822696e-08
Position 291: 1.573504912890209e-08
Position 528: 2.755036847543667e-10
Position 73: 4.932133495435371e-12
Position 295: 7.604560711824618e-16
