Gene = Akh
index = 17
Annotated 5SS: [188]
Annotated 3SS: [255]
SMsplice 5SS: [188]
SMsplice 3SS: [255]
top_k =  1000
Partition function (log Z): -2.641020336394647

Sorted 5' Splice Sites (High to Low Probability):
Position 188: 0.9994468689312658
Position 192: 0.0005357866329681351
Position 534: 0.0002618183166595461
Position 433: 5.4061192358238966e-05
Position 74: 5.152395027859903e-05
Position 452: 4.637781263961741e-05
Position 289: 1.8682777063746806e-05
Position 423: 1.8206022129531777e-05
Position 183: 1.3797730067220134e-05
Position 470: 3.4590760400484926e-06
Position 512: 1.5700187602619257e-06
Position 525: 8.410205373345218e-07
Position 176: 6.504000665345793e-07
Position 181: 5.353119124275082e-07
Position 34: 3.4586078460306463e-07
Position 97: 2.897023013249198e-07
Position 32: 1.8937944467568037e-07
Position 137: 1.4758725825321607e-07
Position 302: 1.2772432355258134e-07
Position 27: 8.183206222156615e-08
Position 540: 6.104367764484254e-08
Position 152: 4.75910941767869e-08
Position 537: 2.8366976427299363e-08
Position 379: 1.842538080665775e-08
Position 284: 1.3667103492557304e-08
Position 543: 1.2711112849032554e-08
Position 52: 1.2631231496121942e-08
Position 255: 4.523707796724067e-09
Position 230: 7.741898362963601e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 255: 0.997653541361482
Position 390: 0.000945643742032107
Position 327: 0.0007837276779914016
Position 590: 0.0002863974102333089
Position 330: 0.00024082323928244917
Position 521: 0.0001516188352095193
Position 396: 0.0001491480079519585
Position 321: 8.348591878628015e-05
Position 282: 7.448595676510708e-05
Position 149: 2.940073736580368e-05
Position 554: 1.7934254668682523e-05
Position 130: 1.7813990400274383e-05
Position 533: 4.920013155945279e-06
Position 137: 3.5934986379907833e-06
Position 298: 3.2010603890040983e-06
Position 414: 2.6524625199130923e-06
Position 366: 2.256170994839513e-06
Position 475: 1.9465368083819225e-06
Position 342: 5.878915098150964e-07
Position 537: 5.815744691536121e-07
Position 426: 4.4594166613533367e-07
Position 445: 4.2711045573391887e-07
Position 97: 2.56121777150998e-07
Position 543: 2.372744375822206e-07
Position 213: 1.4190551082759415e-07
Position 82: 9.13599755107906e-08
Position 105: 7.810881895653033e-08
Position 110: 6.063852510399034e-08
Position 117: 2.308854387670719e-08
Position 436: 1.9205375712224123e-08
Position 181: 7.468120858580031e-09
Position 430: 7.442983870717146e-09
Position 423: 4.838020497888336e-09
Position 132: 1.4168544550686767e-10
Position 188: 2.5147910426848887e-11
Position 192: 1.696597825085441e-12
