Gene = RpIIIC53
index = 1432
Annotated 5SS: [415 854 995]
Annotated 3SS: [ 473  925 1046]
SMsplice 5SS: [415 854 995]
SMsplice 3SS: [ 473  925 1046]
top_k =  1000
Partition function (log Z): -0.21784665859631408

Sorted 5' Splice Sites (High to Low Probability):
Position 415: 0.9577449081877834
Position 854: 0.9189288370978058
Position 995: 0.8689384182554648
Position 1372: 0.026707389334686474
Position 1152: 0.01854071381540046
Position 261: 0.01755206486697548
Position 374: 0.013579273315028183
Position 563: 0.010672047125074708
Position 240: 0.008360986266178807
Position 1629: 0.0035193284573002267
Position 1645: 0.0032687180549823727
Position 342: 0.002294142189887519
Position 419: 0.001916468579203808
Position 32: 0.0012249835180160444
Position 1388: 0.0009024025090515449
Position 398: 0.0007262070331657792
Position 1637: 0.0005558776118664376
Position 29: 0.0005403314653321693
Position 1126: 0.0004109979260343307
Position 1488: 0.0003201859311757883
Position 858: 0.0003200241941012965
Position 554: 0.0002957271072274167
Position 686: 0.00023672483180687404
Position 17: 0.00019575147402377024
Position 1328: 0.00017279936155393364
Position 1383: 0.00014193596247510264
Position 156: 9.46415266129264e-05
Position 1131: 8.475754294102373e-05
Position 643: 7.057304541740922e-05
Position 3: 6.642379311463236e-05
Position 34: 6.127347369920078e-05
Position 557: 4.352065754089863e-05
Position 524: 3.81931418235673e-05
Position 651: 3.340657933503966e-05
Position 276: 3.1731604871976106e-05
Position 1462: 2.922240906799393e-05
Position 1466: 2.194193216703354e-05
Position 1272: 2.048463102312457e-05
Position 422: 1.0881656612730304e-05
Position 270: 9.987807242559401e-06
Position 696: 9.917689745270914e-06
Position 19: 9.148482778446089e-06
Position 244: 8.29204770150722e-06
Position 231: 6.948238742243781e-06
Position 974: 6.621675998812519e-06
Position 1609: 5.6897361336914555e-06
Position 265: 5.035475365254015e-06
Position 1431: 4.188089929233737e-06
Position 1215: 3.4488132599130382e-06
Position 771: 2.7536048039399363e-06
Position 694: 2.573326984890468e-06
Position 1326: 2.2717755687362286e-06
Position 637: 2.1699125835436996e-06
Position 715: 2.0816434839779495e-06
Position 1217: 1.936360613346147e-06
Position 142: 1.3413354644716966e-06
Position 203: 1.1785486180693936e-06
Position 530: 8.234294879255584e-07
Position 782: 7.528330512316279e-07
Position 1598: 3.7583892973790534e-07
