Gene = trbl
index = 1918
Annotated 5SS: [1184]
Annotated 3SS: [4133]
SMsplice 5SS: [1184]
SMsplice 3SS: [4133]
top_k =  1000
Partition function (log Z): -6.191621277188178

Sorted 5' Splice Sites (High to Low Probability):
Position 1184: 0.9802175422535405
Position 2025: 0.4324497428021217
Position 4031: 0.2260406572350155
Position 4045: 0.1364801255637885
Position 4315: 0.05075778035801037
Position 260: 0.016082355261252478
Position 2893: 0.014147419088085422
Position 4941: 0.013797746937807574
Position 133: 0.00900839480024984
Position 4319: 0.008928955013713864
Position 58: 0.0079971389139345
Position 1548: 0.007574404977192294
Position 1544: 0.007559511843199244
Position 3933: 0.006725979583737366
Position 2021: 0.00608734944542637
Position 2990: 0.006009635323721513
Position 2074: 0.005852898800443839
Position 1201: 0.005718490365362492
Position 3213: 0.005585054127465889
Position 1564: 0.0049452758451029154
Position 2903: 0.004341470778762347
Position 1572: 0.0043338631313283174
Position 3406: 0.003145668473400606
Position 2701: 0.003139527986064166
Position 338: 0.003123852457864045
Position 3410: 0.002717358684327384
Position 4944: 0.002620699465729651
Position 4411: 0.0023173386701520493
Position 2656: 0.0022834682678536085
Position 2559: 0.002246582927719756
Position 2964: 0.0019083996085676551
Position 97: 0.0017670470762010616
Position 4407: 0.0013517513396748848
Position 3104: 0.0012547276472638304
Position 3361: 0.001199070011807018
Position 2642: 0.0011049964451096456
Position 227: 0.0010805490804809653
Position 3454: 0.0010787344063310396
Position 3054: 0.0009941553718038104
Position 136: 0.0009817953032627597
Position 325: 0.0009114704013678287
Position 2192: 0.0009088646449105994
Position 2603: 0.0008875426879506697
Position 513: 0.0008386527073303713
Position 1874: 0.0006907698102079715
Position 3938: 0.000681492242201632
Position 2705: 0.0005936790488189818
Position 840: 0.0005494998636455228
Position 2720: 0.00047641121486006994
Position 161: 0.00045639029355334226
Position 819: 0.00045359446710022323
Position 1969: 0.0004332805177319924
Position 4311: 0.00038592698050863824
Position 299: 0.00038411619259066764
Position 2585: 0.0003770847306384375
Position 35: 0.0003601953744589419
Position 1113: 0.0003283474195385931
Position 2548: 0.0003280672382275283
Position 1988: 0.0003212217379448304
Position 803: 0.00032118353393941986
Position 4641: 0.0003139031476890224
Position 2036: 0.000277784469292402
Position 3300: 0.00027726922695263525
Position 1552: 0.00027270515068378
Position 139: 0.00021975276700639807
Position 67: 0.00021533839809072133
Position 317: 0.00018974569875076654
Position 330: 0.00018577030036674616
Position 1979: 0.0001796663962602303
Position 3920: 0.0001783558256042039
Position 2148: 0.00017178631042104168
Position 248: 0.0001535805959321313
Position 2023: 0.0001493227266818899
Position 3365: 0.00014665324404697572
Position 1455: 0.00013506333616480052
Position 335: 0.00013136456881761288
Position 493: 0.0001276003780749191
Position 101: 0.0001207008839518763
Position 1595: 0.00011974067571953377
Position 364: 0.0001183320900243765
Position 737: 0.00010744994268799018
Position 2104: 0.00010729423029268007
Position 5087: 0.00010389339222843539
Position 1754: 0.00010210969118080364
Position 2255: 0.00010063497461283371
Position 2795: 9.891151747508462e-05
Position 814: 9.739132773854533e-05
Position 1718: 9.362466124111042e-05
Position 3971: 9.069316765795177e-05
Position 1019: 9.058783795688028e-05
Position 673: 8.876557030595022e-05
Position 2554: 8.789369989118486e-05
Position 3711: 8.479762588052444e-05
Position 3289: 8.233021277490126e-05
Position 1997: 7.963440785374671e-05
Position 1188: 7.37463940011149e-05
Position 53: 6.631974779140214e-05
Position 750: 6.474671719211396e-05
Position 3369: 6.021230468001998e-05
Position 2029: 5.869149073788435e-05
Position 1451: 5.682350224345071e-05
Position 414: 5.6782904773870326e-05
Position 3671: 5.10809107972178e-05
Position 2441: 5.0844051701101635e-05
