Gene = Cpr64Ab
index = 1095
Annotated 5SS: [83]
Annotated 3SS: [191]
SMsplice 5SS: [83]
SMsplice 3SS: [191]
top_k =  1000
Partition function (log Z): -1.8047320950351222

Sorted 5' Splice Sites (High to Low Probability):
Position 83: 0.9892231484974657
Position 112: 0.009476508031003729
Position 282: 0.001571419792157699
Position 507: 0.0012307403017576665
Position 360: 0.0010278778300608356
Position 258: 0.0006301959377719855
Position 145: 0.0005071310615600741
Position 143: 0.0004737755725282897
Position 299: 0.0003349723802886523
Position 87: 0.00025315952776014226
Position 489: 0.00023327552737999145
Position 573: 0.00013228297454178452
Position 102: 0.00012397779452199623
Position 412: 0.0001186418514011698
Position 516: 8.372061300811536e-05
Position 396: 7.172748187629397e-05
Position 264: 5.109232602549859e-05
Position 468: 4.8616566983940405e-05
Position 454: 3.4941908853373125e-05
Position 483: 2.9988250370279747e-05
Position 399: 2.2384824984657643e-05
Position 465: 1.2671674471926868e-05
Position 375: 8.616003150231612e-06
Position 230: 8.130160054273863e-06
Position 378: 7.09276754481042e-06
Position 305: 4.747088402529187e-06
Position 318: 4.609172448845935e-06
Position 3: 4.013850549818216e-06
Position 65: 2.4999317419789857e-06
Position 426: 1.909432688108068e-06
Position 252: 8.181439781085358e-07
Position 599: 4.7618465086500863e-07
Position 17: 1.5854797055905736e-07
Position 611: 1.2425468900125166e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 191: 0.997832953906092
Position 611: 0.003123320029126479
Position 343: 0.0012875460072150726
Position 323: 0.0010604194376763513
Position 131: 0.0006761599741882506
Position 555: 0.0006479933940593746
Position 246: 0.00025586104580904603
Position 473: 0.00017377968968158405
Position 299: 0.00017340632478180274
Position 654: 0.00014321935057577459
Position 581: 9.791620010563523e-05
Position 623: 9.547111872043011e-05
Position 258: 8.798608139896104e-05
Position 143: 3.982320030331364e-05
Position 359: 1.3250330900840603e-05
Position 347: 8.84128632627505e-06
Position 627: 6.874111392238688e-06
Position 264: 3.2575314547806418e-06
Position 56: 3.1492436965306945e-06
Position 230: 2.4043334208511035e-06
Position 516: 8.796418482235979e-07
Position 281: 3.529424184833086e-07
Position 383: 1.6899577076889704e-07
Position 65: 1.5325495242528036e-07
Position 356: 1.49573253802798e-07
Position 349: 7.428462031650089e-08
Position 353: 2.81365194995149e-08
Position 483: 6.6078155938526454e-09
Position 82: 2.1520209317667948e-10
Position 107: 1.3403419318224724e-11
Position 87: 1.183646231333448e-12
Position 372: 4.300185614777947e-13
Position 477: 2.786062924374686e-13
Position 92: 2.070215179524811e-14
