Gene = mge
index = 1790
Annotated 5SS: [711 928]
Annotated 3SS: [ 891 1399]
SMsplice 5SS: [711]
SMsplice 3SS: [891]
top_k =  1000
Partition function (log Z): -4.7967821698024995

Sorted 5' Splice Sites (High to Low Probability):
Position 711: 0.8327975642114371
Position 175: 0.6252911129875361
Position 928: 0.326945696311582
Position 1243: 0.13412640511532084
Position 1182: 0.11937385804438641
Position 1153: 0.04318617046352938
Position 47: 0.02722625390339739
Position 41: 0.021471681277156405
Position 1009: 0.017670663327376247
Position 802: 0.007210346252746368
Position 1299: 0.007123256072015808
Position 1640: 0.003989959314060303
Position 351: 0.003942289547651631
Position 1287: 0.0038917475007840324
Position 974: 0.0036997063887168123
Position 715: 0.002491384171441511
Position 1022: 0.0016229397007004277
Position 945: 0.0015534110826256212
Position 75: 0.0014644960304122758
Position 1031: 0.00138649899269408
Position 723: 0.0010687319516568814
Position 1047: 0.0010341120499466245
Position 472: 0.0009699820499965323
Position 1832: 0.0008092068096275225
Position 516: 0.0007791240754666195
Position 250: 0.0006836777646938378
Position 1481: 0.0005602855936768928
Position 1068: 0.0005536135866219562
Position 356: 0.000489002540927656
Position 243: 0.00048435187229602886
Position 1322: 0.00046653647148876755
Position 2008: 0.0004603431884977444
Position 2015: 0.0004487157999044177
Position 941: 0.0004185639159924295
Position 1496: 0.00037754208630827517
Position 485: 0.00036078956121490997
Position 1794: 0.0003164538587115707
Position 1784: 0.00031013885926211735
Position 1659: 0.0003069329718987424
Position 808: 0.0002736674183544438
Position 456: 0.0002679230270925197
Position 552: 0.00023899120233705887
Position 206: 0.00023328123286209964
Position 239: 0.00020953994289597534
Position 765: 0.00018191313345909953
Position 155: 0.00017764931067564712
Position 60: 0.0001501708421983363
Position 105: 0.00013998251264017142
Position 226: 0.0001350578088608557
Position 1206: 0.00012747517010558253
Position 1247: 0.00010417632367298642
Position 1988: 0.00010143557567154824
Position 812: 9.920552465874766e-05
Position 1173: 9.643133724593193e-05
Position 1250: 7.390760749271374e-05
Position 13: 6.671707887906728e-05
Position 726: 6.244253178663625e-05
Position 1138: 6.240001376065434e-05
Position 1126: 5.785128695880001e-05
Position 2013: 5.229889574436577e-05
Position 341: 4.994849802925896e-05
Position 1254: 4.1765924620786725e-05
Position 576: 3.566923445496641e-05
Position 7: 3.15474555166666e-05
Position 55: 2.2603405590698888e-05
Position 694: 1.867408743818857e-05
Position 1704: 1.640445584801974e-05
Position 501: 6.82360917062045e-06
Position 181: 6.469385199650186e-06
Position 591: 6.4494727070738825e-06
Position 702: 6.446176012976398e-06
Position 736: 6.086320916924648e-06
Position 550: 5.675187987522839e-06
Position 503: 3.6821252745738977e-06
Position 1990: 3.522006487453971e-06
Position 137: 1.2932737485793788e-06
Position 556: 1.2085499277636223e-06
Position 179: 1.1099477558100467e-06
Position 270: 6.47485681851369e-07
Position 794: 2.1340693926179133e-07
Position 241: 1.0856867393970049e-07
Position 1505: 1.0559669646972564e-07
Position 1159: 9.942610769141624e-08
Position 632: 5.193333849490036e-08
Position 1011: 4.6959745855699186e-08
Position 659: 1.436525152309612e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 891: 0.8740723290182237
Position 1399: 0.6189485038903706
Position 514: 0.14677083006166314
Position 413: 0.08557935502686512
Position 239: 0.06414809548719418
Position 289: 0.05486908973708203
Position 1093: 0.04341743732785439
Position 591: 0.03416018209193331
Position 226: 0.031681146417217705
Position 440: 0.031109560053520984
Position 89: 0.02914735142903964
Position 1347: 0.024968609032112444
Position 1892: 0.020021111196789614
Position 137: 0.015856910562458595
Position 1286: 0.011678452339712717
Position 525: 0.010983510634507473
Position 1350: 0.010470620785249884
Position 1313: 0.009732325927639365
Position 247: 0.00889524718971606
Position 576: 0.006862977686168805
Position 768: 0.006583173475594954
Position 644: 0.006310705363674681
