Gene = Msr-110
index = 1288
Annotated 5SS: [2409 3717 8232 9617]
Annotated 3SS: [3518 7986 8351 9744]
SMsplice 5SS: [ 198  511 3717 8232 9617]
SMsplice 3SS: [ 406 3518 7986 8351 9744]
top_k =  1000
Partition function (log Z): 6.3683806370267435

Sorted 5' Splice Sites (High to Low Probability):
Position 8232: 0.9971061503755473
Position 511: 0.9784080494132708
Position 3717: 0.9332014480438595
Position 198: 0.878015288059403
Position 9617: 0.7822426735714263
Position 3465: 0.09175940514580311
Position 2409: 0.06224509239568578
Position 778: 0.04603404680892235
Position 3708: 0.042298159165376735
Position 880: 0.03673825142253518
Position 1654: 0.036635097995424644
Position 96: 0.02827680731964689
Position 8072: 0.02252242185936437
Position 4090: 0.018372991215968977
Position 254: 0.015347325206209612
Position 3353: 0.014924417934371726
Position 8806: 0.010736077945939856
Position 1822: 0.008786849099290145
Position 4221: 0.008296319381876372
Position 3206: 0.008129754998780346
Position 544: 0.00810827094159894
Position 49: 0.0078204986064343
Position 9891: 0.007552023859209668
Position 840: 0.00662655808708661
Position 6313: 0.006314780906742154
Position 247: 0.0060945170963043966
Position 267: 0.005866794086397828
Position 9071: 0.005054505652976577
Position 100: 0.004941931813917585
Position 4083: 0.004683283875902797
Position 3916: 0.004516416998468657
Position 782: 0.004274562147849849
Position 9860: 0.0035905611421371496
Position 9917: 0.0031546812656792042
Position 9943: 0.002989546747944474
Position 1131: 0.002983850597465598
Position 3339: 0.002943107712906775
Position 1066: 0.0028742004332201836
Position 9400: 0.0027825831480280984
Position 269: 0.0027561761530486245
Position 4357: 0.002540513544728708
Position 9653: 0.0023695495452807865
Position 6794: 0.0022751074551680553
Position 868: 0.0022633116195924594
Position 5242: 0.0021542050953821668
Position 8866: 0.002097685642044514
Position 4122: 0.001963772805506832
Position 202: 0.001954940487695543
Position 5659: 0.0018369895841990702
Position 1548: 0.0018047567653481135
Position 8857: 0.0017827880777678323
Position 10145: 0.001782300822985423
Position 586: 0.0017571721304670404
Position 2090: 0.0015635710966456586
Position 1898: 0.001460162101286181
Position 4293: 0.0014275324529935897
Position 2654: 0.0014222416102572435
