Gene = eIF2beta
index = 1683
Annotated 5SS: [143 746]
Annotated 3SS: [ 345 1053]
SMsplice 5SS: [241 746]
SMsplice 3SS: [ 345 1053]
top_k =  1000
Partition function (log Z): -3.3102423770072704

Sorted 5' Splice Sites (High to Low Probability):
Position 746: 0.8078514582469726
Position 241: 0.3249001633775238
Position 235: 0.22377508916728953
Position 143: 0.18597980807535427
Position 941: 0.1558763025985983
Position 245: 0.07606625446211457
Position 1406: 0.05772335358166029
Position 290: 0.04466613367782281
Position 166: 0.03417471423629301
Position 265: 0.019383164860167706
Position 751: 0.018581054615679982
Position 219: 0.014043099414183224
Position 213: 0.011739381117166093
Position 785: 0.006021219914976779
Position 473: 0.00520909796105694
Position 912: 0.001980022179240562
Position 1178: 0.0018511316309109843
Position 249: 0.0017813600996553676
Position 1200: 0.00137339816503213
Position 1309: 0.0010360234029099145
Position 170: 0.0009121427056592347
Position 295: 0.0007668040273947484
Position 953: 0.0005328110511175398
Position 239: 0.0004409138444370624
Position 945: 0.0004400992702958559
Position 509: 0.00039582465188439745
Position 869: 0.00028592221521945665
Position 867: 0.00026273319227988203
Position 76: 0.00019243091576949482
Position 1304: 0.0001747545661332504
Position 919: 0.00015628776371116523
Position 1209: 0.00015028432307526363
Position 192: 0.00012234473429350394
Position 229: 9.059593085840396e-05
Position 247: 8.835825987071422e-05
Position 27: 6.767311252951977e-05
Position 263: 6.026406833967739e-05
Position 67: 5.327310638334337e-05
Position 1549: 3.894437575550258e-05
Position 1520: 3.2856447543410905e-05
Position 19: 2.545302501302049e-05
Position 1383: 2.187243302786816e-05
Position 1525: 2.094504789033825e-05
Position 91: 2.0031698401075967e-05
Position 38: 1.9635554219391203e-05
Position 1390: 1.838585613962927e-05
Position 1182: 1.836953394462069e-05
Position 3: 1.744182468679868e-05
Position 699: 1.1134562449908498e-05
Position 1357: 1.0575190450915615e-05
Position 416: 9.888278579303307e-06
Position 147: 9.200432718772843e-06
Position 1410: 7.797252402638324e-06
Position 910: 7.090236245738968e-06
Position 106: 6.718547132082494e-06
Position 43: 6.6659818465603815e-06
Position 1315: 5.195573438935102e-06
Position 1122: 4.34875946149801e-06
Position 1417: 3.868384017962877e-06
Position 1076: 3.76843828734915e-06
Position 828: 2.741102110731683e-06
Position 959: 1.826904831146675e-06
Position 1478: 1.3011458807082037e-06
Position 1109: 1.094421211922413e-06
Position 1506: 8.577911816200713e-07
Position 347: 7.05403838781389e-07
Position 1462: 3.82777659687962e-07
Position 393: 3.5930968780695006e-07
Position 98: 3.573529678364052e-07
Position 831: 8.005924338611667e-09
Position 595: 6.376971379428227e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1053: 0.974105682071195
Position 345: 0.9229700709847355
Position 1478: 0.060819429557566945
Position 807: 0.011867137130976677
Position 1002: 0.005808026093541712
Position 372: 0.004832988165633048
Position 375: 0.004417005810635102
Position 815: 0.0030752093753141766
Position 867: 0.0027570397965351492
Position 1373: 0.0013988873247401373
Position 844: 0.001370535274401461
Position 578: 0.0011663432567532795
Position 378: 0.0009332848563433906
Position 1451: 0.0006985350715862088
Position 1364: 0.0006398621075572331
Position 897: 0.0006116434315570504
Position 975: 0.00041094788612389995
Position 1616: 0.000283108869119117
Position 1277: 0.00016890027679189446
Position 1145: 0.00015031086477786104
Position 1454: 0.0001389207309267008
Position 1199: 0.00010867431128058152
Position 910: 9.47967388218306e-05
Position 381: 7.691274756460194e-05
Position 1066: 5.7715463050926025e-05
Position 117: 4.589706323077472e-05
Position 991: 4.427398504852918e-05
Position 525: 4.4143306904886434e-05
Position 850: 4.2046548991834764e-05
Position 384: 3.9506102794589726e-05
Position 1340: 3.3215164062611945e-05
Position 1315: 3.2673015721828296e-05
Position 824: 3.0748026842550336e-05
Position 271: 2.5049846655989475e-05
Position 791: 1.9705363622167758e-05
Position 1337: 1.6569496545754577e-05
Position 91: 1.2668630445005022e-05
Position 387: 1.25381332062908e-05
Position 565: 1.2181432936156374e-05
Position 919: 1.1453319435627059e-05
