Gene = Mtp
index = 1290
Annotated 5SS: [ 191 1605 2591 3191 3426]
Annotated 3SS: [ 804 1659 2649 3257 3483]
SMsplice 5SS: [ 191 1605 2591 3191 3426]
SMsplice 3SS: [ 600 1659 2649 3257 3483]
top_k =  1000
Partition function (log Z): 12.0008716525596

Sorted 5' Splice Sites (High to Low Probability):
Position 2591: 0.9990719922491843
Position 3426: 0.9962430979311849
Position 3191: 0.9929545409627143
Position 1605: 0.9781489639820522
Position 191: 0.9750313162046412
Position 1734: 0.07017418260886725
Position 2288: 0.04820345581635524
Position 2971: 0.04358567383229841
Position 2251: 0.042874838963306086
Position 433: 0.04177123718617408
Position 456: 0.040495442863681126
Position 2835: 0.0270753920906407
Position 451: 0.019857883471058636
Position 2113: 0.018552101816439504
Position 1978: 0.01073355316755534
Position 394: 0.010524813681497073
Position 736: 0.00977505285441752
Position 1210: 0.009080682336567798
Position 981: 0.008551019286348154
Position 742: 0.007594810978453515
Position 222: 0.007451848685848146
Position 409: 0.006598962453234994
Position 1821: 0.004541290655579665
Position 1609: 0.0045016734037801025
Position 492: 0.004101212280313781
Position 195: 0.0032882366898648505
Position 46: 0.002748836747093311
Position 2845: 0.0027108137303335487
Position 693: 0.002650142367141521
Position 3141: 0.0025269265863141965
Position 1068: 0.0023219636594252854
Position 1002: 0.002142933703812315
Position 1738: 0.002081852178632636
Position 2938: 0.0019237011138256853
Position 469: 0.0019144952793311988
Position 385: 0.001593601258854906
Position 1825: 0.0015879106124615145
Position 2929: 0.0015035690965740786
Position 1089: 0.001375138451760763
Position 260: 0.0013520748393158648
Position 400: 0.0011026967743964584
Position 2958: 0.0007083836405085514
Position 2888: 0.0006470384666494084
Position 1242: 0.0006401094450002551
Position 3195: 0.0005121439015476983
Position 720: 0.0005057647237952114
Position 867: 0.0005037639011245363
Position 2713: 0.0004983055252444509
Position 1838: 0.0004467226991462594
Position 2135: 0.00039902348714758397
Position 1224: 0.00036469318874467253
Position 1851: 0.0003564474098511722
Position 420: 0.0003304738888419075
Position 1541: 0.00029106843060731783
Position 2560: 0.00028108306603887587
Position 445: 0.0002759510017435161
Position 755: 0.0002427766353101065
Position 2931: 0.00023822190218668085
Position 474: 0.00022855533491903467
Position 2724: 0.00022543943715775072
Position 2989: 0.00021695594951417322
Position 2994: 0.0001742097054644333
Position 3542: 0.00016388964839618209
Position 2996: 0.00015153102493197502
Position 1569: 0.00014352353597188108
Position 2726: 0.00013966533679747318
Position 1338: 0.00012235570775449319
Position 1214: 0.00011051606105518128
Position 1314: 0.00010965002822334473
Position 1585: 0.00010767117511546735
Position 2907: 0.0001049879316066677
Position 971: 9.898722560513807e-05
Position 3430: 9.363524082942635e-05
Position 264: 7.245533388829312e-05
Position 801: 6.480183109708113e-05
Position 1444: 6.448867277107562e-05
Position 2160: 5.586060029818159e-05
Position 1284: 5.4837744354245684e-05
Position 3634: 5.1982693862811017e-05
Position 529: 4.998813797603857e-05
Position 1810: 4.547431640775786e-05
