Gene = Cpr65Au
index = 1098
Annotated 5SS: [162]
Annotated 3SS: [503]
SMsplice 5SS: [162]
SMsplice 3SS: [503]
top_k =  1000
Partition function (log Z): -4.380246091181881

Sorted 5' Splice Sites (High to Low Probability):
Position 162: 0.4776482642618199
Position 166: 0.4238336248852279
Position 397: 0.2579116570974663
Position 425: 0.08678074616412708
Position 364: 0.012915892093387097
Position 205: 0.010783096895164343
Position 418: 0.004463882017847962
Position 95: 0.0028345835787718016
Position 415: 0.000943160446284758
Position 704: 0.00035146547618317907
Position 778: 0.00018381843109584406
Position 427: 0.00014872148341214177
Position 753: 0.00013154066204394896
Position 278: 0.0001070081566973607
Position 442: 9.15562420209498e-05
Position 249: 9.06867182007281e-05
Position 71: 8.60474322368335e-05
Position 672: 8.389155244711435e-05
Position 606: 6.0662866281342134e-05
Position 290: 5.682357789915017e-05
Position 542: 5.0003532684137206e-05
Position 52: 3.435473038710266e-05
Position 547: 3.1804977625271334e-05
Position 682: 1.062624807184169e-05
Position 77: 6.275912922717449e-06
Position 337: 3.915520362477716e-06
Position 733: 1.486628426864856e-06
Position 575: 1.4351745516279129e-06
Position 582: 8.567983631677178e-07
Position 314: 7.606575925834262e-07
Position 638: 5.740051552611224e-07
Position 764: 4.021089448590572e-07
Position 45: 2.690336502543382e-07
Position 793: 1.1340788020390622e-07
Position 323: 3.0371935903785753e-09
Position 586: 1.143724799545562e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 503: 0.9732635051876567
Position 314: 0.2068366234826911
Position 252: 0.0904011161760017
Position 510: 0.006218291861355062
Position 361: 0.0009718244379967822
Position 591: 0.000527471001298501
Position 165: 0.0002314412280908175
Position 546: 0.00022823932952476943
Position 836: 0.00021464021960602381
Position 759: 0.00020808373801362725
Position 767: 0.00015611034635513982
Position 805: 0.0001482385171313782
Position 773: 6.678577779127684e-05
Position 672: 4.951180729362121e-05
Position 424: 4.310550235167945e-05
Position 230: 3.613437433957222e-05
Position 363: 2.105515648001026e-05
Position 809: 1.5051245204282126e-05
Position 677: 4.994913839612701e-06
Position 638: 1.6012530994342755e-06
Position 415: 1.5896427816447402e-06
Position 380: 1.0580799400661774e-06
Position 537: 9.481208398204276e-07
Position 785: 4.6713094171844784e-07
Position 393: 4.144193729182055e-07
Position 602: 3.5906636887874137e-07
Position 108: 3.0518337119324785e-07
Position 733: 2.2234251027693402e-07
Position 176: 2.0028137836915127e-07
Position 568: 1.8902540886221433e-07
Position 370: 1.127280545462315e-07
Position 616: 8.197215746235699e-08
Position 99: 5.872485845504533e-08
Position 610: 5.432434943372465e-08
Position 685: 3.005432896385667e-08
Position 570: 2.7916776649072982e-08
Position 682: 2.7284252938010932e-08
Position 400: 1.7703700378893436e-08
Position 778: 1.1377428688200278e-08
Position 817: 4.417805575939457e-09
Position 129: 2.326885190407547e-09
Position 633: 2.2194929216980917e-09
Position 395: 1.4356388713238552e-09
Position 114: 4.771726261612216e-10
Position 515: 5.634758028537669e-13
Position 559: 4.045777019062237e-14
Position 131: 1.93751753333695e-17
