Gene = scat
index = 1867
Annotated 5SS: [497]
Annotated 3SS: [875]
SMsplice 5SS: [497]
SMsplice 3SS: [875]
top_k =  1000
Partition function (log Z): -7.536006215282496

Sorted 5' Splice Sites (High to Low Probability):
Position 497: 0.9695768830676003
Position 692: 0.07630508581441679
Position 211: 0.07232315935496844
Position 1112: 0.0300606254304171
Position 1621: 0.026252039238087492
Position 1414: 0.020430976165664517
Position 1328: 0.010341295750735379
Position 1131: 0.007961331018324814
Position 609: 0.005935484955873752
Position 688: 0.005327759267780013
Position 3814: 0.003977696260949589
Position 943: 0.00368624502985251
Position 754: 0.002834716860054908
Position 255: 0.002217164114148204
Position 1537: 0.0016960105948904995
Position 2824: 0.001110667839948753
Position 719: 0.0010968138522646984
Position 1325: 0.000905124437710725
Position 2820: 0.0007975874902834515
Position 626: 0.0007725747318042716
Position 1666: 0.0006368796141172871
Position 1005: 0.0005789734146505138
Position 1513: 0.000526324339378965
Position 822: 0.00045838578643950673
Position 1157: 0.0003774175535887101
Position 1625: 0.00037638266387984186
Position 583: 0.0002763543608986335
Position 681: 0.00027503053362458403
Position 1081: 0.0002566248501127478
Position 3566: 0.00023636228064250852
Position 1519: 0.00016048046401324589
Position 1349: 0.0001350295641361324
Position 2814: 9.85270374492468e-05
Position 1162: 8.675724589919044e-05
Position 1051: 6.535967582237344e-05
Position 2029: 4.3573873735104e-05
Position 237: 3.743834006649026e-05
Position 334: 3.2232058647523516e-05
Position 379: 3.1201977866366394e-05
Position 1147: 2.253851933983638e-05
Position 1684: 2.095356653845068e-05
Position 1669: 2.0603802870403535e-05
Position 776: 2.0283914954125256e-05
Position 1012: 1.5751808747889153e-05
Position 3: 1.4514754540252089e-05
Position 1274: 1.3513220040509323e-05
Position 711: 1.0772618977111783e-05
Position 405: 9.202654941499298e-06
Position 696: 8.485477607044204e-06
Position 151: 3.8038897802309566e-06
Position 44: 3.03451723421256e-06
Position 549: 2.4813080835290467e-06
Position 1354: 1.9366010695258632e-06
Position 13: 1.5511910450040762e-06
Position 501: 9.966005149381115e-07
Position 344: 9.145916418273869e-07
Position 1119: 8.710221096325615e-07
Position 1212: 8.086614653562353e-07
Position 33: 8.000940743632833e-07
Position 492: 7.110858553465798e-07
Position 908: 6.699877838095601e-07
Position 2291: 6.245079634686706e-07
Position 589: 5.955713304226943e-07
Position 970: 4.946216882388389e-07
Position 304: 3.6902892613326325e-07
Position 112: 3.4488639151364607e-07
Position 506: 3.3656371339346916e-07
Position 409: 2.867755209065346e-07
Position 306: 2.716269989459938e-07
Position 644: 2.5720224699915863e-07
Position 503: 2.5438241601616097e-07
Position 2284: 2.3488181307763113e-07
Position 947: 1.3603147804823175e-07
Position 683: 5.426065895656476e-08
Position 348: 4.686358708604801e-08
Position 1629: 3.579907778617107e-08
Position 778: 1.9788498045804886e-08
Position 919: 1.3598284037651495e-08
Position 426: 1.3423877912262828e-08
Position 896: 9.825015032299462e-09
Position 655: 2.365577717721395e-10
Position 673: 1.0562124264213916e-10
Position 844: 5.7271390954809625e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 875: 0.7446538372333783
Position 649: 0.058929502224564126
Position 298: 0.056682592248776774
Position 3903: 0.053422631063355416
Position 2469: 0.052583263734673806
Position 2706: 0.04088167418016148
Position 1223: 0.03996318683174233
Position 1893: 0.02455476000605339
Position 608: 0.022339174872952686
Position 1448: 0.01969257138995859
Position 3683: 0.017856403121295307
Position 3228: 0.014769201668023804
Position 678: 0.010637778274458989
Position 2873: 0.008845166477878719
Position 804: 0.006270136443958863
Position 2079: 0.005415540222829437
Position 322: 0.0053887083434171895
Position 2896: 0.004213570602393857
Position 830: 0.0035458235825234353
Position 765: 0.003533984546671525
Position 822: 0.003482937394379353
Position 655: 0.0034615599524208114
Position 906: 0.0030791397541171644
Position 621: 0.003075742601007419
Position 1413: 0.002903028335905215
Position 1386: 0.002710625467526459
