Gene = Shab
index = 1499
Annotated 5SS: [ 1771  2413 28907 30460 46608 52997 53876 57091 60830 61089 61420]
Annotated 3SS: [ 2226 28538 29057 45763 52784 53461 56976 59667 60894 61148 62313]
SMsplice 5SS: [   43 28907 30460 46608 52997 53876 57091 60830 61089 61420]
SMsplice 3SS: [28538 29057 45763 52859 53461 56976 59667 60894 61148 62313]
top_k =  1000
Partition function (log Z): -69.95280925938154

Sorted 5' Splice Sites (High to Low Probability):
Position 43: 0.527662978922322
Position 268: 0.47233108137092955
Position 13173: 0.00032727072538455164
Position 12716: 0.0003231068001397344
Position 12961: 9.76161478833558e-06
Position 154: 1.79744977574384e-06
Position 871: 1.592346525707707e-06
Position 3223: 1.57636101390512e-06
Position 1081: 1.2261627552968686e-06
Position 3286: 9.24177633942468e-07
Position 2413: 9.209228403877579e-07
Position 12072: 8.004944672380415e-07
Position 166: 3.7755346940316923e-07
Position 11103: 3.6899611639487657e-07
Position 270: 3.181472677361374e-07
Position 78: 2.5070342138093667e-07
Position 9473: 1.9408022390879604e-07
Position 272: 1.7363645071225452e-07
Position 623: 1.1078017859723183e-07
Position 3017: 9.957456758240995e-08
Position 7517: 4.8443087897076776e-08
Position 2294: 2.459538818216943e-08
Position 1970: 2.3869942038635812e-08
Position 1771: 2.146173016681339e-08
Position 1611: 1.0683017780223593e-08
Position 502: 9.27604187334282e-09
Position 146: 7.3466097332273795e-09
Position 81: 6.5729968793660675e-09
Position 1775: 6.4063541109348595e-09
Position 5260: 6.1401422943380965e-09
Position 1112: 5.585626976373659e-09
Position 1827: 5.543608692598139e-09
Position 276: 3.779230701178177e-09
Position 2200: 3.726356634741424e-09
Position 1573: 2.894174191790993e-09
Position 7566: 2.8763473510104527e-09
Position 6094: 2.873015211232411e-09
Position 3565: 2.787773988359889e-09
Position 3039: 2.739117167835009e-09
Position 2289: 2.2784750309360576e-09
Position 347: 2.0688499987317468e-09
Position 4672: 1.8424857282189696e-09
Position 2165: 1.6023279448155371e-09
Position 5311: 1.6007674719453929e-09
Position 95: 1.5206205824431954e-09
Position 2012: 1.4923829056603453e-09
Position 1378: 1.4266131909202763e-09
Position 4353: 1.1379386460499988e-09
Position 1370: 1.0578993423415438e-09
Position 2195: 8.766927806858051e-10
Position 711: 7.047219971077163e-10
Position 3796: 5.819857767577008e-10
Position 3313: 4.121912879402489e-10
Position 2417: 3.491052016435095e-10
Position 3552: 3.3891667970344034e-10
Position 794: 2.809626280299633e-10
Position 47: 2.1084445272560682e-10
Position 2112: 1.949901995022036e-10
Position 2163: 1.8699944093670273e-10
Position 1413: 1.8502524703825877e-10
Position 287: 1.8210833420398518e-10
Position 1895: 1.3950988763466793e-10
Position 274: 1.265172005164938e-10
Position 444: 1.1477109867528249e-10
Position 982: 1.0882806514755532e-10
Position 881: 8.227237602974824e-11
Position 308: 7.052204680729864e-11
Position 3305: 5.7970070062759656e-11
Position 1727: 5.645798491089357e-11
Position 875: 4.6573890484690594e-11
Position 2037: 4.349227541847167e-11
Position 170: 3.649967388558592e-11
Position 186: 3.155391968036068e-11
Position 994: 3.132696744373786e-11
Position 722: 2.8834029353942954e-11
Position 748: 2.852764945208502e-11
Position 524: 2.7376237322217518e-11
Position 150: 2.417317728968928e-11
Position 757: 2.3784373846713657e-11
Position 3208: 2.2680809949903307e-11
Position 693: 2.0847062483891212e-11
Position 1513: 1.7699443125778527e-11
Position 349: 1.7452858460057045e-11
Position 887: 1.6400245147255767e-11
Position 1463: 1.4990362680296455e-11
Position 899: 1.1830927457472569e-11
Position 467: 1.0378248494852353e-11
Position 429: 1.019988219055702e-11
Position 38: 9.262629585494423e-12
Position 123: 8.22953615538482e-12
Position 404: 7.783255894470766e-12
