Gene = Dysb
index = 1142
Annotated 5SS: [875]
Annotated 3SS: [932]
SMsplice 5SS: [875]
SMsplice 3SS: [932]
top_k =  1000
Partition function (log Z): -3.1305437572808485

Sorted 5' Splice Sites (High to Low Probability):
Position 875: 0.9989257566378078
Position 506: 0.02825910114526114
Position 1096: 0.008658151015075555
Position 596: 0.007059352453379949
Position 199: 0.0027477177988620817
Position 647: 0.002294225079799101
Position 275: 0.0015417570272810983
Position 1102: 0.0009461569820634024
Position 1272: 0.0008804156463568382
Position 233: 0.0005332580747065382
Position 518: 0.00028612075663745175
Position 1082: 0.00023193181296083404
Position 571: 0.00016895769767323016
Position 879: 0.000151706430363541
Position 849: 0.00014994529242249034
Position 1042: 9.947426917416309e-05
Position 1354: 4.533951744977682e-05
Position 1072: 3.915819546010282e-05
Position 992: 3.269890391128745e-05
Position 645: 3.1628173081569486e-05
Position 1094: 3.1297073244163876e-05
Position 660: 3.076402920813131e-05
Position 540: 3.007591623220955e-05
Position 221: 2.84243664397526e-05
Position 160: 2.6374015349415842e-05
Position 203: 2.6015667442531634e-05
Position 678: 2.1065883972367357e-05
Position 1348: 1.9361471039573005e-05
Position 296: 1.4115712780732858e-05
Position 337: 8.46331517347485e-06
Position 365: 5.792445740666113e-06
Position 1175: 5.644328638384929e-06
Position 521: 4.5130671955438804e-06
Position 140: 4.240323495695344e-06
Position 1266: 3.4905752496549737e-06
Position 197: 3.4795498307213388e-06
Position 79: 2.361975529656561e-06
Position 726: 1.868158363471185e-06
Position 371: 1.7664915804748705e-06
Position 1379: 1.5386476221168085e-06
Position 355: 1.4811760963366016e-06
Position 111: 1.1983103285597204e-06
Position 1327: 8.264743347126939e-07
Position 282: 6.940958965697839e-07
Position 279: 6.033578740034377e-07
Position 311: 3.7863432494244937e-07
Position 603: 2.7909892846903945e-07
Position 344: 2.2747671863784601e-07
Position 971: 2.0697254621108985e-07
Position 98: 1.9816861163832932e-07
Position 1377: 1.2586570887468547e-07
Position 955: 1.2236454156099892e-07
Position 1342: 7.703812720951872e-08
Position 814: 7.15017980011376e-08
Position 974: 1.2309467547539572e-08
Position 911: 2.258422288221679e-09
Position 101: 4.018717803925343e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 932: 0.9950689826950366
Position 563: 0.019175854938074964
Position 768: 0.016476870500322073
Position 1194: 0.006992813690926328
Position 948: 0.004700529665963538
Position 1365: 0.002402387805418685
Position 324: 0.0015958385388364195
Position 570: 0.0009228157376985911
Position 675: 0.0007854179366157517
Position 774: 0.0007428054145327701
Position 726: 0.0005623846882080673
Position 1377: 0.00048427563487299483
Position 1311: 0.00047790735322291675
Position 1272: 0.0002989170512085872
Position 609: 0.0002671047127628645
Position 1425: 0.0002580308824363156
Position 547: 0.0001992345269443859
Position 1248: 0.00016479128580263117
Position 777: 0.0001573968626452206
Position 588: 0.0001443052388397231
Position 699: 9.421297913633348e-05
Position 371: 9.132893159156499e-05
Position 405: 9.044278424597845e-05
Position 402: 8.781973327493755e-05
Position 344: 8.777855257280208e-05
Position 798: 8.557902168895016e-05
Position 780: 7.04087617392679e-05
Position 742: 6.857333117548251e-05
Position 290: 6.377541932543976e-05
Position 275: 6.058910866047886e-05
Position 361: 6.021523550667382e-05
Position 287: 5.304455268739849e-05
Position 311: 5.131745280028589e-05
Position 678: 4.726972564052948e-05
Position 735: 4.679014601102411e-05
Position 684: 4.525099985611943e-05
Position 1342: 3.9535604722726355e-05
Position 747: 3.9331582018955085e-05
Position 293: 3.092018636064012e-05
Position 723: 3.075486284231401e-05
Position 1327: 2.969106807398169e-05
Position 705: 2.899379479099678e-05
Position 603: 2.2308454638347725e-05
Position 792: 2.0179636666279387e-05
Position 1348: 1.4564586256004995e-05
Position 1212: 1.0644963957148287e-05
Position 1061: 1.0605652587056875e-05
Position 600: 1.0559104218429004e-05
Position 624: 1.0414008763117702e-05
Position 447: 9.910509886062317e-06
Position 426: 9.437312531426636e-06
Position 475: 8.545729039562879e-06
Position 621: 8.325230222630655e-06
Position 1354: 7.79725893205233e-06
Position 810: 5.615753089402305e-06
Position 480: 3.382626911227625e-06
Position 1094: 3.0938807420476998e-06
Position 645: 2.9765359362910707e-06
Position 1082: 2.751073559639989e-06
Position 521: 2.4290960242672124e-06
Position 390: 1.8512535244021115e-06
Position 337: 1.82978006103329e-06
Position 658: 1.5534802635355104e-06
Position 438: 1.4049541932031037e-06
Position 224: 1.2087078970975843e-06
Position 955: 8.28985091050801e-07
Position 642: 8.13583647807194e-07
Position 1003: 7.688924582468251e-07
Position 296: 6.984137697716926e-07
Position 983: 5.250856811274964e-07
Position 140: 3.872045600158922e-07
Position 492: 3.7479446761894374e-07
Position 518: 2.508106971295664e-07
Position 183: 2.3698800907126455e-07
Position 132: 2.1562441814722643e-07
Position 992: 1.977501459729775e-07
Position 195: 1.4060590232304026e-07
Position 858: 1.3249492177033062e-07
Position 497: 1.3101874100874056e-07
Position 137: 1.2777105688990942e-07
Position 660: 9.441608695047479e-08
Position 967: 7.408658802756034e-08
Position 129: 6.429680515608691e-08
Position 672: 5.413642295051422e-08
Position 911: 4.6127966731029837e-08
Position 630: 3.4558046345970825e-08
Position 971: 3.261503192842344e-08
Position 221: 2.11961819923027e-08
Position 435: 1.89155102955152e-08
Position 837: 1.7213850000239068e-08
Position 150: 1.4183057914733793e-08
Position 203: 9.429507179345026e-09
Position 485: 8.9457562704309e-09
Position 1091: 7.294646965669759e-09
Position 299: 4.87312091063451e-09
Position 153: 9.70020124346845e-11
Position 229: 2.5458197486895118e-11
Position 233: 5.143292020377034e-12
Position 171: 3.22505555767284e-12
Position 506: 1.485150212635664e-14
