Gene = fal
index = 1699
Annotated 5SS: [ 535 2649 2885 3656]
Annotated 3SS: [2481 2712 2954 3713]
SMsplice 5SS: [ 535 2649 2885 3656 3825]
SMsplice 3SS: [2481 2712 2954 3713 3886]
top_k =  1000
Partition function (log Z): 7.375673573698656

Sorted 5' Splice Sites (High to Low Probability):
Position 2885: 0.9984627448788393
Position 2649: 0.9966910989070579
Position 535: 0.8354604576811608
Position 3656: 0.6595373100836515
Position 1996: 0.6177346099971963
Position 3825: 0.5861574696177185
Position 2280: 0.3637998079757665
Position 2396: 0.3128260680684894
Position 3473: 0.158960334646593
Position 3345: 0.09765097258567032
Position 2267: 0.08494589343149228
Position 1733: 0.08158854558877845
Position 214: 0.06196287262963299
Position 2231: 0.051268327325951046
Position 3309: 0.02467999220224006
Position 1255: 0.02078184086469452
Position 3632: 0.018767700287212457
Position 1482: 0.017345202073687553
Position 3085: 0.012867255898298974
Position 2360: 0.008736714243921166
Position 917: 0.008467393286622138
Position 546: 0.007011265527126863
Position 3187: 0.006680314429848376
Position 2243: 0.006166907555127262
Position 2299: 0.004113289768368223
Position 3582: 0.0037473199503554717
Position 1200: 0.0034713963863542423
Position 2665: 0.0030682773502651913
Position 251: 0.0028236516435871974
Position 3240: 0.002755589653960565
Position 796: 0.0019717953474557197
Position 394: 0.0018481727688659606
Position 209: 0.001716463759063728
Position 4188: 0.0016593175547140536
Position 882: 0.001470181480556679
Position 557: 0.0014603974213627077
Position 3399: 0.0013949435851675603
Position 976: 0.0012683932746555774
Position 1384: 0.0011769165101411132
Position 2314: 0.0011612165021083994
Position 3962: 0.001022083367470518
Position 3806: 0.0009757907975111511
Position 1468: 0.0009043358957524992
Position 695: 0.0008888603115074727
Position 2273: 0.0007285505516911393
Position 2294: 0.000722394802808496
Position 3393: 0.0007194246195416804
Position 3739: 0.0006474817010963137
Position 909: 0.0006144996276044531
Position 785: 0.0005862342052596279
Position 670: 0.0005662944890024827
Position 2428: 0.0005613025289281761
Position 3049: 0.0005507341806253279
Position 3911: 0.0005499748722955851
Position 1671: 0.0005493467782948892
Position 3800: 0.0005394738875959412
Position 334: 0.0004642986594861372
Position 642: 0.00044996422178295096
Position 2237: 0.00044544778851541997
Position 1796: 0.000433436766814282
Position 3271: 0.0003919921284782006
Position 564: 0.0003740501702606865
Position 3591: 0.00035896627383831325
Position 28: 0.0003476462811534298
Position 766: 0.00033484882372090074
Position 381: 0.00032680683642894343
Position 1960: 0.0003229800856645803
Position 30: 0.00027299295971745097
Position 53: 0.00027009149930086587
Position 826: 0.0002667689402583726
Position 3516: 0.00025583172014038063
Position 1907: 0.0002382253524986637
Position 539: 0.00023588604539952722
Position 3384: 0.00022666335669034585
Position 3037: 0.00019834621311928314
Position 3906: 0.00019643329791776558
Position 2500: 0.0001891806583791195
Position 3409: 0.00016909603402403368
Position 2860: 0.00016652449670324034
Position 1270: 0.00014124588090735321
Position 712: 0.00013897877846774168
Position 895: 0.0001375132020116974
Position 2864: 0.0001369188458734382
Position 4088: 0.00012487769415161994
Position 3162: 0.00012377390793624052
Position 2386: 0.00011846061085456867
Position 3430: 0.00011645551329945057
Position 2896: 0.0001115569024289854
Position 184: 0.00010819671630486595
Position 1397: 0.0001077062374379549
Position 2219: 0.00010764080274124563
