Gene = Nuf2
index = 1334
Annotated 5SS: [373 806]
Annotated 3SS: [432 862]
SMsplice 5SS: [373 806]
SMsplice 3SS: [432 862]
top_k =  1000
Partition function (log Z): -0.32288375606999364

Sorted 5' Splice Sites (High to Low Probability):
Position 373: 0.9939442736170454
Position 806: 0.9886534059231885
Position 561: 0.01152819059421486
Position 1017: 0.0019651002082718655
Position 99: 0.001032692498298489
Position 1151: 0.0007897918804645526
Position 618: 0.0007449206587367991
Position 789: 0.00048059829756940975
Position 574: 0.00030871936469399624
Position 733: 0.0002539069035314259
Position 344: 0.00015380655378676543
Position 1194: 0.0001471923224371196
Position 507: 0.00012724946660909797
Position 28: 0.00011204802259159333
Position 927: 9.869774146846709e-05
Position 1221: 6.216479118600318e-05
Position 519: 2.9667789502045295e-05
Position 306: 2.021898597590445e-05
Position 388: 1.623854045303694e-05
Position 492: 1.545937309114816e-05
Position 916: 1.2671566901665694e-05
Position 192: 9.901264613829135e-06
Position 810: 8.273909714431764e-06
Position 774: 7.214784275520735e-06
Position 784: 5.781709419288014e-06
Position 771: 4.649495229680048e-06
Position 1078: 4.356408718588191e-06
Position 294: 3.6166033802845707e-06
Position 256: 3.576335310909205e-06
Position 1227: 2.760899649433444e-06
Position 1083: 2.4232405450882074e-06
Position 84: 1.8542218253687457e-06
Position 263: 1.5371382714414957e-06
Position 815: 1.182827740455881e-06
Position 961: 1.1203445491401505e-06
Position 435: 9.873350427434723e-07
Position 1056: 8.634999514125402e-07
Position 318: 8.38864960598422e-07
Position 859: 8.239112625706826e-07
Position 77: 7.967337949849296e-07
Position 999: 7.209664600293366e-07
Position 688: 6.672368599453591e-07
Position 683: 6.204389679583855e-07
Position 754: 4.796648475433604e-07
Position 208: 4.1044377210909243e-07
Position 296: 3.57550529275858e-07
Position 1010: 3.353485507143573e-07
Position 279: 1.764956858180469e-07
Position 494: 1.7081537216801924e-07
Position 1246: 3.9105464683729734e-08
Position 1141: 2.725509048827546e-08
Position 177: 1.1291282961565184e-09
Position 849: 8.224992451919624e-12
Position 835: 1.3159674145382777e-12
Position 888: 9.046895224091423e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 862: 0.988181593242258
Position 432: 0.9809899423821721
Position 491: 0.008291997013225407
Position 725: 0.00682020637547059
Position 680: 0.0038831036389893854
Position 683: 0.0035220536669179296
Position 650: 0.002270087034954933
Position 1097: 0.0009509583318477158
Position 1094: 0.0008653813716604188
Position 148: 0.0008067152706483298
Position 872: 0.0005589569873250094
Position 1214: 0.0005157444085929594
Position 1106: 0.0004512004144137922
Position 731: 0.00031091946790376326
Position 1220: 0.00030781355173369236
Position 1281: 0.0002942986197430649
Position 728: 0.00018709517849004
Position 926: 0.0001829234273398687
Position 691: 0.00012115708381079468
Position 185: 0.00010771970021615828
Position 1083: 0.00010549625000867353
Position 972: 9.916791799707744e-05
Position 638: 8.921677760045192e-05
Position 506: 8.123408745081787e-05
Position 170: 7.276667601793792e-05
Position 503: 7.084047759369317e-05
Position 84: 5.673586413175714e-05
Position 97: 4.933277445817747e-05
Position 1046: 4.45153773285362e-05
Position 989: 4.2414658669300286e-05
Position 1016: 4.032246186218335e-05
Position 961: 3.336479341523156e-05
Position 1361: 2.8586953851785938e-05
Position 642: 2.4403165678755617e-05
Position 665: 1.410248113019962e-05
Position 522: 1.0724110549392402e-05
Position 323: 9.357248410052596e-06
Position 560: 9.08214307880212e-06
Position 239: 7.73913895424141e-06
Position 581: 7.08842837158875e-06
Position 1241: 4.921296272686768e-06
Position 1193: 4.2329733790999466e-06
Position 1162: 3.332964849020282e-06
Position 227: 3.2307286347074717e-06
Position 566: 2.9924724636251864e-06
Position 767: 2.979479943846403e-06
Position 1277: 2.5713513818065966e-06
Position 1157: 2.4467983772942016e-06
Position 306: 2.2451269267520013e-06
Position 110: 2.025373994314313e-06
Position 372: 1.9436388402670807e-06
Position 1340: 1.7942593820492905e-06
Position 608: 1.5817740945356595e-06
Position 1169: 1.1347027694213213e-06
Position 208: 9.068703992734628e-07
Position 1113: 7.899153680687064e-07
Position 536: 6.710835864477195e-07
Position 660: 6.485297588808313e-07
Position 986: 5.636795184967226e-07
Position 460: 5.294302858864209e-07
Position 542: 4.6004995892187434e-07
Position 341: 4.269383755068103e-07
Position 1127: 4.0397507696386656e-07
Position 1232: 3.6525461029631247e-07
Position 893: 3.4642338772616283e-07
Position 574: 2.643085851359743e-07
Position 587: 2.5356223465265943e-07
Position 1043: 2.470852170282086e-07
Position 595: 2.295797784190384e-07
Position 618: 1.970685904724771e-07
Position 328: 1.8667550609159158e-07
Position 1184: 1.8597666732873858e-07
Position 1302: 1.6496424368577146e-07
Position 1286: 1.556493379638139e-07
Position 1067: 1.4527920248942832e-07
Position 829: 1.4296279656992896e-07
