Gene = fln
index = 1701
Annotated 5SS: [  72  850 1072]
Annotated 3SS: [ 585  915 1133]
SMsplice 5SS: [369 850]
SMsplice 3SS: [585 915]
top_k =  1000
Partition function (log Z): -4.664739749884998

Sorted 5' Splice Sites (High to Low Probability):
Position 850: 0.9834271238289257
Position 369: 0.5202066943874071
Position 1072: 0.2914982321597705
Position 72: 0.14883545518792604
Position 1089: 0.09252606428113501
Position 534: 0.07880681789775401
Position 1248: 0.05822889112705074
Position 204: 0.045571193659454085
Position 244: 0.04056821630706887
Position 192: 0.019651290863421468
Position 398: 0.011296955641673373
Position 201: 0.011267920613266307
Position 1266: 0.007562100054226096
Position 457: 0.005600256001459617
Position 132: 0.0036711290410953983
Position 1095: 0.0033112120831678368
Position 767: 0.0029769330772087903
Position 471: 0.0027063157484727976
Position 1472: 0.0025532979018009017
Position 305: 0.002460162025543392
Position 66: 0.002357159682522683
Position 864: 0.0022403293225190255
Position 481: 0.0021724756283407827
Position 1319: 0.002102204058940219
Position 1077: 0.0019224830386449733
Position 1574: 0.0018762567120273587
Position 1334: 0.0015079945605822567
Position 1492: 0.0011261357243322182
Position 1563: 0.0010203402310472955
Position 411: 0.0008212028870219632
Position 258: 0.0006264318767657221
Position 173: 0.0005840203733622625
Position 52: 0.0005748691251009546
Position 32: 0.0005719887203526124
Position 421: 0.0005280096527070735
Position 1104: 0.000452200816893383
Position 1519: 0.000439315249552512
Position 1386: 0.00041768910357108823
Position 889: 0.0003943344789483103
Position 845: 0.00036198475375605874
Position 19: 0.0003196169272899717
Position 974: 0.00031056887296734777
Position 159: 0.0002910935085757231
Position 465: 0.0002866286074649431
Position 869: 0.00027933416343163835
Position 879: 0.00021816398169932167
Position 435: 0.00021133626091797368
Position 884: 0.00020396046622819442
Position 1322: 0.00017644639510975573
Position 1378: 0.0001412958926492884
Position 1501: 0.00013026057041301792
Position 854: 0.00011231251757869668
Position 147: 0.0001029658684152756
Position 1036: 8.40551102867664e-05
Position 509: 7.785373077482926e-05
Position 372: 6.793554707806488e-05
Position 810: 6.392360348754183e-05
Position 109: 4.428778235400319e-05
Position 1282: 4.1897326468302576e-05
Position 6: 3.666759033686115e-05
Position 1444: 3.548380946346557e-05
Position 77: 2.8538865055201316e-05
Position 1382: 2.7359288854672993e-05
Position 1363: 2.6005335325213796e-05
Position 1296: 1.8373912012257387e-05
Position 401: 1.8299087156415134e-05
Position 824: 1.1347622210695398e-05
Position 330: 5.856688463385357e-06
Position 542: 4.223012340527187e-06
Position 92: 3.868131836288785e-06
Position 403: 3.6640821326339167e-06
Position 103: 2.768186341787462e-06
Position 1047: 2.328229349271876e-06
Position 943: 1.0271125763536402e-06
Position 1110: 7.382930137630757e-07
Position 1107: 4.655681323516134e-07
Position 922: 4.0086359790322927e-07
Position 693: 3.4052746080481983e-07
Position 289: 3.2695845993231025e-07
Position 1049: 2.273527079703929e-07
Position 1152: 1.8039193939207732e-07
Position 722: 9.675941235613216e-08
Position 1093: 9.215387029670324e-08
Position 585: 1.046430495557272e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 915: 0.9563160299648676
Position 585: 0.6452618480347321
