Gene = CycJ
index = 1114
Annotated 5SS: [195 445 945]
Annotated 3SS: [257 521 997]
SMsplice 5SS: [195 945]
SMsplice 3SS: [ 257 1004]
top_k =  1000
Partition function (log Z): -5.601573232340015

Sorted 5' Splice Sites (High to Low Probability):
Position 945: 0.9007439132865689
Position 195: 0.8798263530952516
Position 445: 0.29057733319125156
Position 503: 0.01870652088285671
Position 1297: 0.009407120421154202
Position 1063: 0.006607144774001692
Position 207: 0.004645023994812083
Position 1134: 0.002861442405024656
Position 454: 0.0023012068652215455
Position 969: 0.001742740575144112
Position 940: 0.0015984136455696382
Position 1096: 0.0014093587103520015
Position 1083: 0.0013841211373598818
Position 1190: 0.0011860327012748174
Position 1126: 0.0007247084555623005
Position 1089: 0.0004531347790345187
Position 694: 0.00038623206854835295
Position 1273: 0.00034035215939225746
Position 835: 0.00026219323593112503
Position 189: 0.000238129410596449
Position 6: 0.00023687739356520257
Position 747: 0.0001583848278476863
Position 489: 0.00015071197186561534
Position 1072: 0.00014994970643938903
Position 545: 0.0001405166991813854
Position 721: 0.00010049285076073565
Position 430: 9.168293858112491e-05
Position 1464: 7.623722320583784e-05
Position 949: 6.92694698432414e-05
Position 1288: 6.119663979441591e-05
Position 1448: 4.790076787961619e-05
Position 1276: 4.564928082682466e-05
Position 510: 4.129337676020264e-05
Position 584: 4.0483827473137596e-05
Position 1217: 3.523288829256503e-05
Position 1144: 3.237004217698125e-05
Position 862: 3.091311628433308e-05
Position 37: 3.080321836394913e-05
Position 78: 2.7256153573900156e-05
Position 524: 2.6185785418613137e-05
Position 239: 2.615215539541198e-05
Position 1441: 2.4431056198016185e-05
Position 21: 2.3196134408045687e-05
Position 762: 1.7940898570697536e-05
Position 1321: 1.6055434356976284e-05
Position 704: 1.5420064999673495e-05
Position 389: 1.3512925107829977e-05
Position 910: 1.0076081051687375e-05
Position 668: 8.359318357829005e-06
Position 334: 7.02638438221092e-06
Position 254: 6.5978217657130245e-06
Position 60: 6.591100516180165e-06
Position 564: 6.335155144260159e-06
Position 344: 4.68875401940251e-06
Position 767: 4.612705266813976e-06
Position 1171: 4.575725301179492e-06
Position 634: 3.728906442453368e-06
Position 150: 3.6255688778568506e-06
Position 123: 3.51248691285463e-06
Position 1054: 3.214060051975703e-06
Position 424: 3.0319925545223036e-06
Position 147: 2.022541802897322e-06
Position 1450: 1.9284489524809035e-06
Position 55: 8.003799737588424e-07
Position 597: 5.142727226754535e-07
Position 826: 2.8428620058641954e-07
Position 786: 1.61049454400813e-09
Position 1248: 1.038168351344103e-09
Position 895: 8.026119769147639e-10
Position 1291: 5.753390562107774e-10
Position 997: 2.471976894557282e-10
Position 1201: 8.192138263635361e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 257: 0.8667405791075679
Position 1004: 0.5247279274597317
Position 997: 0.3627779439271456
Position 608: 0.16131190693411915
Position 521: 0.07387421900726798
Position 811: 0.03915427798341207
Position 1179: 0.02914381547658553
Position 651: 0.02067832578694056
Position 1369: 0.011856569142434258
Position 786: 0.009169808545311296
Position 762: 0.006357160701707616
Position 362: 0.0057446391735685495
Position 1326: 0.00486868356541509
Position 1054: 0.002806110021808363
Position 1206: 0.0024040282897680697
Position 616: 0.0021367914577828185
Position 1332: 0.000461054728070718
Position 1215: 0.00042743150380381137
Position 316: 0.0003140427012420708
Position 910: 0.00024103717399707433
Position 1062: 0.00023324230778207436
Position 269: 0.00021322153405540072
Position 87: 0.00017630126512551157
Position 1541: 0.00015241667275585694
Position 968: 0.0001515674280839585
Position 673: 0.00012182545738762789
Position 700: 0.00010414063206555367
Position 1222: 0.00010385935892327539
Position 1511: 9.659700116706697e-05
Position 60: 9.04823360411184e-05
Position 945: 8.650991640379506e-05
Position 1193: 8.131929493492192e-05
Position 1371: 7.342696084322313e-05
Position 859: 4.520117498222866e-05
Position 1441: 4.198260212331965e-05
Position 1419: 3.44340776385088e-05
Position 324: 3.367090038663671e-05
Position 1402: 3.318246046466271e-05
Position 1386: 2.1449844912366302e-05
Position 119: 2.092496092273369e-05
Position 868: 1.9965483381909606e-05
Position 1516: 1.3269735709419416e-05
Position 1226: 8.887381159214517e-06
Position 1245: 7.659437631261524e-06
Position 715: 7.347806550252689e-06
Position 887: 5.4641143615810864e-06
Position 739: 3.8092057286735707e-06
Position 475: 3.688102628262897e-06
Position 1248: 3.551401990999742e-06
Position 1297: 3.5347143498069205e-06
Position 409: 2.944776529375015e-06
Position 879: 2.901353272413673e-06
Position 116: 2.4240204807710733e-06
Position 841: 2.2138121570326114e-06
Position 711: 2.114955926412899e-06
Position 459: 1.8610131358050487e-06
Position 1519: 1.8368647436572104e-06
Position 1498: 1.5970998864167929e-06
Position 424: 1.519817269417795e-06
Position 137: 1.2438694469997705e-06
Position 823: 1.0533453609253932e-06
Position 331: 7.255637676516138e-07
Position 379: 2.9887337370182353e-07
Position 389: 2.548071794343106e-07
Position 186: 2.544900746370859e-07
Position 835: 2.497770519678666e-07
Position 320: 2.0391401464375751e-07
Position 419: 1.059315967608135e-07
Position 167: 1.7893340315725648e-08
Position 183: 7.803833952220728e-09
Position 371: 3.732603069313216e-09
Position 134: 1.7595868422047475e-09
Position 123: 1.2448126223895098e-09
Position 461: 9.708372205281164e-12
Position 194: 5.938949575727803e-13
Position 464: 1.9165535156184004e-13
