Gene = Rcd2
index = 1412
Annotated 5SS: [ 284 1520]
Annotated 3SS: [ 1342 10661]
SMsplice 5SS: [ 1144  1520 10603]
SMsplice 3SS: [ 1342 10475 10661]
top_k =  1000
Partition function (log Z): -8.15312428757564

Sorted 5' Splice Sites (High to Low Probability):
Position 1520: 0.9975839221549825
Position 10603: 0.9339989781178983
Position 1144: 0.19648103413732293
Position 1033: 0.17651845064509872
Position 11129: 0.15610715264922975
Position 1042: 0.14918538062945097
Position 1191: 0.14455954316590425
Position 284: 0.12971623299006846
Position 1171: 0.10800589378412508
Position 9100: 0.03715621617653376
Position 5000: 0.030598012873729187
Position 273: 0.02725477920938109
Position 11108: 0.025520579878640107
Position 278: 0.02334956868005567
Position 882: 0.02175213994310675
Position 873: 0.017337996880033343
Position 11154: 0.0104058119088975
Position 977: 0.009981447850691723
Position 11022: 0.007752808060498791
Position 11755: 0.007689941186544096
Position 708: 0.007617056107112008
Position 886: 0.005319665070990071
Position 8563: 0.005156218072661244
Position 11164: 0.00446101699075232
Position 993: 0.003981911956451075
Position 24: 0.0036290799877870274
Position 1135: 0.0030102761841597618
Position 1114: 0.0025411980616104383
Position 12000: 0.002348441354607338
Position 10782: 0.00233835159609155
Position 5013: 0.002194298945132172
Position 10998: 0.002175098022332634
Position 11771: 0.0018795724211736356
Position 877: 0.0018336785892532346
Position 11361: 0.0018249592192965275
Position 888: 0.001787228194774795
Position 1268: 0.0013431941259840713
Position 11127: 0.0011752410884235806
Position 230: 0.001019347294023786
Position 11331: 0.0009856680815200256
Position 1461: 0.0009288477994315243
Position 1524: 0.0008593870879371625
Position 319: 0.0008513047282822091
Position 9243: 0.0008460465286464193
Position 745: 0.0008320053053717132
Position 1284: 0.0007596252660994654
Position 1295: 0.0007579205832109065
Position 4967: 0.0007446102256871479
Position 1138: 0.0007369362984037124
Position 1096: 0.0007237738417602417
Position 31: 0.0007049962267836857
Position 11962: 0.000650448075644848
Position 895: 0.0006314883779213635
Position 328: 0.0006166882395181614
Position 94: 0.0006052082732987856
Position 765: 0.0005982408983082697
