Gene = baf
index = 1620
Annotated 5SS: [272]
Annotated 3SS: [353]
SMsplice 5SS: [272]
SMsplice 3SS: [353]
top_k =  1000
Partition function (log Z): -3.0985038432668315

Sorted 5' Splice Sites (High to Low Probability):
Position 272: 0.9330232073860256
Position 627: 0.1336632209973338
Position 497: 0.11780844288890241
Position 280: 0.04337703190431684
Position 50: 0.018097698779246975
Position 730: 0.017307643980424853
Position 631: 0.015578664333246452
Position 276: 0.01363305627283338
Position 525: 0.01224061350188202
Position 299: 0.008564400292291602
Position 482: 0.008501346069027537
Position 874: 0.002237796658652296
Position 504: 0.0016872080414021943
Position 426: 0.0016837830084593748
Position 202: 0.0007064646571043624
Position 725: 0.0006270804873212756
Position 736: 0.0005884485040263496
Position 734: 0.0004646111953532235
Position 635: 0.00043525155197186806
Position 206: 9.898724732937389e-05
Position 833: 8.573514092306226e-05
Position 6: 7.773240473139366e-05
Position 8: 6.354757026346921e-05
Position 618: 5.9033271777311555e-05
Position 590: 4.605295757247252e-05
Position 240: 4.27595112251442e-05
Position 54: 3.316878868786174e-05
Position 643: 3.239430408671638e-05
Position 278: 2.870571182999262e-05
Position 491: 2.285418560712744e-05
Position 650: 1.8622502453504268e-05
Position 620: 1.1928974900034253e-05
Position 120: 1.040618524437881e-05
Position 866: 1.0284344704501352e-05
Position 880: 6.386730334833757e-06
Position 580: 4.514398550686994e-06
Position 469: 3.7842165343723787e-06
Position 648: 3.3595586685752806e-06
Position 325: 1.7514168718384186e-06
Position 11: 1.0942841479940235e-06
Position 677: 7.026330575517981e-07
Position 747: 3.2062949023790343e-07
Position 148: 2.9723778321543837e-07
Position 381: 3.3977157198114615e-08
Position 320: 2.472625499836208e-08
Position 179: 2.1256122404199954e-08
Position 428: 1.6899545438524153e-08
Position 374: 9.393637472553611e-09
Position 404: 1.607026304141641e-09
Position 660: 1.069404700497311e-09
Position 347: 3.4754556893344967e-10
Position 363: 5.687097781282204e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 353: 0.9963880290546708
Position 682: 0.19738447650455862
Position 580: 0.051753252048824146
Position 796: 0.02575805849264795
Position 553: 0.015264376436096405
Position 97: 0.014342325122932176
Position 930: 0.00930263718924072
Position 540: 0.008399955750471094
Position 125: 0.002313611566828532
Position 374: 0.0023006041956462734
Position 824: 0.001447478964002438
Position 640: 0.0014298422299792635
Position 128: 0.001069619354142991
Position 821: 0.0010222438045262095
Position 631: 0.0008240116556638632
Position 392: 0.0003668930116105904
Position 163: 0.0002927153511628145
Position 646: 0.00026054917002972907
Position 725: 0.00020317335979306038
Position 877: 0.00018423721001234643
Position 874: 0.0001222327500246178
Position 102: 0.000106542162404566
Position 1006: 8.816747593044555e-05
Position 64: 7.744055572583666e-05
Position 730: 2.8036008545823738e-05
Position 325: 2.4160024467840276e-05
Position 880: 2.3684016774917043e-05
Position 604: 2.294519908015121e-05
Position 901: 1.7922259262668343e-05
Position 320: 1.3589839329486843e-05
Position 733: 1.0445153121542747e-05
Position 171: 9.252194389702813e-06
Position 1053: 6.757404378728643e-06
Position 766: 5.835271230409236e-06
Position 401: 4.670766357842192e-06
Position 810: 3.6350449966710895e-06
Position 253: 2.917553592281633e-06
Position 449: 2.561955110073352e-06
Position 590: 2.400181091638716e-06
Position 439: 2.0197218476143814e-06
Position 488: 1.3336077359121929e-06
Position 609: 1.2503681081488784e-06
Position 491: 1.0859691406147741e-06
Position 763: 8.362931635033373e-07
Position 398: 8.108489233219197e-07
Position 776: 8.090542024698078e-07
Position 422: 6.484246800284642e-07
Position 828: 2.3122301516723494e-07
Position 410: 5.371627532985328e-08
Position 133: 4.5419828878317994e-08
Position 501: 3.7390425764825533e-08
Position 202: 2.8276345440972124e-08
Position 425: 1.6619160575493384e-08
Position 503: 7.651476188854113e-09
Position 516: 3.16321677355446e-09
Position 187: 1.3961681032329662e-11
