Gene = tral
index = 1917
Annotated 5SS: [ 514 2001 2899 3196 3609 4012]
Annotated 3SS: [1499 2356 2964 3378 3670 4084]
SMsplice 5SS: [ 514 2001 2899 3166 3609 4012]
SMsplice 3SS: [1499 2368 2964 3378 3673 4084]
top_k =  1000
Partition function (log Z): 17.58069709019519

Sorted 5' Splice Sites (High to Low Probability):
Position 3609: 0.9952959318529357
Position 2001: 0.9923925664959664
Position 514: 0.9673546184781043
Position 2899: 0.9365137236068103
Position 4012: 0.8716502523193452
Position 3166: 0.719198769481593
Position 3196: 0.23438687098775587
Position 4185: 0.08181724704337595
Position 5295: 0.07327879106927095
Position 1312: 0.05294782460894038
Position 3170: 0.04179703356111913
Position 4601: 0.0404952676339288
Position 5290: 0.039140480361427615
Position 5471: 0.038651393642643084
Position 232: 0.03462448156381745
Position 1158: 0.03348748761372072
Position 1102: 0.017632665955688492
Position 2911: 0.016620186598877606
Position 4732: 0.01521323006500353
Position 4180: 0.014525720856155376
Position 14: 0.01362914313155575
Position 5695: 0.008350810074275829
Position 1439: 0.008118913499735555
Position 755: 0.006726020079456374
Position 5496: 0.004295081122067782
Position 2639: 0.004081868965950287
Position 2416: 0.0036652706951896623
Position 3999: 0.0032799607353160834
Position 3275: 0.002771055536331596
Position 5611: 0.002708304184134695
Position 5486: 0.0025779304876485266
Position 3178: 0.0025035375262581873
Position 5223: 0.002463442597142954
Position 4008: 0.0024238195742665634
Position 5301: 0.0023963888153806087
Position 1096: 0.0018864946521028926
Position 4446: 0.0018594236007008198
Position 2654: 0.0016448840587290508
Position 5639: 0.001536053883376127
Position 4452: 0.0012878074233493451
Position 5810: 0.0012285352709318353
Position 4971: 0.0009698765938072297
Position 359: 0.0009343995248396686
Position 82: 0.0008796450451674615
Position 4612: 0.0008094912199750332
Position 1429: 0.0007464240247444438
Position 2789: 0.000734358440542332
Position 5708: 0.0006104210929016996
Position 2005: 0.0006091604096505024
Position 705: 0.0005931600187617398
Position 578: 0.0005580756695605764
Position 5028: 0.0004988048688004075
Position 1142: 0.00041387777113290487
Position 4016: 0.0004091757594097093
Position 1134: 0.00034686912602245276
Position 518: 0.00030489746094190394
Position 477: 0.00027705602666344557
Position 5011: 0.00026668069258200074
Position 4623: 0.000261236557851588
Position 928: 0.0002501808921417218
Position 1027: 0.00024237813518993977
Position 5802: 0.00023069416945716167
Position 5668: 0.00022627264305727875
Position 4313: 0.00022456505731671195
Position 555: 0.00019311779113683844
Position 4822: 0.0001815480946505949
Position 1195: 0.00017921582749932922
Position 1298: 0.00017234401009313995
Position 1886: 0.00014899207231644336
Position 2232: 0.0001388515871519987
Position 719: 0.00013827386159018205
Position 832: 0.00013635436789481099
Position 4505: 0.00012653609346268007
Position 4235: 0.00012495088195156872
Position 2256: 0.0001243762028927661
Position 511: 0.0001242221657201986
Position 4978: 0.0001157787532876822
Position 2009: 0.00011024917914670502
Position 5500: 0.00010066444391790599
Position 3319: 9.22564409895746e-05
Position 5548: 8.214958539206337e-05
Position 2269: 8.011950793546074e-05
Position 1088: 7.338526704140509e-05
Position 255: 6.917746486254087e-05
Position 623: 6.702744652260647e-05
Position 2294: 6.0214586536617815e-05
Position 675: 5.360508857097811e-05
Position 210: 5.256055415574879e-05
Position 4458: 4.893702827111318e-05
Position 266: 4.657491474113471e-05
Position 868: 3.776209722854081e-05
Position 3965: 3.690176737383936e-05
Position 4285: 3.530007071736141e-05
Position 1350: 3.242126693132311e-05
Position 3094: 2.9485335893855417e-05
Position 732: 2.936997318946714e-05
Position 2047: 2.9314880093146344e-05
Position 2606: 2.922636963236145e-05
Position 4063: 2.713912324191988e-05
Position 2480: 2.5199403358607424e-05
Position 208: 2.3943674181327648e-05
Position 84: 2.1728502035195245e-05
Position 679: 2.1633004860764214e-05
Position 18: 2.1314296759983367e-05
Position 634: 2.1294492920387033e-05
Position 1607: 1.8479772487081948e-05
Position 383: 1.7890697860814546e-05
Position 1237: 1.7804475909908756e-05
