Gene = eIF3e
index = 1684
Annotated 5SS: [198 685]
Annotated 3SS: [291 770]
SMsplice 5SS: [198 685]
SMsplice 3SS: [291 770]
top_k =  1000
Partition function (log Z): -3.1948756317572844

Sorted 5' Splice Sites (High to Low Probability):
Position 685: 0.9903175266676475
Position 198: 0.6469004558068465
Position 506: 0.1321360893478062
Position 68: 0.04414727947092826
Position 929: 0.025636209891650212
Position 218: 0.007726215247533134
Position 91: 0.003639231537922036
Position 247: 0.002479660954760296
Position 689: 0.0024437523284888143
Position 1262: 0.0018797813204662333
Position 232: 0.0015952888097113633
Position 1001: 0.0014886907568454303
Position 466: 0.0014509797983455362
Position 80: 0.0009763633047179779
Position 45: 0.0006437921562731236
Position 939: 0.0005856876535766143
Position 1166: 0.0005013947587187518
Position 989: 0.00030114984793081
Position 1107: 0.0002906965601214589
Position 185: 0.00024886391872440964
Position 568: 0.00021510172822025722
Position 334: 0.00021211453853355348
Position 240: 0.00014569910029637283
Position 1221: 6.183496113999357e-05
Position 933: 6.150688910007148e-05
Position 1162: 4.611361414856875e-05
Position 1586: 4.281102224295185e-05
Position 648: 4.244759920972457e-05
Position 1528: 4.1766781737849305e-05
Position 603: 3.679671054160955e-05
Position 433: 3.143096269595892e-05
Position 29: 2.786610322754491e-05
Position 1059: 2.3803646546564678e-05
Position 66: 1.923303185892922e-05
Position 615: 1.750728772322161e-05
Position 318: 1.6341259417728433e-05
Position 1130: 1.630012676267913e-05
Position 853: 1.4030204835232044e-05
Position 274: 1.2873874110504094e-05
Position 1266: 1.1787950257139145e-05
Position 380: 1.1034900606920411e-05
Position 983: 1.0973681809499243e-05
Position 1042: 8.714466630379702e-06
Position 1595: 7.142626877176591e-06
Position 179: 6.767206025601172e-06
Position 276: 4.18473394770382e-06
Position 664: 3.70654845533997e-06
Position 1027: 3.6737982735099658e-06
Position 415: 3.3665158326372836e-06
Position 1405: 2.6360516804444654e-06
Position 1124: 1.6411150802389792e-06
Position 1245: 1.5950506552231943e-06
Position 1383: 1.297484606861481e-06
Position 1621: 1.136280104141135e-06
Position 1170: 1.0727658690723848e-06
Position 1062: 9.657713710568054e-07
Position 633: 5.609570756002888e-07
Position 535: 2.9693184957731996e-07
Position 285: 2.647369199124171e-07
Position 143: 2.5501642963640484e-07
Position 14: 1.1391234236455405e-07
Position 1025: 2.5826698239512136e-09
Position 1121: 2.096096164483907e-09
Position 669: 7.191030032130369e-10
Position 788: 2.2897867237132076e-10
Position 1151: 9.868183458281334e-11
Position 783: 7.366539860869865e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9927390992756177
Position 291: 0.6857536868970862
Position 567: 0.11335646056562397
Position 1019: 0.019238142943288173
Position 549: 0.011468229684838098
Position 143: 0.01015153371106515
Position 154: 0.008416259285366944
Position 1062: 0.007660059225499559
Position 552: 0.00575656149794422
Position 1316: 0.004135069999058069
Position 797: 0.0008341201378919503
Position 1118: 0.0007724782178694946
Position 995: 0.0006247781973127335
Position 1094: 0.0005024538745147735
Position 330: 0.00045473483384554116
Position 1475: 0.0003958219614287342
Position 886: 0.0003473451332171441
Position 306: 0.00034595735452752185
Position 630: 0.00032370219036525257
Position 392: 0.0003072014232067826
Position 396: 0.00030577510501590823
Position 594: 0.00028388178526586523
Position 959: 0.0002464033575714779
Position 453: 0.00021805083935077816
Position 1106: 0.0002010308020619133
Position 303: 0.0001925056925961245
Position 736: 0.00018164321736180273
Position 1187: 0.0001535571520404599
Position 1330: 0.00015263224445280084
Position 1418: 0.00013347742899339892
Position 1664: 0.0001232573438018208
Position 1478: 0.00012119015951137504
Position 309: 0.00011424954147323501
Position 378: 7.605003559715163e-05
Position 905: 5.926672483705859e-05
Position 528: 4.448460371647218e-05
Position 1160: 3.5239710981527835e-05
Position 342: 3.376978526098092e-05
Position 459: 3.256828771336739e-05
Position 501: 2.9062531366494873e-05
Position 1457: 2.6678215450524816e-05
Position 399: 2.2630435432002157e-05
Position 91: 1.9567373489296366e-05
Position 582: 1.5885341206648525e-05
Position 1121: 1.494431069115478e-05
Position 1373: 1.4506668309741685e-05
Position 896: 1.3475119811413956e-05
Position 1621: 1.2962316505234812e-05
Position 1346: 1.285031876108845e-05
Position 1295: 1.1024440268690493e-05
Position 420: 9.196172812685948e-06
Position 197: 7.696616270615902e-06
Position 573: 7.11744557773921e-06
Position 450: 6.535386689070343e-06
Position 1527: 5.457845834772253e-06
Position 1595: 4.2004426734339694e-06
Position 615: 4.097989175050098e-06
Position 99: 3.8421346472578665e-06
Position 633: 3.320072117043585e-06
Position 1358: 3.0062778503302732e-06
Position 483: 2.9382311030440423e-06
Position 179: 2.4538926185993567e-06
Position 247: 2.254130949135477e-06
Position 842: 2.0317715223664963e-06
Position 1367: 1.646774501325246e-06
Position 465: 1.4761888344760265e-06
Position 194: 1.4218136470226174e-06
Position 603: 8.087217607481123e-07
Position 1626: 6.492207817414526e-07
Position 426: 6.415315801999425e-07
Position 519: 2.4433261929001555e-07
Position 510: 2.0866533861375441e-07
Position 202: 1.387322224718105e-07
Position 318: 1.010630690241606e-07
Position 214: 3.4963292741308506e-08
Position 432: 1.9135480170766702e-08
Position 684: 1.3314011396187132e-08
Position 411: 1.0663200603626696e-08
Position 809: 1.8032971911158694e-09
Position 714: 1.0567007202235995e-09
Position 408: 1.8914975758091552e-10
Position 207: 5.461024560301894e-12
Position 240: 7.20130728654399e-15
