Gene = Cand1
index = 1052
Annotated 5SS: [ 245  694 1042 1286 2705 3997 4206]
Annotated 3SS: [ 309  751 1122 1345 2768 4058 4269]
SMsplice 5SS: [ 245  694 1042 1286 1496 2705 3997 4206]
SMsplice 3SS: [ 309  751 1122 1345 2182 2768 4058 4269]
top_k =  1000
Partition function (log Z): 29.203084373425444

Sorted 5' Splice Sites (High to Low Probability):
Position 1042: 0.9997545604958984
Position 4206: 0.9979465620894474
Position 1286: 0.9951700628382463
Position 2705: 0.9940315340184491
Position 3997: 0.9937498705145673
Position 694: 0.9930052548412162
Position 245: 0.9768845521015465
Position 1496: 0.5755449528365736
Position 2096: 0.1295666923925489
Position 92: 0.06281151976901905
Position 1447: 0.056950367645687165
Position 1712: 0.04329785417715941
Position 3639: 0.027943625144273232
Position 2090: 0.027535687526329747
Position 2327: 0.020370917279944167
Position 3088: 0.014983595071367132
Position 249: 0.010117133341591684
Position 1458: 0.009971538299654586
Position 2439: 0.009438967040388591
Position 4383: 0.0066955502663917045
Position 4366: 0.005904361361001858
Position 3540: 0.005656900000959705
Position 3261: 0.004772822918544553
Position 2128: 0.004448364366902333
Position 2709: 0.0040896052718052585
Position 3987: 0.0038440233845913694
Position 1608: 0.0031426743924088674
Position 1719: 0.00308816714660298
Position 3049: 0.0030721651204985347
Position 502: 0.00234214185240182
Position 3747: 0.002025637963272715
Position 1851: 0.0019072710803953784
Position 3003: 0.001550940838696618
Position 2213: 0.0014887227499943406
Position 4210: 0.001485506037912449
Position 4001: 0.0014831209262106664
Position 3525: 0.001464808808158583
Position 1465: 0.0014108670525992519
Position 2928: 0.001408625111084497
Position 104: 0.0013056686602830369
Position 1619: 0.0010452285101464182
Position 2923: 0.0010188489868422123
Position 4462: 0.0010037019540987064
Position 3675: 0.000931213843931437
Position 2021: 0.0009217553489623545
Position 4413: 0.0008684963091351074
Position 2288: 0.000831120730832772
Position 2887: 0.0007508482859380042
Position 517: 0.0007047058363724993
Position 1757: 0.0006682602922428871
Position 2543: 0.0006137236105039742
Position 2086: 0.0005979081497604243
Position 3278: 0.0005356449309197861
Position 3771: 0.0004938024707760424
Position 1624: 0.0004745429410845347
Position 2024: 0.0004286847162640655
Position 1293: 0.0004140406007354268
Position 4396: 0.0003805320300249934
Position 412: 0.0003791033341526916
Position 2969: 0.0003778314237359738
Position 3324: 0.0003576417994265616
Position 1732: 0.00034912778455725127
Position 415: 0.0003487390788090998
Position 3696: 0.0003196201234195047
Position 15: 0.0003026852577170779
