Gene = Ufd1-like
index = 1582
Annotated 5SS: [295]
Annotated 3SS: [351]
SMsplice 5SS: [295]
SMsplice 3SS: [351]
top_k =  1000
Partition function (log Z): -5.829315709380779

Sorted 5' Splice Sites (High to Low Probability):
Position 295: 0.9950769645819364
Position 949: 0.13090555000854764
Position 529: 0.08138534667304576
Position 936: 0.003940545557030278
Position 1180: 0.001242459654075293
Position 996: 0.0011671482815039528
Position 1147: 0.0006112830080467424
Position 467: 0.0005841783185465886
Position 34: 0.00057053110823765
Position 308: 0.0005453407090516674
Position 299: 0.00018949075514961672
Position 698: 0.00010629895456572523
Position 524: 0.00010108360920589143
Position 722: 9.159135094413405e-05
Position 106: 7.331674043568033e-05
Position 711: 6.99947890474619e-05
Position 9: 5.5294492864972626e-05
Position 459: 5.4105166410666827e-05
Position 1189: 5.2012447972039695e-05
Position 276: 4.401288084921158e-05
Position 971: 2.9531316907310383e-05
Position 767: 2.9017048516422037e-05
Position 429: 2.8215965729254134e-05
Position 11: 2.485033274660597e-05
Position 1195: 2.4161790839410063e-05
Position 753: 2.2436329064891367e-05
Position 1011: 1.6326226984648263e-05
Position 306: 1.498664389349255e-05
Position 243: 1.1832035662906232e-05
Position 233: 1.1677592555353792e-05
Position 587: 1.1544636282092054e-05
Position 556: 7.000092014131114e-06
Position 17: 6.8671014592117025e-06
Position 850: 6.2529560074537796e-06
Position 119: 6.186315276436287e-06
Position 401: 5.90108270589697e-06
Position 636: 5.402089029757083e-06
Position 984: 2.7645962105644227e-06
Position 928: 2.6295784998788926e-06
Position 940: 2.0294247788774934e-06
Position 558: 1.884829514238149e-06
Position 780: 1.7268136751742352e-06
Position 328: 1.6884697340390435e-06
Position 170: 1.4643033570251972e-06
Position 864: 1.402675118484732e-06
Position 909: 1.1743261419040067e-06
Position 351: 1.030775053021472e-06
Position 1072: 9.245871904970398e-07
Position 1098: 8.354105495209885e-07
Position 570: 8.294509269353447e-07
Position 396: 4.48285765247544e-07
Position 1031: 4.109609983434257e-07
Position 912: 3.999953774603342e-07
Position 471: 3.8347724334138556e-07
Position 684: 3.098841801420775e-07
Position 197: 2.4091774614102267e-07
Position 413: 5.564963887259315e-08
Position 798: 1.730160512212217e-08
Position 724: 2.6279751266946374e-09
Position 251: 1.9089530554222325e-09
Position 987: 1.3905839255443178e-10
Position 726: 2.3063122341059096e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 351: 0.9917924795360458
Position 601: 0.08041478390989476
Position 1017: 0.05828671467356296
Position 1031: 0.052421898314759366
Position 1240: 0.013625069898565408
Position 1217: 0.005862978928236819
Position 1072: 0.004215750168874312
Position 1078: 0.0020721101216314513
Position 676: 0.0015908811417013743
Position 401: 0.0012175921972714119
Position 587: 0.0011744804196319157
Position 995: 0.0010137900424077829
Position 1189: 0.0006702416844563348
Position 827: 0.00048573565364408043
Position 142: 0.00032489802071959217
Position 1101: 0.00028970278667793116
Position 419: 0.0002453880843113622
Position 992: 0.00018015784195573467
Position 181: 0.00016186856932867648
Position 632: 0.00015391489991766836
Position 753: 0.00013615485885257612
Position 81: 0.0001236222749043931
Position 1226: 0.00011060650293050252
Position 1195: 9.635933539737573e-05
Position 1081: 9.616179598856237e-05
Position 104: 6.370353577150654e-05
Position 757: 4.7872065893473544e-05
Position 848: 3.658656581215902e-05
Position 1246: 3.257381083015383e-05
Position 119: 3.0199377333777993e-05
Position 791: 2.6474873434628447e-05
Position 740: 2.3410467455331728e-05
Position 734: 2.1061943238359012e-05
Position 845: 1.9640931239019486e-05
Position 710: 1.2334997757051119e-05
Position 1160: 1.1463620058466986e-05
Position 434: 1.0796059781216704e-05
Position 906: 7.494784153765269e-06
Position 1175: 5.887564193213049e-06
Position 258: 5.678544245246784e-06
Position 166: 4.085386116782211e-06
Position 96: 3.769292789050063e-06
Position 1086: 3.6692581672227122e-06
Position 1089: 3.657784537160959e-06
Position 133: 2.7908137926007243e-06
Position 554: 2.5097498894236e-06
Position 1002: 2.42219351635015e-06
Position 956: 1.462346600073639e-06
Position 69: 1.2441798871128018e-06
Position 707: 1.0658553357837127e-06
Position 467: 1.0084858075085226e-06
Position 953: 8.545317767476631e-07
Position 690: 8.406216477120809e-07
Position 959: 7.218641058799828e-07
Position 809: 6.412243594917534e-07
Position 233: 5.773401520115736e-07
Position 698: 4.910644963839064e-07
Position 150: 4.88395704931539e-07
Position 157: 1.786502781799321e-07
Position 1130: 1.6314419163292356e-07
Position 644: 4.7775693131018304e-08
Position 284: 4.15002512755342e-08
Position 798: 3.830787399900132e-08
Position 115: 3.3270024199215565e-08
Position 926: 2.8030965675916106e-08
Position 311: 2.5554008938485716e-08
Position 206: 8.49922758814205e-09
Position 293: 3.778167554269825e-09
Position 767: 2.309239121184249e-09
Position 320: 8.468106301834542e-10
Position 306: 7.784086693397619e-10
Position 556: 7.546493689560646e-10
Position 533: 6.274323000022294e-10
Position 266: 8.467415005990232e-12
Position 299: 3.041741421981226e-12
Position 482: 2.1568189179611254e-12
Position 295: 1.3933761389085624e-16
Position 152: 4.130870436352903e-19
